Anno;Continente (Italia esclusa);NIL (Nuclei di Identità Locale);Residenti stranieri
2002;Africa;Porta Genova (50);252
2002;Africa;Porta Magenta (51);203
2002;Africa;Bande Nere (52);669
2002;Africa;Lorenteggio (53);212
2002;Africa;Muggiano (54);24
2002;Africa;Baggio - Q.re degli Olmi - Q.re Valsesia (55);518
2002;Africa;Forze Armate (56);538
2002;Africa;San Siro (57);1979
2002;Africa;De Angeli - Monte Rosa (58);265
2002;Africa;Tre Torri (59);10
2002;Africa;Stadio - Ippodromi (60);138
2002;Africa;Quarto Cagnino (61);148
2002;Africa;Quinto Romano (62);59
2002;Africa;Figino (63);30
2002;Africa;Trenno (64);21
2002;Africa;Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65);251
2002;Africa;QT 8 (66);41
2002;Africa;Portello (67);85
2002;Africa;Pagano (68);147
2002;Africa;Sarpi (69);553
2002;Africa;Ghisolfa (70);296
2002;Africa;Villapizzone - Cagnola - Boldinasco (71);1195
2002;Africa;Maggiore - Musocco - Certosa (72);97
2002;Africa;Roserio (74);1
2002;Africa;Quarto Oggiaro - Vialba - Musocco (76);1117
2002;Africa;Bovisa (77);632
2002;Africa;Farini (78);230
2002;Africa;Dergano (79);827
2002;Africa;Affori (80);518
2002;Africa;Bovisasca (81);126
2002;Africa;Comasina (82);174
2002;Africa;Bruzzano (83);245
2002;Africa;Parco Nord (84);7
2002;Africa;Parco delle Abbazie (85);14
2002;Africa;Parco dei Navigli (86);14
2002;Africa;Assiano (87);1
2002;Africa;Parco Bosco in citta' (88);40
2002;America;Duomo (1);427
2002;America;Brera (2);408
2002;America;Giardini P.ta Venezia (3);1
2002;America;Guastalla (4);353
2002;America;Porta Vigentina - Porta Lodovica (5);255
2002;America;Porta Ticinese - Conca del Naviglio (6);405
2002;America;Magenta - S.Vittore (7);343
2002;America;Porta Garibaldi - Porta Nuova (9);135
2002;America;Stazione Centrale - Ponte Seveso (10);468
2002;America;Isola (11);468
2002;America;Maciachini - Maggiolina (12);467
2002;America;Greco - Segnano (13);299
2002;America;Niguarda - Ca Granda - Prato Centenaro - Q.re Fulvio Testi (14);275
2002;America;Bicocca (15);90
2002;America;Gorla - Precotto (16);450
2002;America;Adriano (17);111
2002;America;Cimiano - Rottole - Q.re Feltre (18);299
2002;America;Padova - Turro - Crescenzago (19);878
2002;America;Loreto - Casoretto - NoLo (20);1296
2002;America;Buenos Aires - Porta Venezia - Porta Monforte (21);1148
2002;America;Citta' studi (22);830
2002;America;Lambrate - Ortica (23);155
2002;America;Parco Forlanini - Cavriano (24);16
2002;America;Corsica (25);375
2002;America;XXII Marzo (26);490
2002;America;Pta Romana (27);264
2002;America;Umbria - Molise - Calvairate (28);409
2002;America;Ortomercato (29);56
2002;America;Taliedo - Morsenchio - Q.re Forlanini (30);230
2002;America;Monlue' - Ponte Lambro (31);114
2002;America;Triulzo Superiore (32);44
2002;America;Rogoredo - Santa Giulia (33);97
2002;America;Chiaravalle (34);7
2002;America;Lodi - Corvetto (35);630
2002;America;Scalo Romana (36);288
2002;America;Morivione (37);97
2002;America;Vigentino - Q.re Fatima (38);162
2002;America;Quintosole (39);1
2002;America;Ronchetto delle Rane (40);1
2002;America;Gratosoglio - Q.re Missaglia - Q.re Terrazze (41);99
2002;America;Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42);405
2002;America;Tibaldi (43);221
2002;America;Porta Ticinese - Conchetta (44);300
2002;America;Moncucco - San Cristoforo (45);221
2002;America;Barona (46);94
2002;America;Cantalupa (47);2
2002;America;Ronchetto sul Naviglio - Q.re Lodovico il Moro (48);194
2002;America;Giambellino (49);607
2002;America;Porta Genova (50);211
2002;America;Porta Magenta (51);445
2002;America;Bande Nere (52);612
2002;America;Lorenteggio (53);93
2002;America;Muggiano (54);8
2002;America;Baggio - Q.re degli Olmi - Q.re Valsesia (55);392
2002;America;Forze Armate (56);270
2002;America;San Siro (57);544
2002;America;De Angeli - Monte Rosa (58);346
2002;America;Tre Torri (59);22
2002;America;Stadio - Ippodromi (60);178
2002;America;Quarto Cagnino (61);56
2002;America;Quinto Romano (62);52
2002;America;Figino (63);9
2002;America;Trenno (64);19
2002;America;Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65);229
2002;America;QT 8 (66);44
2002;America;Portello (67);126
2002;America;Pagano (68);298
2002;America;Sarpi (69);515
2002;America;Ghisolfa (70);292
2002;America;Villapizzone - Cagnola - Boldinasco (71);787
2002;America;Maggiore - Musocco - Certosa (72);64
2002;America;Roserio (74);7
2002;America;Quarto Oggiaro - Vialba - Musocco (76);333
2002;America;Bovisa (77);225
2002;America;Farini (78);93
2002;America;Dergano (79);402
2002;America;Affori (80);360
2002;America;Bovisasca (81);71
2002;America;Comasina (82);107
2002;America;Bruzzano (83);135
2002;America;Parco Nord (84);2
2002;America;Parco delle Abbazie (85);4
2002;America;Assiano (87);1
2002;America;Parco Bosco in citta' (88);6
2002;Oceania;Duomo (1);6
2002;Oceania;Brera (2);11
2002;Oceania;Guastalla (4);7
2002;Oceania;Porta Vigentina - Porta Lodovica (5);6
2002;Oceania;Porta Ticinese - Conca del Naviglio (6);1
2002;Oceania;Magenta - S.Vittore (7);6
2002;Oceania;Porta Garibaldi - Porta Nuova (9);1
2002;Oceania;Stazione Centrale - Ponte Seveso (10);8
2002;Oceania;Maciachini - Maggiolina (12);3
2002;Oceania;Greco - Segnano (13);1
2002;Oceania;Niguarda - Ca Granda - Prato Centenaro - Q.re Fulvio Testi (14);2
2002;Oceania;Gorla - Precotto (16);1
2002;Oceania;Adriano (17);1
2002;Oceania;Padova - Turro - Crescenzago (19);6
2002;Oceania;Loreto - Casoretto - NoLo (20);6
2002;Oceania;Buenos Aires - Porta Venezia - Porta Monforte (21);17
2002;Oceania;Citta' studi (22);3
2002;Oceania;Lambrate - Ortica (23);1
2002;Oceania;Corsica (25);4
2002;Oceania;XXII Marzo (26);9
2002;Oceania;Pta Romana (27);1
2002;Oceania;Umbria - Molise - Calvairate (28);4
2002;Oceania;Taliedo - Morsenchio - Q.re Forlanini (30);7
2002;Oceania;Triulzo Superiore (32);1
2002;Oceania;Rogoredo - Santa Giulia (33);1
2002;Oceania;Lodi - Corvetto (35);1
2002;Oceania;Tibaldi (43);4
2002;Oceania;Porta Ticinese - Conchetta (44);4
2002;Oceania;Moncucco - San Cristoforo (45);1
2002;Oceania;Ronchetto sul Naviglio - Q.re Lodovico il Moro (48);1
2002;Oceania;Giambellino (49);8
2002;Oceania;Porta Genova (50);4
2002;Oceania;Porta Magenta (51);10
2002;Oceania;Bande Nere (52);4
2002;Oceania;Lorenteggio (53);1
2002;Oceania;De Angeli - Monte Rosa (58);2
2002;Oceania;Quarto Cagnino (61);1
2002;Oceania;Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65);6
2002;Oceania;Pagano (68);5
2002;Oceania;Sarpi (69);3
2002;Oceania;Villapizzone - Cagnola - Boldinasco (71);2
2002;Oceania;Maggiore - Musocco - Certosa (72);1
2002;Oceania;Quarto Oggiaro - Vialba - Musocco (76);2
2002;Oceania;Dergano (79);4
2002;Oceania;Bruzzano (83);1
2002;Oceania;Parco Bosco in citta' (88);1
2002;Apolidi;Duomo (1);4
2002;Apolidi;Brera (2);1
2002;Apolidi;Guastalla (4);2
2002;Apolidi;Porta Vigentina - Porta Lodovica (5);1
2002;Apolidi;Porta Ticinese - Conca del Naviglio (6);2
2002;Apolidi;Porta Garibaldi - Porta Nuova (9);1
2002;Apolidi;Stazione Centrale - Ponte Seveso (10);1
2002;Apolidi;Padova - Turro - Crescenzago (19);1
2002;Apolidi;Buenos Aires - Porta Venezia - Porta Monforte (21);8
2002;Apolidi;XXII Marzo (26);2
2002;Apolidi;Giambellino (49);1
2002;Apolidi;Porta Magenta (51);1
2002;Apolidi;San Siro (57);1
2002;Apolidi;Sarpi (69);1
2002;Apolidi;Quarto Oggiaro - Vialba - Musocco (76);1
2003;Europa (Italia esclusa);Duomo (1);467
2003;Europa (Italia esclusa);Brera (2);533
2003;Europa (Italia esclusa);Guastalla (4);386
2003;Europa (Italia esclusa);Porta Vigentina - Porta Lodovica (5);259
2003;Europa (Italia esclusa);Porta Ticinese - Conca del Naviglio (6);364
2003;Europa (Italia esclusa);Magenta - S.Vittore (7);493
2003;Europa (Italia esclusa);Porta Garibaldi - Porta Nuova (9);88
2003;Europa (Italia esclusa);Stazione Centrale - Ponte Seveso (10);348
2003;Europa (Italia esclusa);Isola (11);381
2003;Europa (Italia esclusa);Maciachini - Maggiolina (12);443
2003;Europa (Italia esclusa);Greco - Segnano (13);188
2003;Europa (Italia esclusa);Niguarda - Ca Granda - Prato Centenaro - Q.re Fulvio Testi (14);272
2003;Europa (Italia esclusa);Bicocca (15);83
2003;Europa (Italia esclusa);Gorla - Precotto (16);326
2003;Europa (Italia esclusa);Adriano (17);158
2003;Europa (Italia esclusa);Cimiano - Rottole - Q.re Feltre (18);216
2003;Europa (Italia esclusa);Padova - Turro - Crescenzago (19);556
2003;Europa (Italia esclusa);Loreto - Casoretto - NoLo (20);795
2003;Europa (Italia esclusa);Buenos Aires - Porta Venezia - Porta Monforte (21);1307
2003;Europa (Italia esclusa);Citta' studi (22);545
2003;Europa (Italia esclusa);Lambrate - Ortica (23);94
2003;Europa (Italia esclusa);Parco Forlanini - Cavriano (24);14
2003;Europa (Italia esclusa);Corsica (25);278
2003;Europa (Italia esclusa);XXII Marzo (26);529
2003;Europa (Italia esclusa);Pta Romana (27);326
2003;Europa (Italia esclusa);Umbria - Molise - Calvairate (28);286
2003;Europa (Italia esclusa);Ortomercato (29);58
2003;Europa (Italia esclusa);Taliedo - Morsenchio - Q.re Forlanini (30);165
2003;Europa (Italia esclusa);Monlue' - Ponte Lambro (31);77
2003;Europa (Italia esclusa);Triulzo Superiore (32);55
2003;Europa (Italia esclusa);Rogoredo - Santa Giulia (33);62
2003;Europa (Italia esclusa);Chiaravalle (34);4
2003;Europa (Italia esclusa);Lodi - Corvetto (35);450
2003;Europa (Italia esclusa);Scalo Romana (36);120
2003;Europa (Italia esclusa);Morivione (37);68
2003;Europa (Italia esclusa);Vigentino - Q.re Fatima (38);160
2003;Europa (Italia esclusa);Quintosole (39);18
2003;Europa (Italia esclusa);Ronchetto delle Rane (40);3
2003;Europa (Italia esclusa);Gratosoglio - Q.re Missaglia - Q.re Terrazze (41);110
2003;Europa (Italia esclusa);Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42);314
2003;Europa (Italia esclusa);Tibaldi (43);158
2003;Europa (Italia esclusa);Porta Ticinese - Conchetta (44);293
2003;Europa (Italia esclusa);Moncucco - San Cristoforo (45);183
2003;Europa (Italia esclusa);Barona (46);72
2003;Europa (Italia esclusa);Cantalupa (47);10
2003;Europa (Italia esclusa);Ronchetto sul Naviglio - Q.re Lodovico il Moro (48);176
2003;Europa (Italia esclusa);Giambellino (49);372
2003;Europa (Italia esclusa);Porta Genova (50);263
2003;Europa (Italia esclusa);Porta Magenta (51);538
2003;Europa (Italia esclusa);Bande Nere (52);546
2003;Europa (Italia esclusa);Lorenteggio (53);147
2003;Europa (Italia esclusa);Muggiano (54);14
2003;Europa (Italia esclusa);Baggio - Q.re degli Olmi - Q.re Valsesia (55);197
2003;Europa (Italia esclusa);Forze Armate (56);213
2003;Europa (Italia esclusa);San Siro (57);430
2003;Europa (Italia esclusa);De Angeli - Monte Rosa (58);561
2003;Europa (Italia esclusa);Tre Torri (59);37
2003;Europa (Italia esclusa);Stadio - Ippodromi (60);631
2003;Europa (Italia esclusa);Quarto Cagnino (61);39
2003;Europa (Italia esclusa);Quinto Romano (62);41
2003;Europa (Italia esclusa);Figino (63);25
2003;Europa (Italia esclusa);Trenno (64);14
2003;Europa (Italia esclusa);Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65);237
2003;Europa (Italia esclusa);QT 8 (66);53
2003;Europa (Italia esclusa);Portello (67);114
2003;Europa (Italia esclusa);Pagano (68);437
2003;Europa (Italia esclusa);Sarpi (69);602
2003;Europa (Italia esclusa);Ghisolfa (70);261
2003;Europa (Italia esclusa);Villapizzone - Cagnola - Boldinasco (71);516
2003;Europa (Italia esclusa);Maggiore - Musocco - Certosa (72);154
2003;Europa (Italia esclusa);Cascina Merlata (73);1
2003;Europa (Italia esclusa);Roserio (74);2
2003;Europa (Italia esclusa);Stephenson (75);5
2003;Europa (Italia esclusa);Quarto Oggiaro - Vialba - Musocco (76);279
2003;Europa (Italia esclusa);Bovisa (77);226
2003;Europa (Italia esclusa);Farini (78);51
2003;Europa (Italia esclusa);Dergano (79);287
2003;Europa (Italia esclusa);Affori (80);271
2003;Europa (Italia esclusa);Bovisasca (81);51
2003;Europa (Italia esclusa);Comasina (82);183
2003;Europa (Italia esclusa);Bruzzano (83);131
2003;Europa (Italia esclusa);Parco Nord (84);1
2003;Europa (Italia esclusa);Parco delle Abbazie (85);60
2003;Europa (Italia esclusa);Parco dei Navigli (86);19
2003;Europa (Italia esclusa);Assiano (87);10
2003;Europa (Italia esclusa);Parco Bosco in citta' (88);87
2003;Asia;Duomo (1);655
2003;Asia;Brera (2);537
2003;Asia;Giardini P.ta Venezia (3);7
2003;Asia;Guastalla (4);609
2003;Asia;Porta Vigentina - Porta Lodovica (5);391
2003;Asia;Porta Ticinese - Conca del Naviglio (6);756
2003;Asia;Magenta - S.Vittore (7);582
2003;Asia;Porta Garibaldi - Porta Nuova (9);210
2003;Asia;Stazione Centrale - Ponte Seveso (10);1118
2003;Asia;Isola (11);1135
2003;Asia;Maciachini - Maggiolina (12);1042
2003;Asia;Greco - Segnano (13);626
2003;Asia;Niguarda - Ca Granda - Prato Centenaro - Q.re Fulvio Testi (14);378
2003;Asia;Bicocca (15);107
2003;Asia;Gorla - Precotto (16);801
2003;Asia;Adriano (17);421
2003;Asia;Cimiano - Rottole - Q.re Feltre (18);459
2003;Asia;Padova - Turro - Crescenzago (19);1664
2003;Asia;Loreto - Casoretto - NoLo (20);2859
2003;Asia;Buenos Aires - Porta Venezia - Porta Monforte (21);2093
2003;Asia;Citta' studi (22);992
2003;Asia;Lambrate - Ortica (23);378
2003;Asia;Parco Forlanini - Cavriano (24);10
2003;Asia;Corsica (25);500
2003;Asia;XXII Marzo (26);745
2003;Asia;Pta Romana (27);554
2003;Asia;Umbria - Molise - Calvairate (28);816
2003;Asia;Ortomercato (29);188
2003;Asia;Taliedo - Morsenchio - Q.re Forlanini (30);244
2003;Asia;Monlue' - Ponte Lambro (31);96
2003;Asia;Triulzo Superiore (32);79
2003;Asia;Rogoredo - Santa Giulia (33);103
2003;Asia;Chiaravalle (34);9
2003;Asia;Lodi - Corvetto (35);1063
2003;Asia;Scalo Romana (36);534
2003;Asia;Morivione (37);261
2003;Asia;Vigentino - Q.re Fatima (38);226
2003;Asia;Quintosole (39);9
2003;Asia;Ronchetto delle Rane (40);6
2003;Asia;Gratosoglio - Q.re Missaglia - Q.re Terrazze (41);146
2003;Asia;Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42);698
2003;Asia;Tibaldi (43);400
2003;Asia;Porta Ticinese - Conchetta (44);550
2003;Asia;Moncucco - San Cristoforo (45);306
2003;Asia;Barona (46);84
2003;Asia;Cantalupa (47);20
2003;Asia;Ronchetto sul Naviglio - Q.re Lodovico il Moro (48);208
2003;Asia;Giambellino (49);991
2003;Asia;Porta Genova (50);317
2003;Asia;Porta Magenta (51);575
2003;Asia;Bande Nere (52);1439
2003;Asia;Lorenteggio (53);244
2003;Asia;Muggiano (54);4
2003;Asia;Baggio - Q.re degli Olmi - Q.re Valsesia (55);501
2003;Asia;Forze Armate (56);584
2003;Asia;San Siro (57);1078
2003;Asia;De Angeli - Monte Rosa (58);543
2003;Asia;Tre Torri (59);34
2003;Asia;Stadio - Ippodromi (60);328
2003;Asia;Quarto Cagnino (61);158
2003;Asia;Quinto Romano (62);45
2003;Asia;Figino (63);9
2003;Asia;Trenno (64);13
2003;Asia;Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65);230
2003;Asia;QT 8 (66);90
2003;Asia;Portello (67);192
2003;Asia;Pagano (68);476
2003;Asia;Sarpi (69);1833
2003;Asia;Ghisolfa (70);741
2003;Asia;Villapizzone - Cagnola - Boldinasco (71);1755
2003;Asia;Maggiore - Musocco - Certosa (72);55
2003;Asia;Cascina Merlata (73);5
2003;Asia;Roserio (74);3
2003;Asia;Stephenson (75);4
2003;Asia;Quarto Oggiaro - Vialba - Musocco (76);666
2003;Asia;Bovisa (77);675
2003;Asia;Farini (78);232
2003;Asia;Dergano (79);1159
2003;Asia;Affori (80);878
2003;Asia;Bovisasca (81);91
2003;Asia;Comasina (82);253
2003;Asia;Bruzzano (83);175
2003;Asia;Parco Nord (84);28
2003;Asia;Parco delle Abbazie (85);1
2003;Asia;Parco Bosco in citta' (88);5
2003;Africa;Duomo (1);175
2003;Africa;Brera (2);132
2003;Africa;Giardini P.ta Venezia (3);1
2003;Africa;Guastalla (4);127
2003;Africa;Porta Vigentina - Porta Lodovica (5);170
2003;Africa;Porta Ticinese - Conca del Naviglio (6);333
2003;Africa;Magenta - S.Vittore (7);119
2003;Africa;Porta Garibaldi - Porta Nuova (9);78
2003;Africa;Stazione Centrale - Ponte Seveso (10);206
2003;Africa;Isola (11);560
2003;Africa;Maciachini - Maggiolina (12);308
2003;Africa;Greco - Segnano (13);221
2003;Africa;Niguarda - Ca Granda - Prato Centenaro - Q.re Fulvio Testi (14);599
2003;Africa;Bicocca (15);160
2003;Africa;Gorla - Precotto (16);397
2003;Africa;Adriano (17);130
2003;Africa;Cimiano - Rottole - Q.re Feltre (18);245
2003;Africa;Padova - Turro - Crescenzago (19);810
2003;Africa;Loreto - Casoretto - NoLo (20);1545
2003;Africa;Buenos Aires - Porta Venezia - Porta Monforte (21);734
2003;Africa;Citta' studi (22);576
2003;Africa;Lambrate - Ortica (23);242
2003;Africa;Parco Forlanini - Cavriano (24);44
2003;Africa;Corsica (25);137
2003;Africa;XXII Marzo (26);342
2003;Africa;Pta Romana (27);206
2003;Africa;Umbria - Molise - Calvairate (28);965
2003;Africa;Ortomercato (29);147
2003;Africa;Taliedo - Morsenchio - Q.re Forlanini (30);312
2003;Africa;Monlue' - Ponte Lambro (31);332
2003;Africa;Triulzo Superiore (32);137
2003;Africa;Rogoredo - Santa Giulia (33);108
2003;Africa;Chiaravalle (34);25
2003;Africa;Lodi - Corvetto (35);1115
2003;Africa;Scalo Romana (36);477
2003;Africa;Morivione (37);121
2003;Africa;Vigentino - Q.re Fatima (38);109
2003;Africa;Quintosole (39);2
2003;Africa;Ronchetto delle Rane (40);4
2003;Africa;Gratosoglio - Q.re Missaglia - Q.re Terrazze (41);388
2003;Africa;Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42);617
2003;Africa;Tibaldi (43);384
2003;Africa;Porta Ticinese - Conchetta (44);307
2003;Africa;Moncucco - San Cristoforo (45);253
2003;Africa;Barona (46);377
2003;Africa;Cantalupa (47);13
2003;Africa;Ronchetto sul Naviglio - Q.re Lodovico il Moro (48);216
2003;Africa;Giambellino (49);1141
2003;Africa;Porta Genova (50);152
2003;Africa;Porta Magenta (51);146
2003;Africa;Bande Nere (52);399
2003;Africa;Lorenteggio (53);177
2003;Africa;Muggiano (54);15
2003;Africa;Baggio - Q.re degli Olmi - Q.re Valsesia (55);439
2003;Africa;Forze Armate (56);483
2003;Africa;San Siro (57);1875
2003;Africa;De Angeli - Monte Rosa (58);145
2003;Africa;Tre Torri (59);4
2003;Africa;Stadio - Ippodromi (60);95
2003;Africa;Quarto Cagnino (61);124
2003;Africa;Quinto Romano (62);42
2003;Africa;Figino (63);22
2003;Africa;Trenno (64);16
2003;Africa;Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65);211
2003;Africa;QT 8 (66);40
2003;Africa;Portello (67);45
2003;Africa;Pagano (68);89
2003;Africa;Sarpi (69);290
2003;Africa;Ghisolfa (70);226
2003;Africa;Villapizzone - Cagnola - Boldinasco (71);933
2003;Africa;Maggiore - Musocco - Certosa (72);55
2003;Africa;Roserio (74);1
2003;Africa;Quarto Oggiaro - Vialba - Musocco (76);1014
2003;Africa;Bovisa (77);480
2003;Africa;Farini (78);185
2003;Africa;Dergano (79);650
2003;Africa;Affori (80);401
2003;Africa;Bovisasca (81);72
2003;Africa;Comasina (82);155
2003;Africa;Bruzzano (83);276
2003;Africa;Parco Nord (84);3
2003;Africa;Parco delle Abbazie (85);12
2003;Africa;Parco dei Navigli (86);9
2003;Africa;Parco Bosco in citta' (88);1
2003;America;Duomo (1);299
2003;America;Brera (2);272
2003;America;Guastalla (4);268
2003;America;Porta Vigentina - Porta Lodovica (5);209
2003;America;Porta Ticinese - Conca del Naviglio (6);324
2003;America;Magenta - S.Vittore (7);251
2003;America;Porta Garibaldi - Porta Nuova (9);100
2003;America;Stazione Centrale - Ponte Seveso (10);322
2003;America;Isola (11);426
2003;America;Maciachini - Maggiolina (12);416
2003;America;Greco - Segnano (13);287
2003;America;Niguarda - Ca Granda - Prato Centenaro - Q.re Fulvio Testi (14);289
2003;America;Bicocca (15);87
2003;America;Gorla - Precotto (16);455
2003;America;Adriano (17);133
2003;America;Cimiano - Rottole - Q.re Feltre (18);303
2003;America;Padova - Turro - Crescenzago (19);840
2003;America;Loreto - Casoretto - NoLo (20);1220
2003;America;Buenos Aires - Porta Venezia - Porta Monforte (21);898
2003;America;Citta' studi (22);744
2003;America;Lambrate - Ortica (23);168
2003;America;Parco Forlanini - Cavriano (24);14
2003;America;Corsica (25);303
2003;America;XXII Marzo (26);380
2003;America;Pta Romana (27);214
2003;America;Umbria - Molise - Calvairate (28);395
2003;America;Ortomercato (29);52
2003;America;Taliedo - Morsenchio - Q.re Forlanini (30);236
2003;America;Monlue' - Ponte Lambro (31);115
2003;America;Triulzo Superiore (32);47
2003;America;Rogoredo - Santa Giulia (33);99
2003;America;Chiaravalle (34);8
2003;America;Lodi - Corvetto (35);592
2003;America;Scalo Romana (36);281
2003;America;Morivione (37);78
2003;America;Vigentino - Q.re Fatima (38);147
2003;America;Quintosole (39);2
2003;America;Ronchetto delle Rane (40);1
2003;America;Gratosoglio - Q.re Missaglia - Q.re Terrazze (41);107
2003;America;Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42);396
2003;America;Tibaldi (43);186
2003;America;Porta Ticinese - Conchetta (44);267
2003;America;Moncucco - San Cristoforo (45);218
2003;America;Barona (46);89
2003;America;Cantalupa (47);1
2003;America;Ronchetto sul Naviglio - Q.re Lodovico il Moro (48);214
2003;America;Giambellino (49);569
2003;America;Porta Genova (50);160
2003;America;Porta Magenta (51);360
2003;America;Bande Nere (52);508
2003;America;Lorenteggio (53);121
2003;America;Muggiano (54);12
2003;America;Baggio - Q.re degli Olmi - Q.re Valsesia (55);414
2003;America;Forze Armate (56);284
2003;America;San Siro (57);554
2003;America;De Angeli - Monte Rosa (58);285
2003;America;Tre Torri (59);18
2003;America;Stadio - Ippodromi (60);127
2003;America;Quarto Cagnino (61);60
2003;America;Quinto Romano (62);47
2003;America;Figino (63);11
2003;America;Trenno (64);19
2003;America;Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65);208
2003;America;QT 8 (66);39
2003;America;Portello (67);100
2003;America;Pagano (68);209
2003;America;Sarpi (69);424
2003;America;Ghisolfa (70);266
2003;America;Villapizzone - Cagnola - Boldinasco (71);770
2003;America;Maggiore - Musocco - Certosa (72);68
2003;America;Roserio (74);10
2003;America;Quarto Oggiaro - Vialba - Musocco (76);346
2003;America;Bovisa (77);255
2003;America;Farini (78);86
2003;America;Dergano (79);428
2003;America;Affori (80);392
2003;America;Bovisasca (81);82
2003;America;Comasina (82);116
2003;America;Bruzzano (83);154
2003;America;Parco Nord (84);3
2003;America;Parco delle Abbazie (85);5
2003;America;Assiano (87);1
2003;America;Parco Bosco in citta' (88);6
2003;Oceania;Duomo (1);1
2003;Oceania;Brera (2);8
2003;Oceania;Guastalla (4);7
2003;Oceania;Porta Vigentina - Porta Lodovica (5);1
2003;Oceania;Porta Ticinese - Conca del Naviglio (6);1
2003;Oceania;Magenta - S.Vittore (7);3
2003;Oceania;Porta Garibaldi - Porta Nuova (9);1
2003;Oceania;Stazione Centrale - Ponte Seveso (10);5
2003;Oceania;Niguarda - Ca Granda - Prato Centenaro - Q.re Fulvio Testi (14);2
2003;Oceania;Gorla - Precotto (16);1
2003;Oceania;Adriano (17);1
2003;Oceania;Padova - Turro - Crescenzago (19);2
2003;Oceania;Loreto - Casoretto - NoLo (20);3
2003;Oceania;Buenos Aires - Porta Venezia - Porta Monforte (21);8
2003;Oceania;Citta' studi (22);3
2003;Oceania;XXII Marzo (26);5
2003;Oceania;Pta Romana (27);2
2003;Oceania;Umbria - Molise - Calvairate (28);1
2003;Oceania;Taliedo - Morsenchio - Q.re Forlanini (30);7
2003;Oceania;Lodi - Corvetto (35);1
2003;Oceania;Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42);1
2003;Oceania;Tibaldi (43);2
2003;Oceania;Moncucco - San Cristoforo (45);1
2003;Oceania;Barona (46);1
2003;Oceania;Ronchetto sul Naviglio - Q.re Lodovico il Moro (48);1
2003;Oceania;Giambellino (49);2
2003;Oceania;Porta Genova (50);2
2003;Oceania;Porta Magenta (51);5
2003;Oceania;Bande Nere (52);2
2003;Oceania;De Angeli - Monte Rosa (58);1
2003;Oceania;Quarto Cagnino (61);1
2003;Oceania;Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65);2
2003;Oceania;Portello (67);1
2003;Oceania;Pagano (68);6
2003;Oceania;Sarpi (69);1
2003;Oceania;Maggiore - Musocco - Certosa (72);1
2003;Oceania;Quarto Oggiaro - Vialba - Musocco (76);2
2003;Oceania;Dergano (79);1
2003;Oceania;Parco Nord (84);1
2003;Apolidi;Duomo (1);1
2003;Apolidi;Brera (2);1
2003;Apolidi;Guastalla (4);2
2003;Apolidi;Stazione Centrale - Ponte Seveso (10);2
2003;Apolidi;Gorla - Precotto (16);1
2003;Apolidi;Padova - Turro - Crescenzago (19);1
2003;Apolidi;Giambellino (49);1
2003;Apolidi;Ghisolfa (70);1
2003;Apolidi;Quarto Oggiaro - Vialba - Musocco (76);1
2004;Europa (Italia esclusa);Duomo (1);543
2004;Europa (Italia esclusa);Brera (2);656
2004;Europa (Italia esclusa);Guastalla (4);438
2004;Europa (Italia esclusa);Porta Vigentina - Porta Lodovica (5);319
2004;Europa (Italia esclusa);Porta Ticinese - Conca del Naviglio (6);464
2004;Europa (Italia esclusa);Magenta - S.Vittore (7);585
2004;Europa (Italia esclusa);Porta Garibaldi - Porta Nuova (9);112
2004;Europa (Italia esclusa);Stazione Centrale - Ponte Seveso (10);440
2004;Europa (Italia esclusa);Isola (11);489
2004;Europa (Italia esclusa);Maciachini - Maggiolina (12);562
2004;Europa (Italia esclusa);Greco - Segnano (13);278
2004;Europa (Italia esclusa);Niguarda - Ca Granda - Prato Centenaro - Q.re Fulvio Testi (14);417
2004;Europa (Italia esclusa);Bicocca (15);102
2004;Europa (Italia esclusa);Gorla - Precotto (16);498
2004;Europa (Italia esclusa);Adriano (17);219
2004;Europa (Italia esclusa);Cimiano - Rottole - Q.re Feltre (18);323
2004;Europa (Italia esclusa);Padova - Turro - Crescenzago (19);795
2004;Europa (Italia esclusa);Loreto - Casoretto - NoLo (20);1040
2004;Europa (Italia esclusa);Buenos Aires - Porta Venezia - Porta Monforte (21);1521
2004;Europa (Italia esclusa);Citta' studi (22);739
2004;Europa (Italia esclusa);Lambrate - Ortica (23);155
2004;Europa (Italia esclusa);Parco Forlanini - Cavriano (24);26
2004;Europa (Italia esclusa);Corsica (25);370
2004;Europa (Italia esclusa);XXII Marzo (26);668
