Anno;Continente (Italia esclusa);NIL (Nuclei di Identità Locale);Residenti stranieri
1999;Asia;Lambrate - Ortica (23);386
1999;Asia;Parco Forlanini - Cavriano (24);21
1999;Asia;Corsica (25);524
1999;Asia;XXII Marzo (26);827
1999;Asia;Pta Romana (27);668
1999;Asia;Umbria - Molise - Calvairate (28);796
1999;Asia;Ortomercato (29);122
1999;Asia;Taliedo - Morsenchio - Q.re Forlanini (30);198
1999;Asia;Monlue' - Ponte Lambro (31);68
1999;Asia;Triulzo Superiore (32);64
1999;Asia;Rogoredo - Santa Giulia (33);72
1999;Asia;Chiaravalle (34);2
1999;Asia;Lodi - Corvetto (35);909
1999;Asia;Scalo Romana (36);471
1999;Asia;Morivione (37);134
1999;Asia;Vigentino - Q.re Fatima (38);236
1999;Asia;Quintosole (39);4
1999;Asia;Ronchetto delle Rane (40);1
1999;Asia;Gratosoglio - Q.re Missaglia - Q.re Terrazze (41);69
1999;Asia;Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42);581
1999;Asia;Tibaldi (43);376
1999;Asia;Porta Ticinese - Conchetta (44);564
1999;Asia;Moncucco - San Cristoforo (45);235
1999;Asia;Barona (46);29
1999;Asia;Cantalupa (47);19
1999;Asia;Ronchetto sul Naviglio - Q.re Lodovico il Moro (48);116
1999;Asia;Giambellino (49);747
1999;Asia;Porta Genova (50);407
1999;Asia;Porta Magenta (51);701
1999;Asia;Bande Nere (52);1825
1999;Asia;Lorenteggio (53);254
1999;Asia;Muggiano (54);9
1999;Asia;Baggio - Q.re degli Olmi - Q.re Valsesia (55);395
1999;Asia;Forze Armate (56);384
1999;Asia;San Siro (57);844
1999;Asia;De Angeli - Monte Rosa (58);646
1999;Asia;Tre Torri (59);44
1999;Asia;Stadio - Ippodromi (60);322
1999;Asia;Quarto Cagnino (61);116
1999;Asia;Quinto Romano (62);35
1999;Asia;Figino (63);18
1999;Asia;Trenno (64);18
1999;Asia;Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65);214
1999;Asia;QT 8 (66);62
1999;Asia;Portello (67);209
1999;Asia;Pagano (68);567
1999;Asia;Sarpi (69);1724
1999;Asia;Ghisolfa (70);663
1999;Asia;Villapizzone - Cagnola - Boldinasco (71);1035
1999;Asia;Maggiore - Musocco - Certosa (72);38
1999;Asia;Stephenson (75);1
1999;Asia;Quarto Oggiaro - Vialba - Musocco (76);274
1999;Asia;Bovisa (77);532
1999;Asia;Farini (78);122
1999;Asia;Dergano (79);680
1999;Asia;Affori (80);560
1999;Asia;Bovisasca (81);68
1999;Asia;Comasina (82);82
1999;Asia;Bruzzano (83);129
1999;Asia;Parco Nord (84);31
1999;Asia;Parco Bosco in citta' (88);3
1999;Africa;Duomo (1);243
1999;Africa;Brera (2);275
1999;Africa;Giardini P.ta Venezia (3);2
1999;Africa;Guastalla (4);244
1999;Africa;Porta Vigentina - Porta Lodovica (5);249
1999;Africa;Porta Ticinese - Conca del Naviglio (6);512
1999;Africa;Magenta - S.Vittore (7);124
1999;Africa;Porta Garibaldi - Porta Nuova (9);143
1999;Africa;Stazione Centrale - Ponte Seveso (10);372
1999;Africa;Isola (11);717
1999;Africa;Maciachini - Maggiolina (12);266
1999;Africa;Greco - Segnano (13);220
1999;Africa;Niguarda - Ca Granda - Prato Centenaro - Q.re Fulvio Testi (14);446
1999;Africa;Bicocca (15);122
1999;Africa;Gorla - Precotto (16);353
1999;Africa;Adriano (17);134
1999;Africa;Cimiano - Rottole - Q.re Feltre (18);205
1999;Africa;Padova - Turro - Crescenzago (19);699
1999;Africa;Loreto - Casoretto - NoLo (20);1673
1999;Africa;Buenos Aires - Porta Venezia - Porta Monforte (21);1163
1999;Africa;Citta' studi (22);777
1999;Africa;Lambrate - Ortica (23);363
1999;Africa;Parco Forlanini - Cavriano (24);172
1999;Africa;Corsica (25);219
1999;Africa;XXII Marzo (26);458
1999;Africa;Pta Romana (27);393
1999;Africa;Umbria - Molise - Calvairate (28);953
1999;Africa;Ortomercato (29);129
1999;Africa;Taliedo - Morsenchio - Q.re Forlanini (30);296
1999;Africa;Monlue' - Ponte Lambro (31);267
1999;Africa;Triulzo Superiore (32);216
1999;Africa;Rogoredo - Santa Giulia (33);145
1999;Africa;Chiaravalle (34);26
1999;Africa;Lodi - Corvetto (35);1180
1999;Africa;Scalo Romana (36);691
1999;Africa;Morivione (37);118
1999;Africa;Vigentino - Q.re Fatima (38);115
1999;Africa;Quintosole (39);8
1999;Africa;Gratosoglio - Q.re Missaglia - Q.re Terrazze (41);260
1999;Africa;Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42);645
1999;Africa;Tibaldi (43);420
1999;Africa;Porta Ticinese - Conchetta (44);384
1999;Africa;Moncucco - San Cristoforo (45);308
1999;Africa;Barona (46);290
1999;Africa;Cantalupa (47);9
1999;Africa;Ronchetto sul Naviglio - Q.re Lodovico il Moro (48);182
1999;Africa;Giambellino (49);900
1999;Africa;Porta Genova (50);220
1999;Africa;Porta Magenta (51);177
1999;Africa;Bande Nere (52);605
1999;Africa;Lorenteggio (53);138
1999;Africa;Muggiano (54);14
1999;Africa;Baggio - Q.re degli Olmi - Q.re Valsesia (55);359
1999;Africa;Forze Armate (56);452
