"Anno";"NIL (Nuclei di Identità Locale)";"Continente (Italia esclusa)";"Residenti stranieri"
"2002";"Parco delle Abbazie (85)";"Asia";1
"2002";"Parco delle Abbazie (85)";"Africa";14
"2002";"Parco delle Abbazie (85)";"America";4
"2002";"Parco dei Navigli (86)";"Europa (Italia esclusa)";26
"2002";"Parco dei Navigli (86)";"Africa";14
"2002";"Assiano (87)";"Europa (Italia esclusa)";31
"2002";"Assiano (87)";"Africa";1
"2002";"Assiano (87)";"America";1
"2002";"Parco Bosco in citta' (88)";"Europa (Italia esclusa)";73
"2002";"Parco Bosco in citta' (88)";"Asia";6
"2002";"Parco Bosco in citta' (88)";"Africa";40
"2002";"Parco Bosco in citta' (88)";"America";6
"2002";"Parco Bosco in citta' (88)";"Oceania";1
"2003";"Duomo (1)";"Europa (Italia esclusa)";467
"2003";"Duomo (1)";"Asia";655
"2003";"Duomo (1)";"Africa";175
"2003";"Duomo (1)";"America";299
"2003";"Duomo (1)";"Oceania";1
"2003";"Duomo (1)";"Apolidi";1
"2003";"Brera (2)";"Europa (Italia esclusa)";533
"2003";"Brera (2)";"Asia";537
"2003";"Brera (2)";"Africa";132
"2003";"Brera (2)";"America";272
"2003";"Brera (2)";"Oceania";8
"2003";"Brera (2)";"Apolidi";1
"2003";"Giardini P.ta Venezia (3)";"Asia";7
"2003";"Giardini P.ta Venezia (3)";"Africa";1
"2003";"Guastalla (4)";"Europa (Italia esclusa)";386
"2003";"Guastalla (4)";"Asia";609
"2003";"Guastalla (4)";"Africa";127
"2003";"Guastalla (4)";"America";268
"2003";"Guastalla (4)";"Oceania";7
"2003";"Guastalla (4)";"Apolidi";2
"2003";"Porta Vigentina - Porta Lodovica (5)";"Europa (Italia esclusa)";259
"2003";"Porta Vigentina - Porta Lodovica (5)";"Asia";391
"2003";"Porta Vigentina - Porta Lodovica (5)";"Africa";170
"2003";"Porta Vigentina - Porta Lodovica (5)";"America";209
"2003";"Porta Vigentina - Porta Lodovica (5)";"Oceania";1
"2003";"Porta Ticinese - Conca del Naviglio (6)";"Europa (Italia esclusa)";364
"2003";"Porta Ticinese - Conca del Naviglio (6)";"Asia";756
"2003";"Porta Ticinese - Conca del Naviglio (6)";"Africa";333
"2003";"Porta Ticinese - Conca del Naviglio (6)";"America";324
"2003";"Porta Ticinese - Conca del Naviglio (6)";"Oceania";1
"2003";"Magenta - S.Vittore (7)";"Europa (Italia esclusa)";493
"2003";"Magenta - S.Vittore (7)";"Asia";582
"2003";"Magenta - S.Vittore (7)";"Africa";119
"2003";"Magenta - S.Vittore (7)";"America";251
"2003";"Magenta - S.Vittore (7)";"Oceania";3
"2003";"Porta Garibaldi - Porta Nuova (9)";"Europa (Italia esclusa)";88
"2003";"Porta Garibaldi - Porta Nuova (9)";"Asia";210
"2003";"Porta Garibaldi - Porta Nuova (9)";"Africa";78
"2003";"Porta Garibaldi - Porta Nuova (9)";"America";100
"2003";"Porta Garibaldi - Porta Nuova (9)";"Oceania";1
"2003";"Stazione Centrale - Ponte Seveso (10)";"Europa (Italia esclusa)";348
"2003";"Stazione Centrale - Ponte Seveso (10)";"Asia";1118
"2003";"Stazione Centrale - Ponte Seveso (10)";"Africa";206
"2003";"Stazione Centrale - Ponte Seveso (10)";"America";322
"2003";"Stazione Centrale - Ponte Seveso (10)";"Oceania";5
"2003";"Stazione Centrale - Ponte Seveso (10)";"Apolidi";2
"2003";"Isola (11)";"Europa (Italia esclusa)";381
"2003";"Isola (11)";"Asia";1135
"2003";"Isola (11)";"Africa";560
"2003";"Isola (11)";"America";426
"2003";"Maciachini - Maggiolina (12)";"Europa (Italia esclusa)";443
"2003";"Maciachini - Maggiolina (12)";"Asia";1042
"2003";"Maciachini - Maggiolina (12)";"Africa";308
"2003";"Maciachini - Maggiolina (12)";"America";416
"2003";"Greco - Segnano (13)";"Europa (Italia esclusa)";188
"2003";"Greco - Segnano (13)";"Asia";626
"2003";"Greco - Segnano (13)";"Africa";221
"2003";"Greco - Segnano (13)";"America";287
"2003";"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";"Europa (Italia esclusa)";272
"2003";"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";"Asia";378
"2003";"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";"Africa";599
"2003";"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";"America";289
"2003";"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";"Oceania";2
"2003";"Bicocca (15)";"Europa (Italia esclusa)";83
"2003";"Bicocca (15)";"Asia";107
"2003";"Bicocca (15)";"Africa";160
"2003";"Bicocca (15)";"America";87
"2003";"Gorla - Precotto (16)";"Europa (Italia esclusa)";326
"2003";"Gorla - Precotto (16)";"Asia";801
"2003";"Gorla - Precotto (16)";"Africa";397
"2003";"Gorla - Precotto (16)";"America";455
"2003";"Gorla - Precotto (16)";"Oceania";1
"2003";"Gorla - Precotto (16)";"Apolidi";1
"2003";"Adriano (17)";"Europa (Italia esclusa)";158
"2003";"Adriano (17)";"Asia";421
"2003";"Adriano (17)";"Africa";130
"2003";"Adriano (17)";"America";133
"2003";"Adriano (17)";"Oceania";1
"2003";"Cimiano - Rottole - Q.re Feltre (18)";"Europa (Italia esclusa)";216
"2003";"Cimiano - Rottole - Q.re Feltre (18)";"Asia";459
"2003";"Cimiano - Rottole - Q.re Feltre (18)";"Africa";245
"2003";"Cimiano - Rottole - Q.re Feltre (18)";"America";303
"2003";"Padova - Turro - Crescenzago (19)";"Europa (Italia esclusa)";556
"2003";"Padova - Turro - Crescenzago (19)";"Asia";1664
"2003";"Padova - Turro - Crescenzago (19)";"Africa";810
"2003";"Padova - Turro - Crescenzago (19)";"America";840
"2003";"Padova - Turro - Crescenzago (19)";"Oceania";2
"2003";"Padova - Turro - Crescenzago (19)";"Apolidi";1
"2003";"Loreto - Casoretto - NoLo (20)";"Europa (Italia esclusa)";795
"2003";"Loreto - Casoretto - NoLo (20)";"Asia";2859
"2003";"Loreto - Casoretto - NoLo (20)";"Africa";1545
"2003";"Loreto - Casoretto - NoLo (20)";"America";1220
"2003";"Loreto - Casoretto - NoLo (20)";"Oceania";3
"2003";"Buenos Aires - Porta Venezia - Porta Monforte (21)";"Europa (Italia esclusa)";1307
"2003";"Buenos Aires - Porta Venezia - Porta Monforte (21)";"Asia";2093
"2003";"Buenos Aires - Porta Venezia - Porta Monforte (21)";"Africa";734
"2003";"Buenos Aires - Porta Venezia - Porta Monforte (21)";"America";898
"2003";"Buenos Aires - Porta Venezia - Porta Monforte (21)";"Oceania";8
"2003";"Citta' studi (22)";"Europa (Italia esclusa)";545
"2003";"Citta' studi (22)";"Asia";992
"2003";"Citta' studi (22)";"Africa";576
"2003";"Citta' studi (22)";"America";744
"2003";"Citta' studi (22)";"Oceania";3
"2003";"Lambrate - Ortica (23)";"Europa (Italia esclusa)";94
"2003";"Lambrate - Ortica (23)";"Asia";378
"2003";"Lambrate - Ortica (23)";"Africa";242
"2003";"Lambrate - Ortica (23)";"America";168
"2003";"Parco Forlanini - Cavriano (24)";"Europa (Italia esclusa)";14
"2003";"Parco Forlanini - Cavriano (24)";"Asia";10
"2003";"Parco Forlanini - Cavriano (24)";"Africa";44
"2003";"Parco Forlanini - Cavriano (24)";"America";14
"2003";"Corsica (25)";"Europa (Italia esclusa)";278
"2003";"Corsica (25)";"Asia";500
"2003";"Corsica (25)";"Africa";137
"2003";"Corsica (25)";"America";303
"2003";"XXII Marzo (26)";"Europa (Italia esclusa)";529
"2003";"XXII Marzo (26)";"Asia";745
"2003";"XXII Marzo (26)";"Africa";342
"2003";"XXII Marzo (26)";"America";380
"2003";"XXII Marzo (26)";"Oceania";5
"2003";"Pta Romana (27)";"Europa (Italia esclusa)";326
"2003";"Pta Romana (27)";"Asia";554
"2003";"Pta Romana (27)";"Africa";206
"2003";"Pta Romana (27)";"America";214
"2003";"Pta Romana (27)";"Oceania";2
"2003";"Umbria - Molise - Calvairate (28)";"Europa (Italia esclusa)";286
"2003";"Umbria - Molise - Calvairate (28)";"Asia";816
"2003";"Umbria - Molise - Calvairate (28)";"Africa";965
"2003";"Umbria - Molise - Calvairate (28)";"America";395
"2003";"Umbria - Molise - Calvairate (28)";"Oceania";1
"2003";"Ortomercato (29)";"Europa (Italia esclusa)";58
"2003";"Ortomercato (29)";"Asia";188
"2003";"Ortomercato (29)";"Africa";147
"2003";"Ortomercato (29)";"America";52
"2003";"Taliedo - Morsenchio - Q.re Forlanini (30)";"Europa (Italia esclusa)";165
"2003";"Taliedo - Morsenchio - Q.re Forlanini (30)";"Asia";244
"2003";"Taliedo - Morsenchio - Q.re Forlanini (30)";"Africa";312
"2003";"Taliedo - Morsenchio - Q.re Forlanini (30)";"America";236
"2003";"Taliedo - Morsenchio - Q.re Forlanini (30)";"Oceania";7
"2003";"Monlue' - Ponte Lambro (31)";"Europa (Italia esclusa)";77
"2003";"Monlue' - Ponte Lambro (31)";"Asia";96
"2003";"Monlue' - Ponte Lambro (31)";"Africa";332
"2003";"Monlue' - Ponte Lambro (31)";"America";115
"2003";"Triulzo Superiore (32)";"Europa (Italia esclusa)";55
"2003";"Triulzo Superiore (32)";"Asia";79
"2003";"Triulzo Superiore (32)";"Africa";137
"2003";"Triulzo Superiore (32)";"America";47
"2003";"Rogoredo - Santa Giulia (33)";"Europa (Italia esclusa)";62
"2003";"Rogoredo - Santa Giulia (33)";"Asia";103
"2003";"Rogoredo - Santa Giulia (33)";"Africa";108
"2003";"Rogoredo - Santa Giulia (33)";"America";99
"2003";"Chiaravalle (34)";"Europa (Italia esclusa)";4
"2003";"Chiaravalle (34)";"Asia";9
"2003";"Chiaravalle (34)";"Africa";25
"2003";"Chiaravalle (34)";"America";8
"2003";"Lodi - Corvetto (35)";"Europa (Italia esclusa)";450
"2003";"Lodi - Corvetto (35)";"Asia";1063
"2003";"Lodi - Corvetto (35)";"Africa";1115
"2003";"Lodi - Corvetto (35)";"America";592
"2003";"Lodi - Corvetto (35)";"Oceania";1
"2003";"Scalo Romana (36)";"Europa (Italia esclusa)";120
"2003";"Scalo Romana (36)";"Asia";534
"2003";"Scalo Romana (36)";"Africa";477
"2003";"Scalo Romana (36)";"America";281
"2003";"Morivione (37)";"Europa (Italia esclusa)";68
"2003";"Morivione (37)";"Asia";261
"2003";"Morivione (37)";"Africa";121
"2003";"Morivione (37)";"America";78
"2003";"Vigentino - Q.re Fatima (38)";"Europa (Italia esclusa)";160
"2003";"Vigentino - Q.re Fatima (38)";"Asia";226
"2003";"Vigentino - Q.re Fatima (38)";"Africa";109
"2003";"Vigentino - Q.re Fatima (38)";"America";147
"2003";"Quintosole (39)";"Europa (Italia esclusa)";18
"2003";"Quintosole (39)";"Asia";9
"2003";"Quintosole (39)";"Africa";2
"2003";"Quintosole (39)";"America";2
"2003";"Ronchetto delle Rane (40)";"Europa (Italia esclusa)";3
"2003";"Ronchetto delle Rane (40)";"Asia";6
"2003";"Ronchetto delle Rane (40)";"Africa";4
"2003";"Ronchetto delle Rane (40)";"America";1
"2003";"Gratosoglio - Q.re Missaglia - Q.re Terrazze (41)";"Europa (Italia esclusa)";110
"2003";"Gratosoglio - Q.re Missaglia - Q.re Terrazze (41)";"Asia";146
"2003";"Gratosoglio - Q.re Missaglia - Q.re Terrazze (41)";"Africa";388
"2003";"Gratosoglio - Q.re Missaglia - Q.re Terrazze (41)";"America";107
"2003";"Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42)";"Europa (Italia esclusa)";314
"2003";"Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42)";"Asia";698
"2003";"Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42)";"Africa";617
"2003";"Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42)";"America";396
"2003";"Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42)";"Oceania";1
"2003";"Tibaldi (43)";"Europa (Italia esclusa)";158
"2003";"Tibaldi (43)";"Asia";400
"2003";"Tibaldi (43)";"Africa";384
"2003";"Tibaldi (43)";"America";186
"2003";"Tibaldi (43)";"Oceania";2
"2003";"Porta Ticinese - Conchetta (44)";"Europa (Italia esclusa)";293
"2003";"Porta Ticinese - Conchetta (44)";"Asia";550
"2003";"Porta Ticinese - Conchetta (44)";"Africa";307
"2003";"Porta Ticinese - Conchetta (44)";"America";267
"2003";"Moncucco - San Cristoforo (45)";"Europa (Italia esclusa)";183
"2003";"Moncucco - San Cristoforo (45)";"Asia";306
"2003";"Moncucco - San Cristoforo (45)";"Africa";253
"2003";"Moncucco - San Cristoforo (45)";"America";218
"2003";"Moncucco - San Cristoforo (45)";"Oceania";1
"2003";"Barona (46)";"Europa (Italia esclusa)";72
"2003";"Barona (46)";"Asia";84
"2003";"Barona (46)";"Africa";377
"2003";"Barona (46)";"America";89
"2003";"Barona (46)";"Oceania";1
"2003";"Cantalupa (47)";"Europa (Italia esclusa)";10
"2003";"Cantalupa (47)";"Asia";20
"2003";"Cantalupa (47)";"Africa";13
"2003";"Cantalupa (47)";"America";1
"2003";"Ronchetto sul Naviglio - Q.re Lodovico il Moro (48)";"Europa (Italia esclusa)";176
"2003";"Ronchetto sul Naviglio - Q.re Lodovico il Moro (48)";"Asia";208
"2003";"Ronchetto sul Naviglio - Q.re Lodovico il Moro (48)";"Africa";216
"2003";"Ronchetto sul Naviglio - Q.re Lodovico il Moro (48)";"America";214
"2003";"Ronchetto sul Naviglio - Q.re Lodovico il Moro (48)";"Oceania";1
"2003";"Giambellino (49)";"Europa (Italia esclusa)";372
"2003";"Giambellino (49)";"Asia";991
"2003";"Giambellino (49)";"Africa";1141
"2003";"Giambellino (49)";"America";569
"2003";"Giambellino (49)";"Oceania";2
"2003";"Giambellino (49)";"Apolidi";1
"2003";"Porta Genova (50)";"Europa (Italia esclusa)";263
"2003";"Porta Genova (50)";"Asia";317
"2003";"Porta Genova (50)";"Africa";152
"2003";"Porta Genova (50)";"America";160
"2003";"Porta Genova (50)";"Oceania";2
"2003";"Porta Magenta (51)";"Europa (Italia esclusa)";538
"2003";"Porta Magenta (51)";"Asia";575
"2003";"Porta Magenta (51)";"Africa";146
"2003";"Porta Magenta (51)";"America";360
"2003";"Porta Magenta (51)";"Oceania";5
"2003";"Bande Nere (52)";"Europa (Italia esclusa)";546
"2003";"Bande Nere (52)";"Asia";1439
"2003";"Bande Nere (52)";"Africa";399
"2003";"Bande Nere (52)";"America";508
"2003";"Bande Nere (52)";"Oceania";2
"2003";"Lorenteggio (53)";"Europa (Italia esclusa)";147
"2003";"Lorenteggio (53)";"Asia";244
"2003";"Lorenteggio (53)";"Africa";177
"2003";"Lorenteggio (53)";"America";121
"2003";"Muggiano (54)";"Europa (Italia esclusa)";14
"2003";"Muggiano (54)";"Asia";4
"2003";"Muggiano (54)";"Africa";15
"2003";"Muggiano (54)";"America";12
"2003";"Baggio - Q.re degli Olmi - Q.re Valsesia (55)";"Europa (Italia esclusa)";197
"2003";"Baggio - Q.re degli Olmi - Q.re Valsesia (55)";"Asia";501
"2003";"Baggio - Q.re degli Olmi - Q.re Valsesia (55)";"Africa";439
"2003";"Baggio - Q.re degli Olmi - Q.re Valsesia (55)";"America";414
"2003";"Forze Armate (56)";"Europa (Italia esclusa)";213
"2003";"Forze Armate (56)";"Asia";584
"2003";"Forze Armate (56)";"Africa";483
"2003";"Forze Armate (56)";"America";284
"2003";"San Siro (57)";"Europa (Italia esclusa)";430
"2003";"San Siro (57)";"Asia";1078
"2003";"San Siro (57)";"Africa";1875
"2003";"San Siro (57)";"America";554
"2003";"De Angeli - Monte Rosa (58)";"Europa (Italia esclusa)";561
"2003";"De Angeli - Monte Rosa (58)";"Asia";543
"2003";"De Angeli - Monte Rosa (58)";"Africa";145
"2003";"De Angeli - Monte Rosa (58)";"America";285
"2003";"De Angeli - Monte Rosa (58)";"Oceania";1
"2003";"Tre Torri (59)";"Europa (Italia esclusa)";37
"2003";"Tre Torri (59)";"Asia";34
"2003";"Tre Torri (59)";"Africa";4
"2003";"Tre Torri (59)";"America";18
"2003";"Stadio - Ippodromi (60)";"Europa (Italia esclusa)";631
"2003";"Stadio - Ippodromi (60)";"Asia";328
"2003";"Stadio - Ippodromi (60)";"Africa";95
"2003";"Stadio - Ippodromi (60)";"America";127
"2003";"Quarto Cagnino (61)";"Europa (Italia esclusa)";39
"2003";"Quarto Cagnino (61)";"Asia";158
"2003";"Quarto Cagnino (61)";"Africa";124
"2003";"Quarto Cagnino (61)";"America";60
"2003";"Quarto Cagnino (61)";"Oceania";1
"2003";"Quinto Romano (62)";"Europa (Italia esclusa)";41
"2003";"Quinto Romano (62)";"Asia";45
"2003";"Quinto Romano (62)";"Africa";42
"2003";"Quinto Romano (62)";"America";47
"2003";"Figino (63)";"Europa (Italia esclusa)";25
"2003";"Figino (63)";"Asia";9
"2003";"Figino (63)";"Africa";22
"2003";"Figino (63)";"America";11
"2003";"Trenno (64)";"Europa (Italia esclusa)";14
"2003";"Trenno (64)";"Asia";13
"2003";"Trenno (64)";"Africa";16
"2003";"Trenno (64)";"America";19
"2003";"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";"Europa (Italia esclusa)";237
"2003";"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";"Asia";230
"2003";"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";"Africa";211
"2003";"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";"America";208
"2003";"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";"Oceania";2
"2003";"QT 8 (66)";"Europa (Italia esclusa)";53
"2003";"QT 8 (66)";"Asia";90
"2003";"QT 8 (66)";"Africa";40
"2003";"QT 8 (66)";"America";39
"2003";"Portello (67)";"Europa (Italia esclusa)";114
"2003";"Portello (67)";"Asia";192
"2003";"Portello (67)";"Africa";45
"2003";"Portello (67)";"America";100
"2003";"Portello (67)";"Oceania";1
"2003";"Pagano (68)";"Europa (Italia esclusa)";437
"2003";"Pagano (68)";"Asia";476
"2003";"Pagano (68)";"Africa";89
"2003";"Pagano (68)";"America";209
"2003";"Pagano (68)";"Oceania";6
"2003";"Sarpi (69)";"Europa (Italia esclusa)";602
"2003";"Sarpi (69)";"Asia";1833
"2003";"Sarpi (69)";"Africa";290
"2003";"Sarpi (69)";"America";424
"2003";"Sarpi (69)";"Oceania";1
"2003";"Ghisolfa (70)";"Europa (Italia esclusa)";261
"2003";"Ghisolfa (70)";"Asia";741
"2003";"Ghisolfa (70)";"Africa";226
"2003";"Ghisolfa (70)";"America";266
"2003";"Ghisolfa (70)";"Apolidi";1
"2003";"Villapizzone - Cagnola - Boldinasco (71)";"Europa (Italia esclusa)";516
"2003";"Villapizzone - Cagnola - Boldinasco (71)";"Asia";1755
"2003";"Villapizzone - Cagnola - Boldinasco (71)";"Africa";933
"2003";"Villapizzone - Cagnola - Boldinasco (71)";"America";770
"2003";"Maggiore - Musocco - Certosa (72)";"Europa (Italia esclusa)";154
"2003";"Maggiore - Musocco - Certosa (72)";"Asia";55
"2003";"Maggiore - Musocco - Certosa (72)";"Africa";55
"2003";"Maggiore - Musocco - Certosa (72)";"America";68
"2003";"Maggiore - Musocco - Certosa (72)";"Oceania";1
"2003";"Cascina Merlata (73)";"Europa (Italia esclusa)";1
"2003";"Cascina Merlata (73)";"Asia";5
"2003";"Roserio (74)";"Europa (Italia esclusa)";2
"2003";"Roserio (74)";"Asia";3
"2003";"Roserio (74)";"Africa";1
"2003";"Roserio (74)";"America";10
"2003";"Stephenson (75)";"Europa (Italia esclusa)";5
"2003";"Stephenson (75)";"Asia";4
"2003";"Quarto Oggiaro - Vialba - Musocco (76)";"Europa (Italia esclusa)";279
"2003";"Quarto Oggiaro - Vialba - Musocco (76)";"Asia";666
"2003";"Quarto Oggiaro - Vialba - Musocco (76)";"Africa";1014
"2003";"Quarto Oggiaro - Vialba - Musocco (76)";"America";346
"2003";"Quarto Oggiaro - Vialba - Musocco (76)";"Oceania";2
"2003";"Quarto Oggiaro - Vialba - Musocco (76)";"Apolidi";1
"2003";"Bovisa (77)";"Europa (Italia esclusa)";226
"2003";"Bovisa (77)";"Asia";675
"2003";"Bovisa (77)";"Africa";480
"2003";"Bovisa (77)";"America";255
"2003";"Farini (78)";"Europa (Italia esclusa)";51
"2003";"Farini (78)";"Asia";232
"2003";"Farini (78)";"Africa";185
"2003";"Farini (78)";"America";86
"2003";"Dergano (79)";"Europa (Italia esclusa)";287
"2003";"Dergano (79)";"Asia";1159
"2003";"Dergano (79)";"Africa";650
"2003";"Dergano (79)";"America";428
"2003";"Dergano (79)";"Oceania";1
"2003";"Affori (80)";"Europa (Italia esclusa)";271
"2003";"Affori (80)";"Asia";878
"2003";"Affori (80)";"Africa";401
"2003";"Affori (80)";"America";392
"2003";"Bovisasca (81)";"Europa (Italia esclusa)";51
"2003";"Bovisasca (81)";"Asia";91
"2003";"Bovisasca (81)";"Africa";72
"2003";"Bovisasca (81)";"America";82
"2003";"Comasina (82)";"Europa (Italia esclusa)";183
"2003";"Comasina (82)";"Asia";253
"2003";"Comasina (82)";"Africa";155
"2003";"Comasina (82)";"America";116
"2003";"Bruzzano (83)";"Europa (Italia esclusa)";131
"2003";"Bruzzano (83)";"Asia";175
"2003";"Bruzzano (83)";"Africa";276
"2003";"Bruzzano (83)";"America";154
"2003";"Parco Nord (84)";"Europa (Italia esclusa)";1
"2003";"Parco Nord (84)";"Asia";28
"2003";"Parco Nord (84)";"Africa";3
"2003";"Parco Nord (84)";"America";3
"2003";"Parco Nord (84)";"Oceania";1
"2003";"Parco delle Abbazie (85)";"Europa (Italia esclusa)";60
"2003";"Parco delle Abbazie (85)";"Asia";1
"2003";"Parco delle Abbazie (85)";"Africa";12
"2003";"Parco delle Abbazie (85)";"America";5
"2003";"Parco dei Navigli (86)";"Europa (Italia esclusa)";19
"2003";"Parco dei Navigli (86)";"Africa";9
"2003";"Assiano (87)";"Europa (Italia esclusa)";10
"2003";"Assiano (87)";"America";1
"2003";"Parco Bosco in citta' (88)";"Europa (Italia esclusa)";87
"2003";"Parco Bosco in citta' (88)";"Asia";5
"2003";"Parco Bosco in citta' (88)";"Africa";1
"2003";"Parco Bosco in citta' (88)";"America";6
"2004";"Duomo (1)";"Europa (Italia esclusa)";543
"2004";"Duomo (1)";"Asia";756
"2004";"Duomo (1)";"Africa";174
"2004";"Duomo (1)";"America";428
"2004";"Duomo (1)";"Oceania";4
"2004";"Duomo (1)";"Apolidi";1
"2004";"Brera (2)";"Europa (Italia esclusa)";656
"2004";"Brera (2)";"Asia";615
"2004";"Brera (2)";"Africa";157
"2004";"Brera (2)";"America";366
"2004";"Brera (2)";"Oceania";11
"2004";"Brera (2)";"Apolidi";1
"2004";"Giardini P.ta Venezia (3)";"Asia";6
"2004";"Giardini P.ta Venezia (3)";"America";1
"2004";"Guastalla (4)";"Europa (Italia esclusa)";438
"2004";"Guastalla (4)";"Asia";681
"2004";"Guastalla (4)";"Africa";148
"2004";"Guastalla (4)";"America";392
"2004";"Guastalla (4)";"Oceania";2
"2004";"Guastalla (4)";"Apolidi";2
"2004";"Porta Vigentina - Porta Lodovica (5)";"Europa (Italia esclusa)";319
"2004";"Porta Vigentina - Porta Lodovica (5)";"Asia";450
"2004";"Porta Vigentina - Porta Lodovica (5)";"Africa";255
"2004";"Porta Vigentina - Porta Lodovica (5)";"America";311
"2004";"Porta Vigentina - Porta Lodovica (5)";"Oceania";2
"2004";"Porta Ticinese - Conca del Naviglio (6)";"Europa (Italia esclusa)";464
"2004";"Porta Ticinese - Conca del Naviglio (6)";"Asia";862
"2004";"Porta Ticinese - Conca del Naviglio (6)";"Africa";504
"2004";"Porta Ticinese - Conca del Naviglio (6)";"America";488
"2004";"Porta Ticinese - Conca del Naviglio (6)";"Oceania";2
"2004";"Magenta - S.Vittore (7)";"Europa (Italia esclusa)";585
"2004";"Magenta - S.Vittore (7)";"Asia";648
"2004";"Magenta - S.Vittore (7)";"Africa";140
"2004";"Magenta - S.Vittore (7)";"America";351
"2004";"Magenta - S.Vittore (7)";"Oceania";4
"2004";"Porta Garibaldi - Porta Nuova (9)";"Europa (Italia esclusa)";112
"2004";"Porta Garibaldi - Porta Nuova (9)";"Asia";246
"2004";"Porta Garibaldi - Porta Nuova (9)";"Africa";95
"2004";"Porta Garibaldi - Porta Nuova (9)";"America";174
"2004";"Porta Garibaldi - Porta Nuova (9)";"Oceania";1
"2004";"Stazione Centrale - Ponte Seveso (10)";"Europa (Italia esclusa)";440
"2004";"Stazione Centrale - Ponte Seveso (10)";"Asia";1374
"2004";"Stazione Centrale - Ponte Seveso (10)";"Africa";225
"2004";"Stazione Centrale - Ponte Seveso (10)";"America";572
"2004";"Stazione Centrale - Ponte Seveso (10)";"Oceania";5
"2004";"Stazione Centrale - Ponte Seveso (10)";"Apolidi";2
"2004";"Isola (11)";"Europa (Italia esclusa)";489
"2004";"Isola (11)";"Asia";1397
"2004";"Isola (11)";"Africa";733
"2004";"Isola (11)";"America";636
"2004";"Maciachini - Maggiolina (12)";"Europa (Italia esclusa)";562
"2004";"Maciachini - Maggiolina (12)";"Asia";1267
"2004";"Maciachini - Maggiolina (12)";"Africa";389
"2004";"Maciachini - Maggiolina (12)";"America";686
"2004";"Maciachini - Maggiolina (12)";"Oceania";1
"2004";"Greco - Segnano (13)";"Europa (Italia esclusa)";278
"2004";"Greco - Segnano (13)";"Asia";740
"2004";"Greco - Segnano (13)";"Africa";318
"2004";"Greco - Segnano (13)";"America";482
"2004";"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";"Europa (Italia esclusa)";417
"2004";"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";"Asia";504
"2004";"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";"Africa";730
"2004";"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";"America";450
"2004";"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";"Oceania";2
"2004";"Bicocca (15)";"Europa (Italia esclusa)";102
"2004";"Bicocca (15)";"Asia";110
"2004";"Bicocca (15)";"Africa";217
"2004";"Bicocca (15)";"America";166
"2004";"Gorla - Precotto (16)";"Europa (Italia esclusa)";498
"2004";"Gorla - Precotto (16)";"Asia";996
"2004";"Gorla - Precotto (16)";"Africa";513
"2004";"Gorla - Precotto (16)";"America";756
"2004";"Gorla - Precotto (16)";"Oceania";2
"2004";"Gorla - Precotto (16)";"Apolidi";1
"2004";"Adriano (17)";"Europa (Italia esclusa)";219
"2004";"Adriano (17)";"Asia";561
"2004";"Adriano (17)";"Africa";191
"2004";"Adriano (17)";"America";222
"2004";"Cimiano - Rottole - Q.re Feltre (18)";"Europa (Italia esclusa)";323
"2004";"Cimiano - Rottole - Q.re Feltre (18)";"Asia";535
"2004";"Cimiano - Rottole - Q.re Feltre (18)";"Africa";315
"2004";"Cimiano - Rottole - Q.re Feltre (18)";"America";452
"2004";"Padova - Turro - Crescenzago (19)";"Europa (Italia esclusa)";795
"2004";"Padova - Turro - Crescenzago (19)";"Asia";2110
"2004";"Padova - Turro - Crescenzago (19)";"Africa";1141
"2004";"Padova - Turro - Crescenzago (19)";"America";1328
"2004";"Padova - Turro - Crescenzago (19)";"Oceania";2
"2004";"Padova - Turro - Crescenzago (19)";"Apolidi";1
"2004";"Loreto - Casoretto - NoLo (20)";"Europa (Italia esclusa)";1040
"2004";"Loreto - Casoretto - NoLo (20)";"Asia";3617
"2004";"Loreto - Casoretto - NoLo (20)";"Africa";2150
"2004";"Loreto - Casoretto - NoLo (20)";"America";1843
