"Anno";"NIL (Nuclei di Identità Locale)";"Continente (Italia esclusa)";"Residenti stranieri"
"1999";"Buenos Aires - Porta Venezia - Porta Monforte (21)";"Africa";1163
"1999";"Buenos Aires - Porta Venezia - Porta Monforte (21)";"America";973
"1999";"Buenos Aires - Porta Venezia - Porta Monforte (21)";"Oceania";12
"1999";"Buenos Aires - Porta Venezia - Porta Monforte (21)";"Apolidi";8
"1999";"Citta' studi (22)";"Europa (Italia esclusa)";978
"1999";"Citta' studi (22)";"Asia";1263
"1999";"Citta' studi (22)";"Africa";777
"1999";"Citta' studi (22)";"America";624
"1999";"Citta' studi (22)";"Oceania";2
"1999";"Citta' studi (22)";"Apolidi";1
"1999";"Lambrate - Ortica (23)";"Europa (Italia esclusa)";124
"1999";"Lambrate - Ortica (23)";"Asia";386
"1999";"Lambrate - Ortica (23)";"Africa";363
"1999";"Lambrate - Ortica (23)";"America";92
"1999";"Lambrate - Ortica (23)";"Oceania";1
"1999";"Parco Forlanini - Cavriano (24)";"Europa (Italia esclusa)";11
"1999";"Parco Forlanini - Cavriano (24)";"Asia";21
"1999";"Parco Forlanini - Cavriano (24)";"Africa";172
"1999";"Parco Forlanini - Cavriano (24)";"America";11
"1999";"Corsica (25)";"Europa (Italia esclusa)";429
"1999";"Corsica (25)";"Asia";524
"1999";"Corsica (25)";"Africa";219
"1999";"Corsica (25)";"America";268
"1999";"Corsica (25)";"Oceania";3
"1999";"XXII Marzo (26)";"Europa (Italia esclusa)";785
"1999";"XXII Marzo (26)";"Asia";827
"1999";"XXII Marzo (26)";"Africa";458
"1999";"XXII Marzo (26)";"America";404
"1999";"XXII Marzo (26)";"Oceania";7
"1999";"XXII Marzo (26)";"Apolidi";2
"1999";"Pta Romana (27)";"Europa (Italia esclusa)";393
"1999";"Pta Romana (27)";"Asia";668
"1999";"Pta Romana (27)";"Africa";393
"1999";"Pta Romana (27)";"America";220
"1999";"Umbria - Molise - Calvairate (28)";"Europa (Italia esclusa)";291
"1999";"Umbria - Molise - Calvairate (28)";"Asia";796
"1999";"Umbria - Molise - Calvairate (28)";"Africa";953
"1999";"Umbria - Molise - Calvairate (28)";"America";338
"1999";"Umbria - Molise - Calvairate (28)";"Oceania";3
"1999";"Ortomercato (29)";"Europa (Italia esclusa)";48
