"NIL (Nuclei di Identità Locale)";"Cittadinanza (2 modalità)";"Residenti"
"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";"Italiana";27744
"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";"Straniera";5201
"QT 8 (66)";"Italiana";3545
"QT 8 (66)";"Straniera";501
"Portello (67)";"Italiana";7985
"Portello (67)";"Straniera";1047
"Pagano (68)";"Italiana";15948
"Pagano (68)";"Straniera";2127
"Sarpi (69)";"Italiana";25478
"Sarpi (69)";"Straniera";5867
"Ghisolfa (70)";"Italiana";15492
"Ghisolfa (70)";"Straniera";3117
"Villapizzone - Cagnola - Boldinasco (71)";"Italiana";28423
"Villapizzone - Cagnola - Boldinasco (71)";"Straniera";13809
"Maggiore - Musocco - Certosa (72)";"Italiana";7904
"Maggiore - Musocco - Certosa (72)";"Straniera";1608
"Cascina Merlata (73)";"Italiana";593
"Cascina Merlata (73)";"Straniera";410
"Roserio (74)";"Italiana";172
"Roserio (74)";"Straniera";88
"Stephenson (75)";"Italiana";118
"Stephenson (75)";"Straniera";55
"Quarto Oggiaro - Vialba - Musocco (76)";"Italiana";21824
"Quarto Oggiaro - Vialba - Musocco (76)";"Straniera";10675
"Bovisa (77)";"Italiana";9307
"Bovisa (77)";"Straniera";4840
"Farini (78)";"Italiana";2585
"Farini (78)";"Straniera";1315
"Dergano (79)";"Italiana";15849
"Dergano (79)";"Straniera";8565
"Affori (80)";"Italiana";18370
"Affori (80)";"Straniera";8087
"Bovisasca (81)";"Italiana";6121
"Bovisasca (81)";"Straniera";1481
"Comasina (82)";"Italiana";5782
"Comasina (82)";"Straniera";4260
"Bruzzano (83)";"Italiana";10050
"Bruzzano (83)";"Straniera";2770
"Parco Nord (84)";"Italiana";72
"Parco Nord (84)";"Straniera";24
"Parco delle Abbazie (85)";"Italiana";220
"Parco delle Abbazie (85)";"Straniera";132
"Parco dei Navigli (86)";"Italiana";279
"Parco dei Navigli (86)";"Straniera";89
"Assiano (87)";"Italiana";199
"Assiano (87)";"Straniera";16
"Parco Bosco in citta' (88)";"Italiana";507
"Parco Bosco in citta' (88)";"Straniera";213
