"Cittadinanza (singolo paese)";"NIL (Nuclei di Identità Locale)";"Residenti"
"Albania";"Lorenteggio (53)";32
"Albania";"Muggiano (54)";8
"Albania";"Baggio - Q.re degli Olmi - Q.re Valsesia (55)";104
"Albania";"Forze Armate (56)";115
"Albania";"San Siro (57)";110
"Albania";"De Angeli - Monte Rosa (58)";53
"Albania";"Stadio - Ippodromi (60)";23
"Albania";"Quarto Cagnino (61)";9
"Albania";"Quinto Romano (62)";8
"Albania";"Figino (63)";16
"Albania";"Trenno (64)";8
"Albania";"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";114
"Albania";"QT 8 (66)";8
"Albania";"Portello (67)";24
"Albania";"Pagano (68)";10
"Albania";"Sarpi (69)";60
"Albania";"Ghisolfa (70)";51
"Albania";"Villapizzone - Cagnola - Boldinasco (71)";176
"Albania";"Maggiore - Musocco - Certosa (72)";34
"Albania";"Cascina Merlata (73)";62
"Albania";"Stephenson (75)";3
"Albania";"Quarto Oggiaro - Vialba - Musocco (76)";185
"Albania";"Bovisa (77)";132
"Albania";"Farini (78)";17
"Albania";"Dergano (79)";85
"Albania";"Affori (80)";178
"Albania";"Bovisasca (81)";40
"Albania";"Comasina (82)";43
"Albania";"Bruzzano (83)";100
"Albania";"Parco Nord (84)";1
"Albania";"Parco delle Abbazie (85)";10
"Albania";"Parco dei Navigli (86)";9
"Albania";"Assiano (87)";1
"Austria";"Duomo (1)";12
"Austria";"Brera (2)";26
"Austria";"Guastalla (4)";7
"Austria";"Porta Vigentina - Porta Lodovica (5)";10
"Austria";"Porta Ticinese - Conca del Naviglio (6)";5
"Austria";"Magenta - S.Vittore (7)";7
"Austria";"Porta Garibaldi - Porta Nuova (9)";4
"Austria";"Stazione Centrale - Ponte Seveso (10)";9
"Austria";"Isola (11)";8
"Austria";"Maciachini - Maggiolina (12)";9
"Austria";"Greco - Segnano (13)";1
"Austria";"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";5
"Austria";"Bicocca (15)";2
"Austria";"Gorla - Precotto (16)";2
"Austria";"Adriano (17)";2
"Austria";"Padova - Turro - Crescenzago (19)";4
"Austria";"Loreto - Casoretto - NoLo (20)";12
"Austria";"Buenos Aires - Porta Venezia - Porta Monforte (21)";23
"Austria";"Citta' studi (22)";8
"Austria";"Lambrate - Ortica (23)";1
"Austria";"Corsica (25)";5
"Austria";"XXII Marzo (26)";21
"Austria";"Pta Romana (27)";3
"Austria";"Umbria - Molise - Calvairate (28)";6
"Austria";"Taliedo - Morsenchio - Q.re Forlanini (30)";1
"Austria";"Monlue' - Ponte Lambro (31)";1
"Austria";"Rogoredo - Santa Giulia (33)";3
"Austria";"Lodi - Corvetto (35)";4
"Austria";"Scalo Romana (36)";1
"Austria";"Morivione (37)";11
"Austria";"Vigentino - Q.re Fatima (38)";1
"Austria";"Ronchetto delle Rane (40)";1
"Austria";"Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42)";5
"Austria";"Tibaldi (43)";4
"Austria";"Porta Ticinese - Conchetta (44)";5
"Austria";"Moncucco - San Cristoforo (45)";4
"Austria";"Barona (46)";1
"Austria";"Ronchetto sul Naviglio - Q.re Lodovico il Moro (48)";4
"Austria";"Giambellino (49)";3
"Austria";"Porta Genova (50)";8
"Austria";"Porta Magenta (51)";9
"Austria";"Bande Nere (52)";8
"Austria";"Baggio - Q.re degli Olmi - Q.re Valsesia (55)";1
"Austria";"Forze Armate (56)";1
"Austria";"San Siro (57)";3
"Austria";"De Angeli - Monte Rosa (58)";8
"Austria";"Tre Torri (59)";2
"Austria";"Stadio - Ippodromi (60)";5
"Austria";"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";3
"Austria";"QT 8 (66)";3
"Austria";"Portello (67)";3
"Austria";"Pagano (68)";23
"Austria";"Sarpi (69)";15
"Austria";"Ghisolfa (70)";5
"Austria";"Villapizzone - Cagnola - Boldinasco (71)";3
"Austria";"Bovisa (77)";5
"Austria";"Dergano (79)";8
"Austria";"Affori (80)";1
"Austria";"Bovisasca (81)";1
"Austria";"Bruzzano (83)";2
"Belgio";"Duomo (1)";10
"Belgio";"Brera (2)";31
"Belgio";"Guastalla (4)";13
"Belgio";"Porta Vigentina - Porta Lodovica (5)";7
"Belgio";"Porta Ticinese - Conca del Naviglio (6)";3
"Belgio";"Magenta - S.Vittore (7)";12
"Belgio";"Porta Garibaldi - Porta Nuova (9)";10
"Belgio";"Stazione Centrale - Ponte Seveso (10)";5
"Belgio";"Isola (11)";5
"Belgio";"Maciachini - Maggiolina (12)";4
"Belgio";"Greco - Segnano (13)";4
"Belgio";"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";3
"Belgio";"Bicocca (15)";1
"Belgio";"Gorla - Precotto (16)";5
"Belgio";"Cimiano - Rottole - Q.re Feltre (18)";3
"Belgio";"Padova - Turro - Crescenzago (19)";4
"Belgio";"Loreto - Casoretto - NoLo (20)";11
"Belgio";"Buenos Aires - Porta Venezia - Porta Monforte (21)";30
"Belgio";"Citta' studi (22)";13
"Belgio";"Lambrate - Ortica (23)";2
"Belgio";"Corsica (25)";2
"Belgio";"XXII Marzo (26)";17
"Belgio";"Pta Romana (27)";13
"Belgio";"Umbria - Molise - Calvairate (28)";7
"Belgio";"Lodi - Corvetto (35)";6
"Belgio";"Scalo Romana (36)";2
"Belgio";"Morivione (37)";4
"Belgio";"Vigentino - Q.re Fatima (38)";2
"Belgio";"Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42)";3
"Belgio";"Tibaldi (43)";4
"Belgio";"Porta Ticinese - Conchetta (44)";6
"Belgio";"Moncucco - San Cristoforo (45)";2
"Belgio";"Ronchetto sul Naviglio - Q.re Lodovico il Moro (48)";1
"Belgio";"Giambellino (49)";8
