"Cittadinanza (singolo paese)";"NIL (Nuclei di Identità Locale)";"Residenti"
"Ucraina";"Quintosole (39)";2
"Ucraina";"Ronchetto delle Rane (40)";5
"Ucraina";"Gratosoglio - Q.re Missaglia - Q.re Terrazze (41)";85
"Ucraina";"Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42)";202
"Ucraina";"Tibaldi (43)";81
"Ucraina";"Porta Ticinese - Conchetta (44)";63
"Ucraina";"Moncucco - San Cristoforo (45)";120
"Ucraina";"Barona (46)";58
"Ucraina";"Cantalupa (47)";2
"Ucraina";"Ronchetto sul Naviglio - Q.re Lodovico il Moro (48)";75
"Ucraina";"Giambellino (49)";228
"Ucraina";"Porta Genova (50)";79
"Ucraina";"Porta Magenta (51)";164
"Ucraina";"Bande Nere (52)";291
"Ucraina";"Lorenteggio (53)";106
"Ucraina";"Muggiano (54)";9
"Ucraina";"Baggio - Q.re degli Olmi - Q.re Valsesia (55)";250
"Ucraina";"Forze Armate (56)";207
"Ucraina";"San Siro (57)";195
"Ucraina";"De Angeli - Monte Rosa (58)";161
"Ucraina";"Tre Torri (59)";15
"Ucraina";"Stadio - Ippodromi (60)";61
"Ucraina";"Quarto Cagnino (61)";37
"Ucraina";"Quinto Romano (62)";40
"Ucraina";"Figino (63)";27
"Ucraina";"Trenno (64)";17
"Ucraina";"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";261
"Ucraina";"QT 8 (66)";26
"Ucraina";"Portello (67)";57
"Ucraina";"Pagano (68)";127
"Ucraina";"Sarpi (69)";165
"Ucraina";"Ghisolfa (70)";105
"Ucraina";"Villapizzone - Cagnola - Boldinasco (71)";351
"Ucraina";"Maggiore - Musocco - Certosa (72)";80
"Ucraina";"Cascina Merlata (73)";3
"Ucraina";"Roserio (74)";1
"Ucraina";"Stephenson (75)";1
"Ucraina";"Quarto Oggiaro - Vialba - Musocco (76)";244
"Ucraina";"Bovisa (77)";117
"Ucraina";"Farini (78)";21
"Ucraina";"Dergano (79)";181
"Ucraina";"Affori (80)";175
"Ucraina";"Bovisasca (81)";46
"Ucraina";"Comasina (82)";68
"Ucraina";"Bruzzano (83)";107
"Ucraina";"Parco delle Abbazie (85)";8
"Ucraina";"Parco dei Navigli (86)";3
"Ucraina";"Assiano (87)";2
"Ucraina";"Parco Bosco in citta' (88)";1
"Ungheria";"Duomo (1)";11
"Ungheria";"Brera (2)";13
"Ungheria";"Guastalla (4)";5
"Ungheria";"Porta Vigentina - Porta Lodovica (5)";4
"Ungheria";"Porta Ticinese - Conca del Naviglio (6)";5
"Ungheria";"Magenta - S.Vittore (7)";3
"Ungheria";"Porta Garibaldi - Porta Nuova (9)";1
"Ungheria";"Stazione Centrale - Ponte Seveso (10)";7
"Ungheria";"Isola (11)";6
"Ungheria";"Maciachini - Maggiolina (12)";9
"Ungheria";"Greco - Segnano (13)";2
"Ungheria";"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";4
"Ungheria";"Bicocca (15)";3
"Ungheria";"Gorla - Precotto (16)";2
"Ungheria";"Adriano (17)";2
"Ungheria";"Cimiano - Rottole - Q.re Feltre (18)";3
"Ungheria";"Padova - Turro - Crescenzago (19)";5
"Ungheria";"Loreto - Casoretto - NoLo (20)";6
"Ungheria";"Buenos Aires - Porta Venezia - Porta Monforte (21)";20
"Ungheria";"Citta' studi (22)";9
"Ungheria";"Lambrate - Ortica (23)";6
"Ungheria";"Corsica (25)";5
"Ungheria";"XXII Marzo (26)";6
"Ungheria";"Pta Romana (27)";5
"Ungheria";"Umbria - Molise - Calvairate (28)";8
"Ungheria";"Taliedo - Morsenchio - Q.re Forlanini (30)";4
"Ungheria";"Rogoredo - Santa Giulia (33)";1
"Ungheria";"Lodi - Corvetto (35)";8
"Ungheria";"Scalo Romana (36)";4
"Ungheria";"Vigentino - Q.re Fatima (38)";1
"Ungheria";"Gratosoglio - Q.re Missaglia - Q.re Terrazze (41)";3
"Ungheria";"Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42)";8
"Ungheria";"Tibaldi (43)";12
"Ungheria";"Porta Ticinese - Conchetta (44)";10
"Ungheria";"Moncucco - San Cristoforo (45)";2
"Ungheria";"Barona (46)";3
"Ungheria";"Cantalupa (47)";1
"Ungheria";"Ronchetto sul Naviglio - Q.re Lodovico il Moro (48)";2
"Ungheria";"Giambellino (49)";10
"Ungheria";"Porta Genova (50)";2
"Ungheria";"Porta Magenta (51)";10
"Ungheria";"Bande Nere (52)";14
"Ungheria";"Lorenteggio (53)";6
"Ungheria";"Baggio - Q.re degli Olmi - Q.re Valsesia (55)";6
"Ungheria";"Forze Armate (56)";6
"Ungheria";"San Siro (57)";4
"Ungheria";"De Angeli - Monte Rosa (58)";10
"Ungheria";"Tre Torri (59)";4
"Ungheria";"Stadio - Ippodromi (60)";7
"Ungheria";"Quarto Cagnino (61)";1
"Ungheria";"Figino (63)";1
"Ungheria";"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";1
"Ungheria";"QT 8 (66)";2
"Ungheria";"Portello (67)";3
"Ungheria";"Pagano (68)";3
"Ungheria";"Sarpi (69)";6
"Ungheria";"Ghisolfa (70)";5
"Ungheria";"Villapizzone - Cagnola - Boldinasco (71)";7
"Ungheria";"Quarto Oggiaro - Vialba - Musocco (76)";1
"Ungheria";"Bovisa (77)";6
"Ungheria";"Farini (78)";2
"Ungheria";"Dergano (79)";1
"Ungheria";"Affori (80)";3
"Ungheria";"Comasina (82)";1
"Russa, Federazione";"Duomo (1)";118
"Russa, Federazione";"Brera (2)";123
"Russa, Federazione";"Guastalla (4)";70
"Russa, Federazione";"Porta Vigentina - Porta Lodovica (5)";30
"Russa, Federazione";"Porta Ticinese - Conca del Naviglio (6)";76
"Russa, Federazione";"Magenta - S.Vittore (7)";60
"Russa, Federazione";"Porta Garibaldi - Porta Nuova (9)";44
"Russa, Federazione";"Stazione Centrale - Ponte Seveso (10)";69
"Russa, Federazione";"Isola (11)";85
"Russa, Federazione";"Maciachini - Maggiolina (12)";48
"Russa, Federazione";"Greco - Segnano (13)";35
"Russa, Federazione";"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";48
"Russa, Federazione";"Bicocca (15)";22
"Russa, Federazione";"Gorla - Precotto (16)";58
"Russa, Federazione";"Adriano (17)";20
"Russa, Federazione";"Cimiano - Rottole - Q.re Feltre (18)";29
"Russa, Federazione";"Padova - Turro - Crescenzago (19)";62
"Russa, Federazione";"Loreto - Casoretto - NoLo (20)";104
"Russa, Federazione";"Buenos Aires - Porta Venezia - Porta Monforte (21)";246
"Russa, Federazione";"Citta' studi (22)";73
"Russa, Federazione";"Lambrate - Ortica (23)";16
"Russa, Federazione";"Parco Forlanini - Cavriano (24)";8
"Russa, Federazione";"Corsica (25)";66
"Russa, Federazione";"XXII Marzo (26)";101
"Russa, Federazione";"Pta Romana (27)";44
"Russa, Federazione";"Umbria - Molise - Calvairate (28)";52
"Russa, Federazione";"Ortomercato (29)";6
"Russa, Federazione";"Taliedo - Morsenchio - Q.re Forlanini (30)";41
"Russa, Federazione";"Monlue' - Ponte Lambro (31)";3
"Russa, Federazione";"Triulzo Superiore (32)";9
"Russa, Federazione";"Rogoredo - Santa Giulia (33)";30
"Russa, Federazione";"Chiaravalle (34)";5
"Russa, Federazione";"Lodi - Corvetto (35)";81
"Russa, Federazione";"Scalo Romana (36)";37
"Russa, Federazione";"Morivione (37)";20
"Russa, Federazione";"Vigentino - Q.re Fatima (38)";37
"Russa, Federazione";"Gratosoglio - Q.re Missaglia - Q.re Terrazze (41)";13
"Russa, Federazione";"Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42)";78
"Russa, Federazione";"Tibaldi (43)";24
"Russa, Federazione";"Porta Ticinese - Conchetta (44)";61
"Russa, Federazione";"Moncucco - San Cristoforo (45)";25
"Russa, Federazione";"Barona (46)";25
"Russa, Federazione";"Ronchetto sul Naviglio - Q.re Lodovico il Moro (48)";13
"Russa, Federazione";"Giambellino (49)";55
"Russa, Federazione";"Porta Genova (50)";35
"Russa, Federazione";"Porta Magenta (51)";80
"Russa, Federazione";"Bande Nere (52)";106
"Russa, Federazione";"Lorenteggio (53)";20
"Russa, Federazione";"Muggiano (54)";2
"Russa, Federazione";"Baggio - Q.re degli Olmi - Q.re Valsesia (55)";17
"Russa, Federazione";"Forze Armate (56)";49
"Russa, Federazione";"San Siro (57)";49
"Russa, Federazione";"De Angeli - Monte Rosa (58)";74
"Russa, Federazione";"Tre Torri (59)";21
"Russa, Federazione";"Stadio - Ippodromi (60)";29
"Russa, Federazione";"Quarto Cagnino (61)";18
"Russa, Federazione";"Quinto Romano (62)";5
"Russa, Federazione";"Figino (63)";3
"Russa, Federazione";"Trenno (64)";2
"Russa, Federazione";"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";83
"Russa, Federazione";"QT 8 (66)";8
"Russa, Federazione";"Portello (67)";36
"Russa, Federazione";"Pagano (68)";49
"Russa, Federazione";"Sarpi (69)";111
"Russa, Federazione";"Ghisolfa (70)";48
"Russa, Federazione";"Villapizzone - Cagnola - Boldinasco (71)";74
"Russa, Federazione";"Maggiore - Musocco - Certosa (72)";28
"Russa, Federazione";"Quarto Oggiaro - Vialba - Musocco (76)";22
"Russa, Federazione";"Bovisa (77)";33
"Russa, Federazione";"Farini (78)";6
"Russa, Federazione";"Dergano (79)";38
"Russa, Federazione";"Affori (80)";46
"Russa, Federazione";"Bovisasca (81)";13
"Russa, Federazione";"Comasina (82)";4
"Russa, Federazione";"Bruzzano (83)";27
"Russa, Federazione";"Parco Bosco in citta' (88)";1
"Estonia";"Brera (2)";2
"Estonia";"Guastalla (4)";4
"Estonia";"Porta Vigentina - Porta Lodovica (5)";4
"Estonia";"Porta Ticinese - Conca del Naviglio (6)";3
"Estonia";"Stazione Centrale - Ponte Seveso (10)";1
"Estonia";"Isola (11)";4
"Estonia";"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";1
"Estonia";"Bicocca (15)";1
"Estonia";"Adriano (17)";2
"Estonia";"Padova - Turro - Crescenzago (19)";1
"Estonia";"Buenos Aires - Porta Venezia - Porta Monforte (21)";2
"Estonia";"Citta' studi (22)";4
"Estonia";"Lambrate - Ortica (23)";1
"Estonia";"Corsica (25)";3
"Estonia";"XXII Marzo (26)";2
"Estonia";"Pta Romana (27)";1
"Estonia";"Morivione (37)";1
"Estonia";"Vigentino - Q.re Fatima (38)";1
"Estonia";"Gratosoglio - Q.re Missaglia - Q.re Terrazze (41)";1
"Estonia";"Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42)";2
"Estonia";"Moncucco - San Cristoforo (45)";2
"Estonia";"Barona (46)";1
"Estonia";"Giambellino (49)";4
"Estonia";"Porta Genova (50)";1
"Estonia";"Porta Magenta (51)";2
"Estonia";"Lorenteggio (53)";3
"Estonia";"Forze Armate (56)";2
"Estonia";"San Siro (57)";1
"Estonia";"De Angeli - Monte Rosa (58)";1
"Estonia";"Tre Torri (59)";1
"Estonia";"Stadio - Ippodromi (60)";2
"Estonia";"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";1
"Estonia";"Portello (67)";1
"Estonia";"Sarpi (69)";5
"Estonia";"Villapizzone - Cagnola - Boldinasco (71)";2
"Estonia";"Bovisa (77)";3
"Estonia";"Dergano (79)";3
"Estonia";"Bruzzano (83)";1
"Lettonia";"Duomo (1)";6
"Lettonia";"Brera (2)";2
"Lettonia";"Guastalla (4)";4
"Lettonia";"Porta Vigentina - Porta Lodovica (5)";2
"Lettonia";"Porta Ticinese - Conca del Naviglio (6)";10
"Lettonia";"Magenta - S.Vittore (7)";5
"Lettonia";"Porta Garibaldi - Porta Nuova (9)";1
"Lettonia";"Stazione Centrale - Ponte Seveso (10)";10
"Lettonia";"Isola (11)";1
"Lettonia";"Maciachini - Maggiolina (12)";4
"Lettonia";"Greco - Segnano (13)";8
"Lettonia";"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";1
"Lettonia";"Bicocca (15)";2
"Lettonia";"Gorla - Precotto (16)";3
"Lettonia";"Cimiano - Rottole - Q.re Feltre (18)";1
"Lettonia";"Padova - Turro - Crescenzago (19)";2
"Lettonia";"Loreto - Casoretto - NoLo (20)";2
"Lettonia";"Buenos Aires - Porta Venezia - Porta Monforte (21)";10
"Lettonia";"Citta' studi (22)";5
"Lettonia";"Lambrate - Ortica (23)";1
"Lettonia";"Parco Forlanini - Cavriano (24)";1
"Lettonia";"Corsica (25)";2
"Lettonia";"XXII Marzo (26)";7
"Lettonia";"Pta Romana (27)";4
"Lettonia";"Umbria - Molise - Calvairate (28)";4
"Lettonia";"Taliedo - Morsenchio - Q.re Forlanini (30)";1
"Lettonia";"Lodi - Corvetto (35)";2
"Lettonia";"Scalo Romana (36)";2
"Lettonia";"Morivione (37)";1
"Lettonia";"Vigentino - Q.re Fatima (38)";4
"Lettonia";"Ronchetto delle Rane (40)";3
"Lettonia";"Gratosoglio - Q.re Missaglia - Q.re Terrazze (41)";1
"Lettonia";"Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42)";3
"Lettonia";"Tibaldi (43)";2
"Lettonia";"Porta Ticinese - Conchetta (44)";5
"Lettonia";"Moncucco - San Cristoforo (45)";5
"Lettonia";"Barona (46)";1
"Lettonia";"Giambellino (49)";4
"Lettonia";"Porta Genova (50)";2
"Lettonia";"Porta Magenta (51)";3
"Lettonia";"Bande Nere (52)";3
"Lettonia";"Baggio - Q.re degli Olmi - Q.re Valsesia (55)";1
"Lettonia";"Forze Armate (56)";3
"Lettonia";"San Siro (57)";2
"Lettonia";"De Angeli - Monte Rosa (58)";6
"Lettonia";"Stadio - Ippodromi (60)";4
"Lettonia";"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";4
"Lettonia";"Portello (67)";1
"Lettonia";"Pagano (68)";3
"Lettonia";"Sarpi (69)";1
"Lettonia";"Ghisolfa (70)";1
"Lettonia";"Villapizzone - Cagnola - Boldinasco (71)";3
"Lettonia";"Quarto Oggiaro - Vialba - Musocco (76)";1
"Lettonia";"Bovisa (77)";2
"Lettonia";"Farini (78)";2
"Lettonia";"Dergano (79)";3
"Lettonia";"Affori (80)";1
"Lettonia";"Bruzzano (83)";1
"Lituania";"Duomo (1)";4
"Lituania";"Brera (2)";14
"Lituania";"Guastalla (4)";3
"Lituania";"Porta Vigentina - Porta Lodovica (5)";3
"Lituania";"Porta Ticinese - Conca del Naviglio (6)";8
"Lituania";"Magenta - S.Vittore (7)";6
"Lituania";"Porta Garibaldi - Porta Nuova (9)";2
"Lituania";"Stazione Centrale - Ponte Seveso (10)";4
"Lituania";"Isola (11)";3
"Lituania";"Maciachini - Maggiolina (12)";5
"Lituania";"Greco - Segnano (13)";2
"Lituania";"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";3
"Lituania";"Gorla - Precotto (16)";13
"Lituania";"Adriano (17)";1
"Lituania";"Cimiano - Rottole - Q.re Feltre (18)";3
"Lituania";"Padova - Turro - Crescenzago (19)";6
"Lituania";"Loreto - Casoretto - NoLo (20)";7
"Lituania";"Buenos Aires - Porta Venezia - Porta Monforte (21)";16
"Lituania";"Citta' studi (22)";8
"Lituania";"Lambrate - Ortica (23)";1
"Lituania";"Corsica (25)";3
"Lituania";"XXII Marzo (26)";9
"Lituania";"Pta Romana (27)";7
"Lituania";"Umbria - Molise - Calvairate (28)";3
"Lituania";"Ortomercato (29)";1
"Lituania";"Taliedo - Morsenchio - Q.re Forlanini (30)";5
"Lituania";"Triulzo Superiore (32)";1
"Lituania";"Rogoredo - Santa Giulia (33)";3
"Lituania";"Lodi - Corvetto (35)";7
"Lituania";"Scalo Romana (36)";2
"Lituania";"Morivione (37)";2
"Lituania";"Tibaldi (43)";1
"Lituania";"Porta Ticinese - Conchetta (44)";2
"Lituania";"Moncucco - San Cristoforo (45)";4
"Lituania";"Ronchetto sul Naviglio - Q.re Lodovico il Moro (48)";1
"Lituania";"Giambellino (49)";4
"Lituania";"Porta Genova (50)";4
"Lituania";"Porta Magenta (51)";9
"Lituania";"Bande Nere (52)";12
"Lituania";"Lorenteggio (53)";8
"Lituania";"Muggiano (54)";2
"Lituania";"Baggio - Q.re degli Olmi - Q.re Valsesia (55)";3
"Lituania";"Forze Armate (56)";5
"Lituania";"San Siro (57)";2
"Lituania";"De Angeli - Monte Rosa (58)";2
"Lituania";"Tre Torri (59)";4
"Lituania";"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";6
"Lituania";"QT 8 (66)";1
"Lituania";"Portello (67)";3
"Lituania";"Pagano (68)";5
"Lituania";"Sarpi (69)";5
"Lituania";"Ghisolfa (70)";2
"Lituania";"Villapizzone - Cagnola - Boldinasco (71)";6
"Lituania";"Maggiore - Musocco - Certosa (72)";3
"Lituania";"Cascina Merlata (73)";1
"Lituania";"Quarto Oggiaro - Vialba - Musocco (76)";2
"Lituania";"Bovisa (77)";4
"Lituania";"Dergano (79)";5
"Lituania";"Affori (80)";5
"Lituania";"Comasina (82)";1
"Croazia";"Duomo (1)";19
"Croazia";"Brera (2)";15
"Croazia";"Guastalla (4)";4
"Croazia";"Porta Vigentina - Porta Lodovica (5)";10
"Croazia";"Porta Ticinese - Conca del Naviglio (6)";3
"Croazia";"Magenta - S.Vittore (7)";5
"Croazia";"Porta Garibaldi - Porta Nuova (9)";17
"Croazia";"Stazione Centrale - Ponte Seveso (10)";12
"Croazia";"Isola (11)";19
"Croazia";"Maciachini - Maggiolina (12)";11
"Croazia";"Greco - Segnano (13)";2
"Croazia";"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";6
"Croazia";"Bicocca (15)";2
"Croazia";"Gorla - Precotto (16)";5
"Croazia";"Adriano (17)";9
"Croazia";"Cimiano - Rottole - Q.re Feltre (18)";2
"Croazia";"Padova - Turro - Crescenzago (19)";13
"Croazia";"Loreto - Casoretto - NoLo (20)";18
"Croazia";"Buenos Aires - Porta Venezia - Porta Monforte (21)";32
"Croazia";"Citta' studi (22)";21
"Croazia";"Lambrate - Ortica (23)";5
"Croazia";"Parco Forlanini - Cavriano (24)";1
"Croazia";"Corsica (25)";10
"Croazia";"XXII Marzo (26)";16
"Croazia";"Pta Romana (27)";7
"Croazia";"Umbria - Molise - Calvairate (28)";5
"Croazia";"Ortomercato (29)";1
"Croazia";"Taliedo - Morsenchio - Q.re Forlanini (30)";8
"Croazia";"Rogoredo - Santa Giulia (33)";2
"Croazia";"Lodi - Corvetto (35)";18
"Croazia";"Morivione (37)";3
"Croazia";"Vigentino - Q.re Fatima (38)";1
"Croazia";"Quintosole (39)";1
"Croazia";"Gratosoglio - Q.re Missaglia - Q.re Terrazze (41)";4
"Croazia";"Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42)";9
"Croazia";"Tibaldi (43)";4
"Croazia";"Porta Ticinese - Conchetta (44)";7
"Croazia";"Moncucco - San Cristoforo (45)";5
"Croazia";"Barona (46)";3
"Croazia";"Cantalupa (47)";1
"Croazia";"Ronchetto sul Naviglio - Q.re Lodovico il Moro (48)";9
"Croazia";"Giambellino (49)";10
"Croazia";"Porta Genova (50)";1
"Croazia";"Porta Magenta (51)";8
"Croazia";"Bande Nere (52)";19
"Croazia";"Lorenteggio (53)";3
"Croazia";"Baggio - Q.re degli Olmi - Q.re Valsesia (55)";6
"Croazia";"Forze Armate (56)";15
"Croazia";"San Siro (57)";8
"Croazia";"De Angeli - Monte Rosa (58)";21
"Croazia";"Tre Torri (59)";1
"Croazia";"Stadio - Ippodromi (60)";15
"Croazia";"Quarto Cagnino (61)";1
"Croazia";"Figino (63)";1
"Croazia";"Trenno (64)";1
"Croazia";"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";12
"Croazia";"QT 8 (66)";1
"Croazia";"Portello (67)";7
"Croazia";"Pagano (68)";11
"Croazia";"Sarpi (69)";21
"Croazia";"Ghisolfa (70)";10
"Croazia";"Villapizzone - Cagnola - Boldinasco (71)";11
"Croazia";"Maggiore - Musocco - Certosa (72)";1
"Croazia";"Cascina Merlata (73)";3
"Croazia";"Roserio (74)";6
"Croazia";"Quarto Oggiaro - Vialba - Musocco (76)";10
"Croazia";"Bovisa (77)";5
"Croazia";"Dergano (79)";4
"Croazia";"Affori (80)";5
"Croazia";"Comasina (82)";1
"Croazia";"Bruzzano (83)";1
"Slovenia";"Duomo (1)";1
"Slovenia";"Brera (2)";2
"Slovenia";"Porta Vigentina - Porta Lodovica (5)";2
"Slovenia";"Porta Ticinese - Conca del Naviglio (6)";1
"Slovenia";"Isola (11)";3
"Slovenia";"Maciachini - Maggiolina (12)";2
"Slovenia";"Greco - Segnano (13)";1
"Slovenia";"Gorla - Precotto (16)";2
"Slovenia";"Cimiano - Rottole - Q.re Feltre (18)";2
"Slovenia";"Buenos Aires - Porta Venezia - Porta Monforte (21)";7
"Slovenia";"Lambrate - Ortica (23)";1
"Slovenia";"XXII Marzo (26)";3
"Slovenia";"Pta Romana (27)";1
"Slovenia";"Umbria - Molise - Calvairate (28)";4
"Slovenia";"Rogoredo - Santa Giulia (33)";1
"Slovenia";"Lodi - Corvetto (35)";1
"Slovenia";"Morivione (37)";3
"Slovenia";"Gratosoglio - Q.re Missaglia - Q.re Terrazze (41)";1
"Slovenia";"Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42)";1
"Slovenia";"Tibaldi (43)";1
"Slovenia";"Porta Ticinese - Conchetta (44)";1
"Slovenia";"Giambellino (49)";1
"Slovenia";"Porta Genova (50)";3
"Slovenia";"Porta Magenta (51)";8
"Slovenia";"Bande Nere (52)";1
"Slovenia";"Lorenteggio (53)";1
"Slovenia";"Baggio - Q.re degli Olmi - Q.re Valsesia (55)";1
"Slovenia";"Forze Armate (56)";1
"Slovenia";"San Siro (57)";6
"Slovenia";"De Angeli - Monte Rosa (58)";2
"Slovenia";"Tre Torri (59)";5
"Slovenia";"Stadio - Ippodromi (60)";4
"Slovenia";"Quarto Cagnino (61)";1
"Slovenia";"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";1
"Slovenia";"Portello (67)";4
"Slovenia";"Pagano (68)";5
"Slovenia";"Sarpi (69)";8
"Slovenia";"Ghisolfa (70)";4
"Slovenia";"Villapizzone - Cagnola - Boldinasco (71)";2
"Slovenia";"Cascina Merlata (73)";1
"Slovenia";"Bovisa (77)";1
"Slovenia";"Parco Bosco in citta' (88)";1
"Bosnia-Erzegovina";"Duomo (1)";3
"Bosnia-Erzegovina";"Brera (2)";9
"Bosnia-Erzegovina";"Guastalla (4)";1
"Bosnia-Erzegovina";"Porta Vigentina - Porta Lodovica (5)";2
"Bosnia-Erzegovina";"Porta Ticinese - Conca del Naviglio (6)";10
"Bosnia-Erzegovina";"Magenta - S.Vittore (7)";9
"Bosnia-Erzegovina";"Porta Garibaldi - Porta Nuova (9)";1
"Bosnia-Erzegovina";"Stazione Centrale - Ponte Seveso (10)";2
"Bosnia-Erzegovina";"Isola (11)";5
"Bosnia-Erzegovina";"Maciachini - Maggiolina (12)";5
"Bosnia-Erzegovina";"Greco - Segnano (13)";2
"Bosnia-Erzegovina";"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";7
"Bosnia-Erzegovina";"Gorla - Precotto (16)";1
"Bosnia-Erzegovina";"Adriano (17)";3
"Bosnia-Erzegovina";"Cimiano - Rottole - Q.re Feltre (18)";3
"Bosnia-Erzegovina";"Loreto - Casoretto - NoLo (20)";4
"Bosnia-Erzegovina";"Buenos Aires - Porta Venezia - Porta Monforte (21)";6
"Bosnia-Erzegovina";"Citta' studi (22)";5
"Bosnia-Erzegovina";"Lambrate - Ortica (23)";1
"Bosnia-Erzegovina";"XXII Marzo (26)";5
"Bosnia-Erzegovina";"Pta Romana (27)";1
"Bosnia-Erzegovina";"Umbria - Molise - Calvairate (28)";2
"Bosnia-Erzegovina";"Ortomercato (29)";1
"Bosnia-Erzegovina";"Monlue' - Ponte Lambro (31)";1
"Bosnia-Erzegovina";"Triulzo Superiore (32)";1
"Bosnia-Erzegovina";"Lodi - Corvetto (35)";12
"Bosnia-Erzegovina";"Scalo Romana (36)";2
"Bosnia-Erzegovina";"Quintosole (39)";1
"Bosnia-Erzegovina";"Gratosoglio - Q.re Missaglia - Q.re Terrazze (41)";14
"Bosnia-Erzegovina";"Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42)";5
"Bosnia-Erzegovina";"Tibaldi (43)";3
"Bosnia-Erzegovina";"Moncucco - San Cristoforo (45)";1
"Bosnia-Erzegovina";"Barona (46)";4
"Bosnia-Erzegovina";"Porta Magenta (51)";4
"Bosnia-Erzegovina";"Baggio - Q.re degli Olmi - Q.re Valsesia (55)";2
"Bosnia-Erzegovina";"Forze Armate (56)";2
"Bosnia-Erzegovina";"San Siro (57)";1
"Bosnia-Erzegovina";"De Angeli - Monte Rosa (58)";1
"Bosnia-Erzegovina";"Stadio - Ippodromi (60)";3
"Bosnia-Erzegovina";"Quarto Cagnino (61)";4
"Bosnia-Erzegovina";"Quinto Romano (62)";4
"Bosnia-Erzegovina";"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";8
"Bosnia-Erzegovina";"QT 8 (66)";2
"Bosnia-Erzegovina";"Pagano (68)";1
"Bosnia-Erzegovina";"Sarpi (69)";11
"Bosnia-Erzegovina";"Ghisolfa (70)";2
"Bosnia-Erzegovina";"Villapizzone - Cagnola - Boldinasco (71)";17
"Bosnia-Erzegovina";"Cascina Merlata (73)";7
"Bosnia-Erzegovina";"Quarto Oggiaro - Vialba - Musocco (76)";18
"Bosnia-Erzegovina";"Dergano (79)";3
"Bosnia-Erzegovina";"Affori (80)";1
"Bosnia-Erzegovina";"Bovisasca (81)";1
"Bosnia-Erzegovina";"Bruzzano (83)";3
"Bosnia-Erzegovina";"Parco delle Abbazie (85)";13
"Macedonia, Repubblica di";"Porta Vigentina - Porta Lodovica (5)";2
"Macedonia, Repubblica di";"Porta Ticinese - Conca del Naviglio (6)";1
"Macedonia, Repubblica di";"Magenta - S.Vittore (7)";1
"Macedonia, Repubblica di";"Porta Garibaldi - Porta Nuova (9)";1
"Macedonia, Repubblica di";"Stazione Centrale - Ponte Seveso (10)";3
"Macedonia, Repubblica di";"Isola (11)";7
"Macedonia, Repubblica di";"Maciachini - Maggiolina (12)";4
"Macedonia, Repubblica di";"Greco - Segnano (13)";3
"Macedonia, Repubblica di";"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";4
"Macedonia, Repubblica di";"Bicocca (15)";1
"Macedonia, Repubblica di";"Gorla - Precotto (16)";7
"Macedonia, Repubblica di";"Adriano (17)";2
"Macedonia, Repubblica di";"Cimiano - Rottole - Q.re Feltre (18)";4
"Macedonia, Repubblica di";"Padova - Turro - Crescenzago (19)";1
"Macedonia, Repubblica di";"Loreto - Casoretto - NoLo (20)";1
"Macedonia, Repubblica di";"Buenos Aires - Porta Venezia - Porta Monforte (21)";6
"Macedonia, Repubblica di";"Citta' studi (22)";10
"Macedonia, Repubblica di";"Lambrate - Ortica (23)";1
"Macedonia, Repubblica di";"Corsica (25)";2
"Macedonia, Repubblica di";"XXII Marzo (26)";2
"Macedonia, Repubblica di";"Umbria - Molise - Calvairate (28)";2
"Macedonia, Repubblica di";"Ortomercato (29)";5
"Macedonia, Repubblica di";"Taliedo - Morsenchio - Q.re Forlanini (30)";4
"Macedonia, Repubblica di";"Triulzo Superiore (32)";1
"Macedonia, Repubblica di";"Rogoredo - Santa Giulia (33)";1
"Macedonia, Repubblica di";"Lodi - Corvetto (35)";1
