"NIL (Nuclei di Identità Locale)";"Anno evento";"Nati"
"Porta Garibaldi - Porta Nuova (9)";"2018";45
"Porta Garibaldi - Porta Nuova (9)";"2019";53
"Porta Garibaldi - Porta Nuova (9)";"2020";48
"Porta Garibaldi - Porta Nuova (9)";"2021";43
"Porta Garibaldi - Porta Nuova (9)";"2022";37
"Porta Garibaldi - Porta Nuova (9)";"2023";41
"Stazione Centrale - Ponte Seveso (10)";"2003";161
"Stazione Centrale - Ponte Seveso (10)";"2004";177
"Stazione Centrale - Ponte Seveso (10)";"2005";167
"Stazione Centrale - Ponte Seveso (10)";"2006";150
"Stazione Centrale - Ponte Seveso (10)";"2007";151
"Stazione Centrale - Ponte Seveso (10)";"2008";166
"Stazione Centrale - Ponte Seveso (10)";"2009";188
"Stazione Centrale - Ponte Seveso (10)";"2010";170
"Stazione Centrale - Ponte Seveso (10)";"2011";156
"Stazione Centrale - Ponte Seveso (10)";"2012";146
"Stazione Centrale - Ponte Seveso (10)";"2013";128
"Stazione Centrale - Ponte Seveso (10)";"2014";153
"Stazione Centrale - Ponte Seveso (10)";"2015";155
"Stazione Centrale - Ponte Seveso (10)";"2016";150
"Stazione Centrale - Ponte Seveso (10)";"2017";147
"Stazione Centrale - Ponte Seveso (10)";"2018";138
"Stazione Centrale - Ponte Seveso (10)";"2019";130
"Stazione Centrale - Ponte Seveso (10)";"2020";145
"Stazione Centrale - Ponte Seveso (10)";"2021";143
"Stazione Centrale - Ponte Seveso (10)";"2022";139
"Stazione Centrale - Ponte Seveso (10)";"2023";107
"Isola (11)";"2003";197
"Isola (11)";"2004";224
"Isola (11)";"2005";237
"Isola (11)";"2006";235
"Isola (11)";"2007";228
"Isola (11)";"2008";228
"Isola (11)";"2009";247
"Isola (11)";"2010";216
"Isola (11)";"2011";190
"Isola (11)";"2012";213
"Isola (11)";"2013";208
"Isola (11)";"2014";235
"Isola (11)";"2015";202
"Isola (11)";"2016";209
"Isola (11)";"2017";211
"Isola (11)";"2018";209
"Isola (11)";"2019";179
"Isola (11)";"2020";194
"Isola (11)";"2021";198
"Isola (11)";"2022";171
"Isola (11)";"2023";174
"Maciachini - Maggiolina (12)";"2003";210
"Maciachini - Maggiolina (12)";"2004";229
"Maciachini - Maggiolina (12)";"2005";226
"Maciachini - Maggiolina (12)";"2006";216
"Maciachini - Maggiolina (12)";"2007";241
"Maciachini - Maggiolina (12)";"2008";213
"Maciachini - Maggiolina (12)";"2009";242
"Maciachini - Maggiolina (12)";"2010";228
"Maciachini - Maggiolina (12)";"2011";233
"Maciachini - Maggiolina (12)";"2012";209
"Maciachini - Maggiolina (12)";"2013";209
"Maciachini - Maggiolina (12)";"2014";212
"Maciachini - Maggiolina (12)";"2015";224
"Maciachini - Maggiolina (12)";"2016";214
"Maciachini - Maggiolina (12)";"2017";200
"Maciachini - Maggiolina (12)";"2018";188
"Maciachini - Maggiolina (12)";"2019";163
"Maciachini - Maggiolina (12)";"2020";167
"Maciachini - Maggiolina (12)";"2021";182
"Maciachini - Maggiolina (12)";"2022";180
"Maciachini - Maggiolina (12)";"2023";161
"Greco - Segnano (13)";"2003";139
"Greco - Segnano (13)";"2004";143
"Greco - Segnano (13)";"2005";138
"Greco - Segnano (13)";"2006";155
"Greco - Segnano (13)";"2007";154
"Greco - Segnano (13)";"2008";142
"Greco - Segnano (13)";"2009";135
"Greco - Segnano (13)";"2010";149
"Greco - Segnano (13)";"2011";147
"Greco - Segnano (13)";"2012";123
"Greco - Segnano (13)";"2013";137
"Greco - Segnano (13)";"2014";134
"Greco - Segnano (13)";"2015";151
"Greco - Segnano (13)";"2016";117
"Greco - Segnano (13)";"2017";133
"Greco - Segnano (13)";"2018";128
"Greco - Segnano (13)";"2019";127
"Greco - Segnano (13)";"2020";103
"Greco - Segnano (13)";"2021";120
"Greco - Segnano (13)";"2022";122
"Greco - Segnano (13)";"2023";101
"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";"2003";256
"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";"2004";281
"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";"2005";274
"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";"2006";274
"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";"2007";285
"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";"2008";305
"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";"2009";286
"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";"2010";300
"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";"2011";289
"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";"2012";284
"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";"2013";263
"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";"2014";271
"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";"2015";272
"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";"2016";249
"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";"2017";222
"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";"2018";248
"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";"2019";246
"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";"2020";211
"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";"2021";217
"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";"2022";220
"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";"2023";217
"Bicocca (15)";"2003";83
"Bicocca (15)";"2004";69
"Bicocca (15)";"2005";92
"Bicocca (15)";"2006";99
"Bicocca (15)";"2007";71
"Bicocca (15)";"2008";80
"Bicocca (15)";"2009";73
"Bicocca (15)";"2010";78
"Bicocca (15)";"2011";62
"Bicocca (15)";"2012";82
"Bicocca (15)";"2013";71
"Bicocca (15)";"2014";102
"Bicocca (15)";"2015";109
"Bicocca (15)";"2016";104
"Bicocca (15)";"2017";110
"Bicocca (15)";"2018";97
"Bicocca (15)";"2019";92
"Bicocca (15)";"2020";74
"Bicocca (15)";"2021";72
"Bicocca (15)";"2022";63
"Bicocca (15)";"2023";84
"Gorla - Precotto (16)";"2003";223
"Gorla - Precotto (16)";"2004";251
"Gorla - Precotto (16)";"2005";215
"Gorla - Precotto (16)";"2006";247
"Gorla - Precotto (16)";"2007";247
"Gorla - Precotto (16)";"2008";263
"Gorla - Precotto (16)";"2009";273
"Gorla - Precotto (16)";"2010";263
"Gorla - Precotto (16)";"2011";279
"Gorla - Precotto (16)";"2012";218
"Gorla - Precotto (16)";"2013";282
"Gorla - Precotto (16)";"2014";299
"Gorla - Precotto (16)";"2015";250
"Gorla - Precotto (16)";"2016";254
"Gorla - Precotto (16)";"2017";259
"Gorla - Precotto (16)";"2018";238
"Gorla - Precotto (16)";"2019";205
"Gorla - Precotto (16)";"2020";236
"Gorla - Precotto (16)";"2021";206
"Gorla - Precotto (16)";"2022";209
"Gorla - Precotto (16)";"2023";208
"Adriano (17)";"2003";153
"Adriano (17)";"2004";137
"Adriano (17)";"2005";124
"Adriano (17)";"2006";143
"Adriano (17)";"2007";143
"Adriano (17)";"2008";153
"Adriano (17)";"2009";134
"Adriano (17)";"2010";132
"Adriano (17)";"2011";160
"Adriano (17)";"2012";166
"Adriano (17)";"2013";182
"Adriano (17)";"2014";161
"Adriano (17)";"2015";150
"Adriano (17)";"2016";163
"Adriano (17)";"2017";139
"Adriano (17)";"2018";152
"Adriano (17)";"2019";139
"Adriano (17)";"2020";163
"Adriano (17)";"2021";140
"Adriano (17)";"2022";131
"Adriano (17)";"2023";146
"Cimiano - Rottole - Q.re Feltre (18)";"2003";157
"Cimiano - Rottole - Q.re Feltre (18)";"2004";134
"Cimiano - Rottole - Q.re Feltre (18)";"2005";159
"Cimiano - Rottole - Q.re Feltre (18)";"2006";157
"Cimiano - Rottole - Q.re Feltre (18)";"2007";143
"Cimiano - Rottole - Q.re Feltre (18)";"2008";162
"Cimiano - Rottole - Q.re Feltre (18)";"2009";129
"Cimiano - Rottole - Q.re Feltre (18)";"2010";146
"Cimiano - Rottole - Q.re Feltre (18)";"2011";149
"Cimiano - Rottole - Q.re Feltre (18)";"2012";156
"Cimiano - Rottole - Q.re Feltre (18)";"2013";118
"Cimiano - Rottole - Q.re Feltre (18)";"2014";161
"Cimiano - Rottole - Q.re Feltre (18)";"2015";146
"Cimiano - Rottole - Q.re Feltre (18)";"2016";140
"Cimiano - Rottole - Q.re Feltre (18)";"2017";145
"Cimiano - Rottole - Q.re Feltre (18)";"2018";144
"Cimiano - Rottole - Q.re Feltre (18)";"2019";140
"Cimiano - Rottole - Q.re Feltre (18)";"2020";110
"Cimiano - Rottole - Q.re Feltre (18)";"2021";138
"Cimiano - Rottole - Q.re Feltre (18)";"2022";145
"Cimiano - Rottole - Q.re Feltre (18)";"2023";143
"Padova - Turro - Crescenzago (19)";"2003";306
"Padova - Turro - Crescenzago (19)";"2004";294
"Padova - Turro - Crescenzago (19)";"2005";312
"Padova - Turro - Crescenzago (19)";"2006";347
"Padova - Turro - Crescenzago (19)";"2007";327
"Padova - Turro - Crescenzago (19)";"2008";325
"Padova - Turro - Crescenzago (19)";"2009";366
"Padova - Turro - Crescenzago (19)";"2010";352
"Padova - Turro - Crescenzago (19)";"2011";335
"Padova - Turro - Crescenzago (19)";"2012";336
"Padova - Turro - Crescenzago (19)";"2013";313
"Padova - Turro - Crescenzago (19)";"2014";335
"Padova - Turro - Crescenzago (19)";"2015";325
"Padova - Turro - Crescenzago (19)";"2016";340
"Padova - Turro - Crescenzago (19)";"2017";329
"Padova - Turro - Crescenzago (19)";"2018";307
"Padova - Turro - Crescenzago (19)";"2019";293
"Padova - Turro - Crescenzago (19)";"2020";279
"Padova - Turro - Crescenzago (19)";"2021";245
"Padova - Turro - Crescenzago (19)";"2022";269
"Padova - Turro - Crescenzago (19)";"2023";246
"Loreto - Casoretto - NoLo (20)";"2003";387
"Loreto - Casoretto - NoLo (20)";"2004";430
"Loreto - Casoretto - NoLo (20)";"2005";433
"Loreto - Casoretto - NoLo (20)";"2006";385
"Loreto - Casoretto - NoLo (20)";"2007";412
"Loreto - Casoretto - NoLo (20)";"2008";436
"Loreto - Casoretto - NoLo (20)";"2009";443
"Loreto - Casoretto - NoLo (20)";"2010";414
"Loreto - Casoretto - NoLo (20)";"2011";405
"Loreto - Casoretto - NoLo (20)";"2012";402
"Loreto - Casoretto - NoLo (20)";"2013";412
"Loreto - Casoretto - NoLo (20)";"2014";427
"Loreto - Casoretto - NoLo (20)";"2015";411
"Loreto - Casoretto - NoLo (20)";"2016";398
"Loreto - Casoretto - NoLo (20)";"2017";363
"Loreto - Casoretto - NoLo (20)";"2018";375
"Loreto - Casoretto - NoLo (20)";"2019";359
"Loreto - Casoretto - NoLo (20)";"2020";319
"Loreto - Casoretto - NoLo (20)";"2021";312
"Loreto - Casoretto - NoLo (20)";"2022";284
"Loreto - Casoretto - NoLo (20)";"2023";248
"Buenos Aires - Porta Venezia - Porta Monforte (21)";"2003";632
"Buenos Aires - Porta Venezia - Porta Monforte (21)";"2004";647
"Buenos Aires - Porta Venezia - Porta Monforte (21)";"2005";590
"Buenos Aires - Porta Venezia - Porta Monforte (21)";"2006";598
"Buenos Aires - Porta Venezia - Porta Monforte (21)";"2007";576
"Buenos Aires - Porta Venezia - Porta Monforte (21)";"2008";607
"Buenos Aires - Porta Venezia - Porta Monforte (21)";"2009";559
"Buenos Aires - Porta Venezia - Porta Monforte (21)";"2010";570
"Buenos Aires - Porta Venezia - Porta Monforte (21)";"2011";490
"Buenos Aires - Porta Venezia - Porta Monforte (21)";"2012";506
"Buenos Aires - Porta Venezia - Porta Monforte (21)";"2013";516
"Buenos Aires - Porta Venezia - Porta Monforte (21)";"2014";479
"Buenos Aires - Porta Venezia - Porta Monforte (21)";"2015";457
"Buenos Aires - Porta Venezia - Porta Monforte (21)";"2016";480
"Buenos Aires - Porta Venezia - Porta Monforte (21)";"2017";446
"Buenos Aires - Porta Venezia - Porta Monforte (21)";"2018";470
"Buenos Aires - Porta Venezia - Porta Monforte (21)";"2019";454
"Buenos Aires - Porta Venezia - Porta Monforte (21)";"2020";464
"Buenos Aires - Porta Venezia - Porta Monforte (21)";"2021";452
"Buenos Aires - Porta Venezia - Porta Monforte (21)";"2022";424
"Buenos Aires - Porta Venezia - Porta Monforte (21)";"2023";379
"Citta' studi (22)";"2003";329
"Citta' studi (22)";"2004";353
"Citta' studi (22)";"2005";353
"Citta' studi (22)";"2006";318
"Citta' studi (22)";"2007";317
"Citta' studi (22)";"2008";321
"Citta' studi (22)";"2009";314
"Citta' studi (22)";"2010";287
"Citta' studi (22)";"2011";315
"Citta' studi (22)";"2012";304
"Citta' studi (22)";"2013";257
"Citta' studi (22)";"2014";291
"Citta' studi (22)";"2015";292
"Citta' studi (22)";"2016";277
"Citta' studi (22)";"2017";248
"Citta' studi (22)";"2018";262
"Citta' studi (22)";"2019";235
"Citta' studi (22)";"2020";270
"Citta' studi (22)";"2021";238
"Citta' studi (22)";"2022";249
"Citta' studi (22)";"2023";228
"Lambrate - Ortica (23)";"2003";73
"Lambrate - Ortica (23)";"2004";85
"Lambrate - Ortica (23)";"2005";110
"Lambrate - Ortica (23)";"2006";122
"Lambrate - Ortica (23)";"2007";110
"Lambrate - Ortica (23)";"2008";126
"Lambrate - Ortica (23)";"2009";138
"Lambrate - Ortica (23)";"2010";132
"Lambrate - Ortica (23)";"2011";101
"Lambrate - Ortica (23)";"2012";124
"Lambrate - Ortica (23)";"2013";104
"Lambrate - Ortica (23)";"2014";91
"Lambrate - Ortica (23)";"2015";116
"Lambrate - Ortica (23)";"2016";101
"Lambrate - Ortica (23)";"2017";109
"Lambrate - Ortica (23)";"2018";110
"Lambrate - Ortica (23)";"2019";105
"Lambrate - Ortica (23)";"2020";104
"Lambrate - Ortica (23)";"2021";80
"Lambrate - Ortica (23)";"2022";84
"Lambrate - Ortica (23)";"2023";103
"Parco Forlanini - Cavriano (24)";"2003";10
"Parco Forlanini - Cavriano (24)";"2004";7
"Parco Forlanini - Cavriano (24)";"2005";13
"Parco Forlanini - Cavriano (24)";"2006";10
"Parco Forlanini - Cavriano (24)";"2007";7
"Parco Forlanini - Cavriano (24)";"2008";11
"Parco Forlanini - Cavriano (24)";"2009";14
"Parco Forlanini - Cavriano (24)";"2010";12
"Parco Forlanini - Cavriano (24)";"2011";15
"Parco Forlanini - Cavriano (24)";"2012";11
"Parco Forlanini - Cavriano (24)";"2013";4
"Parco Forlanini - Cavriano (24)";"2014";9
"Parco Forlanini - Cavriano (24)";"2015";14
"Parco Forlanini - Cavriano (24)";"2016";8
"Parco Forlanini - Cavriano (24)";"2017";20
"Parco Forlanini - Cavriano (24)";"2018";17
"Parco Forlanini - Cavriano (24)";"2019";11
"Parco Forlanini - Cavriano (24)";"2020";16
"Parco Forlanini - Cavriano (24)";"2021";9
"Parco Forlanini - Cavriano (24)";"2022";13
"Parco Forlanini - Cavriano (24)";"2023";10
"Corsica (25)";"2003";144
"Corsica (25)";"2004";173
"Corsica (25)";"2005";143
"Corsica (25)";"2006";148
"Corsica (25)";"2007";168
"Corsica (25)";"2008";150
"Corsica (25)";"2009";182
"Corsica (25)";"2010";164
"Corsica (25)";"2011";164
"Corsica (25)";"2012";160
"Corsica (25)";"2013";159
"Corsica (25)";"2014";174
"Corsica (25)";"2015";163
"Corsica (25)";"2016";151
"Corsica (25)";"2017";179
"Corsica (25)";"2018";150
"Corsica (25)";"2019";154
"Corsica (25)";"2020";153
"Corsica (25)";"2021";133
"Corsica (25)";"2022";147
"Corsica (25)";"2023";130
"XXII Marzo (26)";"2003";355
"XXII Marzo (26)";"2004";298
"XXII Marzo (26)";"2005";286
"XXII Marzo (26)";"2006";328
"XXII Marzo (26)";"2007";314
"XXII Marzo (26)";"2008";316
"XXII Marzo (26)";"2009";287
"XXII Marzo (26)";"2010";264
"XXII Marzo (26)";"2011";250
"XXII Marzo (26)";"2012";283
"XXII Marzo (26)";"2013";228
"XXII Marzo (26)";"2014";258
"XXII Marzo (26)";"2015";223
"XXII Marzo (26)";"2016";249
"XXII Marzo (26)";"2017";248
"XXII Marzo (26)";"2018";233
"XXII Marzo (26)";"2019";233
"XXII Marzo (26)";"2020";230
"XXII Marzo (26)";"2021";257
"XXII Marzo (26)";"2022";229
"XXII Marzo (26)";"2023";221
"Pta Romana (27)";"2003";189
"Pta Romana (27)";"2004";173
"Pta Romana (27)";"2005";189
"Pta Romana (27)";"2006";205
"Pta Romana (27)";"2007";173
"Pta Romana (27)";"2008";147
"Pta Romana (27)";"2009";185
"Pta Romana (27)";"2010";152
"Pta Romana (27)";"2011";163
"Pta Romana (27)";"2012";156
"Pta Romana (27)";"2013";148
"Pta Romana (27)";"2014";148
"Pta Romana (27)";"2015";140
"Pta Romana (27)";"2016";157
"Pta Romana (27)";"2017";134
"Pta Romana (27)";"2018";160
"Pta Romana (27)";"2019";136
"Pta Romana (27)";"2020";142
"Pta Romana (27)";"2021";138
"Pta Romana (27)";"2022";114
"Pta Romana (27)";"2023";126
"Umbria - Molise - Calvairate (28)";"2003";188
"Umbria - Molise - Calvairate (28)";"2004";225
"Umbria - Molise - Calvairate (28)";"2005";241
"Umbria - Molise - Calvairate (28)";"2006";224
"Umbria - Molise - Calvairate (28)";"2007";197
"Umbria - Molise - Calvairate (28)";"2008";202
"Umbria - Molise - Calvairate (28)";"2009";216
"Umbria - Molise - Calvairate (28)";"2010";215
"Umbria - Molise - Calvairate (28)";"2011";194
"Umbria - Molise - Calvairate (28)";"2012";208
"Umbria - Molise - Calvairate (28)";"2013";205
"Umbria - Molise - Calvairate (28)";"2014";208
"Umbria - Molise - Calvairate (28)";"2015";188
"Umbria - Molise - Calvairate (28)";"2016";198
"Umbria - Molise - Calvairate (28)";"2017";229
"Umbria - Molise - Calvairate (28)";"2018";205
"Umbria - Molise - Calvairate (28)";"2019";193
"Umbria - Molise - Calvairate (28)";"2020";182
"Umbria - Molise - Calvairate (28)";"2021";187
"Umbria - Molise - Calvairate (28)";"2022";182
"Umbria - Molise - Calvairate (28)";"2023";161
"Ortomercato (29)";"2003";38
"Ortomercato (29)";"2004";30
"Ortomercato (29)";"2005";43
"Ortomercato (29)";"2006";42
"Ortomercato (29)";"2007";27
"Ortomercato (29)";"2008";35
"Ortomercato (29)";"2009";29
"Ortomercato (29)";"2010";37
"Ortomercato (29)";"2011";30
"Ortomercato (29)";"2012";29
"Ortomercato (29)";"2013";35
"Ortomercato (29)";"2014";48
"Ortomercato (29)";"2015";38
"Ortomercato (29)";"2016";37
"Ortomercato (29)";"2017";33
"Ortomercato (29)";"2018";35
"Ortomercato (29)";"2019";31
"Ortomercato (29)";"2020";36
"Ortomercato (29)";"2021";26
"Ortomercato (29)";"2022";29
"Ortomercato (29)";"2023";30
"Taliedo - Morsenchio - Q.re Forlanini (30)";"2003";141
"Taliedo - Morsenchio - Q.re Forlanini (30)";"2004";137
"Taliedo - Morsenchio - Q.re Forlanini (30)";"2005";141
"Taliedo - Morsenchio - Q.re Forlanini (30)";"2006";161
"Taliedo - Morsenchio - Q.re Forlanini (30)";"2007";159
"Taliedo - Morsenchio - Q.re Forlanini (30)";"2008";155
"Taliedo - Morsenchio - Q.re Forlanini (30)";"2009";161
"Taliedo - Morsenchio - Q.re Forlanini (30)";"2010";147
"Taliedo - Morsenchio - Q.re Forlanini (30)";"2011";130
"Taliedo - Morsenchio - Q.re Forlanini (30)";"2012";142
"Taliedo - Morsenchio - Q.re Forlanini (30)";"2013";140
"Taliedo - Morsenchio - Q.re Forlanini (30)";"2014";128
"Taliedo - Morsenchio - Q.re Forlanini (30)";"2015";118
"Taliedo - Morsenchio - Q.re Forlanini (30)";"2016";151
"Taliedo - Morsenchio - Q.re Forlanini (30)";"2017";129
"Taliedo - Morsenchio - Q.re Forlanini (30)";"2018";147
"Taliedo - Morsenchio - Q.re Forlanini (30)";"2019";134
"Taliedo - Morsenchio - Q.re Forlanini (30)";"2020";138
"Taliedo - Morsenchio - Q.re Forlanini (30)";"2021";131
"Taliedo - Morsenchio - Q.re Forlanini (30)";"2022";134
"Taliedo - Morsenchio - Q.re Forlanini (30)";"2023";136
"Monlue' - Ponte Lambro (31)";"2003";58
"Monlue' - Ponte Lambro (31)";"2004";44
"Monlue' - Ponte Lambro (31)";"2005";55
"Monlue' - Ponte Lambro (31)";"2006";59
"Monlue' - Ponte Lambro (31)";"2007";53
"Monlue' - Ponte Lambro (31)";"2008";46
"Monlue' - Ponte Lambro (31)";"2009";55
"Monlue' - Ponte Lambro (31)";"2010";57
"Monlue' - Ponte Lambro (31)";"2011";60
"Monlue' - Ponte Lambro (31)";"2012";43
"Monlue' - Ponte Lambro (31)";"2013";57
"Monlue' - Ponte Lambro (31)";"2014";60
"Monlue' - Ponte Lambro (31)";"2015";49
"Monlue' - Ponte Lambro (31)";"2016";46
"Monlue' - Ponte Lambro (31)";"2017";51
"Monlue' - Ponte Lambro (31)";"2018";60
"Monlue' - Ponte Lambro (31)";"2019";48
"Monlue' - Ponte Lambro (31)";"2020";44
"Monlue' - Ponte Lambro (31)";"2021";37
"Monlue' - Ponte Lambro (31)";"2022";33
"Monlue' - Ponte Lambro (31)";"2023";47
"Triulzo Superiore (32)";"2003";20
"Triulzo Superiore (32)";"2004";9
"Triulzo Superiore (32)";"2005";10
"Triulzo Superiore (32)";"2006";18
"Triulzo Superiore (32)";"2007";16
"Triulzo Superiore (32)";"2008";12
"Triulzo Superiore (32)";"2009";17
"Triulzo Superiore (32)";"2010";14
"Triulzo Superiore (32)";"2011";14
"Triulzo Superiore (32)";"2012";16
"Triulzo Superiore (32)";"2013";16
"Triulzo Superiore (32)";"2014";28
"Triulzo Superiore (32)";"2015";16
"Triulzo Superiore (32)";"2016";26
"Triulzo Superiore (32)";"2017";19
"Triulzo Superiore (32)";"2018";17
"Triulzo Superiore (32)";"2019";27
"Triulzo Superiore (32)";"2020";13
"Triulzo Superiore (32)";"2021";17
"Triulzo Superiore (32)";"2022";18
"Triulzo Superiore (32)";"2023";18
"Rogoredo - Santa Giulia (33)";"2003";94
"Rogoredo - Santa Giulia (33)";"2004";76
"Rogoredo - Santa Giulia (33)";"2005";82
"Rogoredo - Santa Giulia (33)";"2006";78
"Rogoredo - Santa Giulia (33)";"2007";71
"Rogoredo - Santa Giulia (33)";"2008";67
"Rogoredo - Santa Giulia (33)";"2009";85
"Rogoredo - Santa Giulia (33)";"2010";138
"Rogoredo - Santa Giulia (33)";"2011";111
"Rogoredo - Santa Giulia (33)";"2012";129
"Rogoredo - Santa Giulia (33)";"2013";153
"Rogoredo - Santa Giulia (33)";"2014";116
"Rogoredo - Santa Giulia (33)";"2015";113
"Rogoredo - Santa Giulia (33)";"2016";114
"Rogoredo - Santa Giulia (33)";"2017";119
"Rogoredo - Santa Giulia (33)";"2018";98
"Rogoredo - Santa Giulia (33)";"2019";104
"Rogoredo - Santa Giulia (33)";"2020";96
"Rogoredo - Santa Giulia (33)";"2021";116
"Rogoredo - Santa Giulia (33)";"2022";102
"Rogoredo - Santa Giulia (33)";"2023";107
"Chiaravalle (34)";"2003";9
"Chiaravalle (34)";"2004";6
"Chiaravalle (34)";"2005";12
"Chiaravalle (34)";"2006";5
"Chiaravalle (34)";"2007";11
"Chiaravalle (34)";"2008";4
"Chiaravalle (34)";"2009";8
"Chiaravalle (34)";"2010";5
"Chiaravalle (34)";"2011";6
"Chiaravalle (34)";"2012";7
"Chiaravalle (34)";"2013";4
"Chiaravalle (34)";"2014";5
"Chiaravalle (34)";"2015";7
"Chiaravalle (34)";"2016";4
"Chiaravalle (34)";"2017";1
"Chiaravalle (34)";"2018";5
"Chiaravalle (34)";"2019";5
"Chiaravalle (34)";"2020";4
"Chiaravalle (34)";"2021";5
"Chiaravalle (34)";"2022";5
"Chiaravalle (34)";"2023";10
"Lodi - Corvetto (35)";"2003";316
"Lodi - Corvetto (35)";"2004";316
"Lodi - Corvetto (35)";"2005";317
"Lodi - Corvetto (35)";"2006";322
"Lodi - Corvetto (35)";"2007";323
"Lodi - Corvetto (35)";"2008";347
"Lodi - Corvetto (35)";"2009";298
"Lodi - Corvetto (35)";"2010";316
"Lodi - Corvetto (35)";"2011";280
"Lodi - Corvetto (35)";"2012";298
"Lodi - Corvetto (35)";"2013";320
"Lodi - Corvetto (35)";"2014";309
"Lodi - Corvetto (35)";"2015";322
