tipo_via;civico;CODICE_VIA;CAP;MUNICIPIO;ID_NIL;NIL;LONG_WGS84;LAT_WGS84;Location
VIA RIPAMONTI GIUSEPPE;561;4066;20141;5;85;Parco delle Abbazie;9.20938739384;45.4017137259;45.4017137259, 9.20938739384
VIA RIPAMONTI GIUSEPPE;567;4066;20141;5;85;Parco delle Abbazie;9.20990175659;45.4006822687;45.4006822687, 9.20990175659
VIA RIPAMONTI GIUSEPPE;580;4066;20141;5;85;Parco delle Abbazie;9.20906794753;45.4012417715;45.4012417715, 9.20906794753
VIA RIPAMONTI GIUSEPPE;584;4066;20141;5;85;Parco delle Abbazie;9.2093108466;45.4006340512;45.4006340512, 9.2093108466
VIA RIPAMONTI GIUSEPPE;586;4066;20141;5;39;QUINTOSOLE;9.20952924501;45.3998185554;45.3998185554, 9.20952924501
VIA RIPAMONTI GIUSEPPE;591;4066;20141;5;85;Parco delle Abbazie;9.21064122997;45.3982710896;45.3982710896, 9.21064122997
VIA RIPAMONTI GIUSEPPE;606;4066;20141;5;39;QUINTOSOLE;9.21026886661;45.3970288761;45.3970288761, 9.21026886661
VIA CAMPAZZINO;48;4251;20141;5;42;STADERA;9.18843275433;45.4302891811;45.4302891811, 9.18843275433
VIA CAMPAZZINO;50;4251;20141;5;42;STADERA;9.18819766791;45.4304720684;45.4304720684, 9.18819766791
VIA CAMPAZZINO;51;4251;20141;5;42;STADERA;9.19200219933;45.4306020547;45.4306020547, 9.19200219933
VIA CAMPAZZINO;55;4251;20141;5;42;STADERA;9.19147588988;45.4287671325;45.4287671325, 9.19147588988
VIA CAMPAZZINO;68;4251;20141;5;42;STADERA;9.19116691164;45.4292362457;45.4292362457, 9.19116691164
VIA CAMPAZZINO;69;4251;20141;5;42;STADERA;9.19252787277;45.4265394136;45.4265394136, 9.19252787277
VIA CAMPAZZINO;72;4251;20141;5;42;STADERA;9.1911381431;45.4287907404;45.4287907404, 9.1911381431
VIA CAMPAZZINO;73;4251;20141;5;42;STADERA;9.19116999197;45.4261442743;45.4261442743, 9.19116999197
VIA CAMPAZZINO;74;4251;20141;5;42;STADERA;9.19124133976;45.4282928686;45.4282928686, 9.19124133976
VIA CAMPAZZINO;90;4251;20142;5;85;Parco delle Abbazie;9.18664749194;45.4235583419;45.4235583419, 9.18664749194
VIA VAIANO VALLE;32;4280;20141;5;85;Parco delle Abbazie;9.21411642284;45.4292722929;45.4292722929, 9.21411642284
VIA VAIANO VALLE;41;4280;20141;5;85;Parco delle Abbazie;9.21518436699;45.4294159597;45.4294159597, 9.21518436699
VIA VAIANO VALLE;43;4280;20141;5;85;Parco delle Abbazie;9.21633585807;45.429205001;45.429205001, 9.21633585807
VIA VAIANO VALLE;45;4280;20141;5;85;Parco delle Abbazie;9.21652679049;45.4291323012;45.4291323012, 9.21652679049
VIA VAIANO VALLE;47;4280;20141;5;85;Parco delle Abbazie;9.2172653395;45.4283798836;45.4283798836, 9.2172653395
VIA VAIANO VALLE;49;4280;20141;5;85;Parco delle Abbazie;9.21645679197;45.4285264526;45.4285264526, 9.21645679197
VIA VAIANO VALLE;57;4280;20141;5;85;Parco delle Abbazie;9.21653208786;45.4257178301;45.4257178301, 9.21653208786
VIA VAIANO VALLE;59;4280;20141;5;85;Parco delle Abbazie;9.21720891273;45.424209005;45.424209005, 9.21720891273
VIA VAIANO VALLE;60;4280;20141;5;85;Parco delle Abbazie;9.21719861624;45.4236177316;45.4236177316, 9.21719861624
VIA DIONIGI (SAN);20;4290;20139;5;36;SCALO ROMANA;9.2168802012;45.4352166053;45.4352166053, 9.2168802012
VIA DIONIGI (SAN);22;4290;20139;5;36;SCALO ROMANA;9.21687756913;45.4350787394;45.4350787394, 9.21687756913
VIA DIONIGI (SAN);24;4290;20139;5;36;SCALO ROMANA;9.21687932444;45.4349407565;45.4349407565, 9.21687932444
VIA DIONIGI (SAN);26;4290;20139;5;36;SCALO ROMANA;9.21688621003;45.4347928804;45.4347928804, 9.21688621003
VIA DIONIGI (SAN);28;4290;20139;5;36;SCALO ROMANA;9.21689213622;45.4346579679;45.4346579679, 9.21689213622
VIA DIONIGI (SAN);30;4290;20139;5;36;SCALO ROMANA;9.21783736512;45.4344909291;45.4344909291, 9.21783736512
VIA DIONIGI (SAN);36;4290;20139;5;36;SCALO ROMANA;9.21874132631;45.4334285608;45.4334285608, 9.21874132631
VIA DIONIGI (SAN);40;4290;20139;5;36;SCALO ROMANA;9.21964741921;45.4331058109;45.4331058109, 9.21964741921
VIA DIONIGI (SAN);42;4290;20139;5;36;SCALO ROMANA;9.22011137121;45.4327323096;45.4327323096, 9.22011137121
VIA DIONIGI (SAN);48;4290;20139;5;36;SCALO ROMANA;9.22071106763;45.4324587288;45.4324587288, 9.22071106763
