"NIL (Nuclei di Identità Locale)";"Titolo di godimento dell'abitazione";"Abitazioni"
"Monlue' - Ponte Lambro (31)";"Affitto";868,920195221901
"Monlue' - Ponte Lambro (31)";"Altro titolo";145,492025911808
"Triulzo Superiore (32)";"Proprietà";388,178290724754
"Triulzo Superiore (32)";"Affitto";275,931696951389
"Triulzo Superiore (32)";"Altro titolo";15,8584417104721
"Rogoredo - Santa Giulia (33)";"Proprietà";2780,6052210927
"Rogoredo - Santa Giulia (33)";"Affitto";1021,64025485516
"Rogoredo - Santa Giulia (33)";"Altro titolo";182,007410883904
"Chiaravalle (34)";"Proprietà";263,935352087021
"Chiaravalle (34)";"Affitto";177,061240494251
"Chiaravalle (34)";"Altro titolo";21,9353481531143
"Lodi - Corvetto (35)";"Proprietà";9547,00096678734
"Lodi - Corvetto (35)";"Affitto";5413,36172819138
"Lodi - Corvetto (35)";"Altro titolo";979,637273669243
"Scalo Romana (36)";"Proprietà";2603,81106364727
"Scalo Romana (36)";"Affitto";1676,25196558237
"Scalo Romana (36)";"Altro titolo";242,493530154228
"Morivione (37)";"Proprietà";2317,6219252944
"Morivione (37)";"Affitto";730,505846321583
"Morivione (37)";"Altro titolo";161,061666667461
"Vigentino - Q.re Fatima (38)";"Proprietà";4646,8144415617
"Vigentino - Q.re Fatima (38)";"Affitto";921,992011129856
"Vigentino - Q.re Fatima (38)";"Altro titolo";377,209394037724
"Quintosole (39)";"Proprietà";75,7911799550056
"Quintosole (39)";"Affitto";34,8302927613258
"Quintosole (39)";"Altro titolo";16,5864555835724
"Ronchetto delle Rane (40)";"Proprietà";197,030404567719
"Ronchetto delle Rane (40)";"Affitto";65,9310889840126
"Ronchetto delle Rane (40)";"Altro titolo";15,9396007061005
"Gratosoglio - Q.re Missaglia - Q.re Terrazze (41)";"Proprietà";3137,15283584595
"Gratosoglio - Q.re Missaglia - Q.re Terrazze (41)";"Affitto";4407,80336552858
"Gratosoglio - Q.re Missaglia - Q.re Terrazze (41)";"Altro titolo";175,043761193752
"Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42)";"Proprietà";8565,68055105209
