id_amat;id_via;anagrafica;gerarchia;rete;tipologia;sede;marcia;norma;lunghezza;LONG_X_4326_CENTROID;LAT_Y_4326_CENTROID;Location
"3920";"2274";VIALE MONZA;;ciclabile;ciclabile segnaletica;carreggiata;monodirezionale - concorde;ordinanza lavori stradali;"82";9.22472174838271;45.5130625898984;"(45.5130625898984, 9.22472174838271)"
"3921";"2274";VIALE MONZA;;ciclabile;ciclabile segnaletica;carreggiata;monodirezionale - concorde;ordinanza lavori stradali;"19";9.22464977284304;45.5122021386248;"(45.5122021386248, 9.22464977284304)"
"3922";"2274";VIALE MONZA;;ciclabile;ciclabile segnaletica;carreggiata;monodirezionale - concorde;ordinanza lavori stradali;"117";9.22433728373882;45.5118110547752;"(45.5118110547752, 9.22433728373882)"
"3923";"2274";VIALE MONZA;;ciclabile;ciclabile segnaletica;carreggiata;monodirezionale - concorde;ordinanza lavori stradali;"14";9.22425285129529;45.510895249697;"(45.510895249697, 9.22425285129529)"
"3924";"2274";VIALE MONZA;;ciclabile;ciclabile segnaletica;carreggiata;monodirezionale - concorde;ordinanza lavori stradali;"39";9.22367793863581;45.5089107636247;"(45.5089107636247, 9.22367793863581)"
"3925";"2274";VIALE MONZA;;ciclabile;ciclabile segnaletica;carreggiata;monodirezionale - concorde;ordinanza lavori stradali;"10";9.22359444914348;45.5087026922374;"(45.5087026922374, 9.22359444914348)"
"3926";"2274";VIALE MONZA;;ciclabile;ciclabile segnaletica;carreggiata;monodirezionale - concorde;ordinanza lavori stradali;"14";9.22324923947294;45.5075621610322;"(45.5075621610322, 9.22324923947294)"
"3927";"2274";VIALE MONZA;;ciclabile;ciclabile segnaletica;carreggiata;monodirezionale - concorde;ordinanza lavori stradali;"14";9.22283455671068;45.5062093576364;"(45.5062093576364, 9.22283455671068)"
"3928";"2274";VIALE MONZA;;ciclabile;ciclabile segnaletica;carreggiata;monodirezionale - concorde;ordinanza lavori stradali;"19";9.22275737339426;45.5065582129015;"(45.5065582129015, 9.22275737339426)"
"3929";"2274";VIALE MONZA;;ciclabile;ciclabile segnaletica;carreggiata;monodirezionale - concorde;ordinanza lavori stradali;"35";9.22284807369603;45.5067872903614;"(45.5067872903614, 9.22284807369603)"
"3930";"2274";VIALE MONZA;;ciclabile;ciclabile segnaletica;carreggiata;monodirezionale - concorde;ordinanza lavori stradali;"34";9.22234056774089;45.5052288634668;"(45.5052288634668, 9.22234056774089)"
"3931";"330";VIA FRANCESCO SFORZA;;ciclabile;ciclabile segnaletica;carreggiata;monodirezionale - concorde;ordinanza lavori stradali;"10";9.19874827612046;45.4631311166681;"(45.4631311166681, 9.19874827612046)"
"3932";"330";VIA FRANCESCO SFORZA;;ciclabile;ciclabile segnaletica;corsia tpl;monodirezionale - concorde;ordinanza lavori stradali;"11";9.19806947378123;45.4625775815701;"(45.4625775815701, 9.19806947378123)"
"3933";"330";VIA FRANCESCO SFORZA;;ciclabile;ciclabile segnaletica;carreggiata;monodirezionale - concorde;ordinanza lavori stradali;"10";9.19787545972288;45.46220680418;"(45.46220680418, 9.19787545972288)"
"3934";"330";VIA FRANCESCO SFORZA;;ciclabile;ciclabile segnaletica;corsia tpl;monodirezionale - concorde;ordinanza lavori stradali;"12";9.19652052725406;45.4609399745619;"(45.4609399745619, 9.19652052725406)"
"3935";"330";VIA FRANCESCO SFORZA;;ciclabile;ciclabile segnaletica;carreggiata;monodirezionale - concorde;ordinanza lavori stradali;"21";9.19651220827016;45.4607757418184;"(45.4607757418184, 9.19651220827016)"
"3936";"330";VIA FRANCESCO SFORZA;;ciclabile;ciclabile segnaletica;carreggiata;monodirezionale - concorde;ordinanza lavori stradali;"8";9.19640874758572;45.4606668828836;"(45.4606668828836, 9.19640874758572)"
"3937";"2274";VIALE MONZA;;ciclabile;ciclabile segnaletica;carreggiata;monodirezionale - concorde;ordinanza lavori stradali;"31";9.21968107636292;45.4957147680345;"(45.4957147680345, 9.21968107636292)"
"3938";"2274";VIALE MONZA;;ciclabile;ciclabile segnaletica;carreggiata;monodirezionale - concorde;ordinanza lavori stradali;"56";9.21929444755937;45.4944433311134;"(45.4944433311134, 9.21929444755937)"
"3939";"2274";VIALE MONZA;;ciclabile;ciclabile segnaletica;carreggiata;monodirezionale - concorde;ordinanza lavori stradali;"168";9.21856864726591;45.492050444481;"(45.492050444481, 9.21856864726591)"
"3940";"2274";VIALE MONZA;;ciclabile;ciclabile segnaletica;carreggiata;monodirezionale - concorde;ordinanza lavori stradali;"13";9.21874048297606;45.493229529389;"(45.493229529389, 9.21874048297606)"
"3941";"2274";VIALE MONZA;;ciclabile;ciclabile segnaletica;carreggiata;monodirezionale - concorde;ordinanza lavori stradali;"14";9.21819076223005;45.4914142254234;"(45.4914142254234, 9.21819076223005)"
"3942";"2274";VIALE MONZA;;ciclabile;ciclabile segnaletica;carreggiata;monodirezionale - concorde;ordinanza lavori stradali;"14";9.21679280627924;45.4869186314414;"(45.4869186314414, 9.21679280627924)"
"3943";"2264";PIAZZALE LORETO;;ciclabile;ciclabile segnaletica;carreggiata;monodirezionale - concorde;ordinanza lavori stradali;"10";9.21657096647276;45.4862049453972;"(45.4862049453972, 9.21657096647276)"
"3944";"2264";PIAZZALE LORETO;;ciclabile;ciclabile segnaletica;carreggiata;monodirezionale - concorde;ordinanza lavori stradali;"9";9.21692007226229;45.486549266918;"(45.486549266918, 9.21692007226229)"
"3945";"2264";PIAZZALE LORETO;;ciclabile;ciclabile segnaletica;carreggiata;monodirezionale - concorde;ordinanza lavori stradali;"10";9.21629133602142;45.4862089548425;"(45.4862089548425, 9.21629133602142)"
"3946";"2264";PIAZZALE LORETO;;ciclabile;ciclabile segnaletica;carreggiata;monodirezionale - concorde;ordinanza lavori stradali;"14";9.21622130136531;45.4858810971712;"(45.4858810971712, 9.21622130136531)"
"3947";"2264";PIAZZALE LORETO;;ciclabile;ciclabile segnaletica;carreggiata;monodirezionale - concorde;ordinanza lavori stradali;"9";9.21617218464193;45.4863529845537;"(45.4863529845537, 9.21617218464193)"
"3948";"2264";PIAZZALE LORETO;;ciclabile;ciclabile segnaletica;carreggiata;monodirezionale - concorde;ordinanza lavori stradali;"12";9.21605358823846;45.4863082092506;"(45.4863082092506, 9.21605358823846)"
"3949";"2263";VIALE BRIANZA;;ciclabile;ciclabile segnaletica;carreggiata;monodirezionale - concorde;ordinanza lavori stradali;"13";9.21542039937968;45.4862636894831;"(45.4862636894831, 9.21542039937968)"
"3950";"2264";PIAZZALE LORETO;;ciclabile;ciclabile segnaletica;carreggiata;monodirezionale - concorde;ordinanza lavori stradali;"13";9.21747860610704;45.4865115988976;"(45.4865115988976, 9.21747860610704)"
"3951";"237";PIAZZA CAVOUR;;ciclabile;ciclabile segnaletica;carreggiata;monodirezionale - concorde;ordinanza lavori stradali;"6";9.19538014856424;45.4724107555666;"(45.4724107555666, 9.19538014856424)"
"3952";"237";PIAZZA CAVOUR;;ciclabile;ciclabile segnaletica;carreggiata;monodirezionale - concorde;ordinanza lavori stradali;"37";9.19546218035035;45.4727351815156;"(45.4727351815156, 9.19546218035035)"
"3953";"237";PIAZZA CAVOUR;;ciclabile;ciclabile segnaletica;carreggiata;monodirezionale - concorde;ordinanza lavori stradali;"5";9.1954128406871;45.4724512973506;"(45.4724512973506, 9.1954128406871)"
"3954";"237";PIAZZA CAVOUR;;ciclabile;ciclabile segnaletica;attraversamento;monodirezionale - concorde;ordinanza lavori stradali;"11";9.19543246188812;45.4725212424319;"(45.4725212424319, 9.19543246188812)"
"3955";"144";VIA FATEBENEFRATELLI;;ciclabile;ciclabile segnaletica;corsia tpl;monodirezionale - concorde;ordinanza lavori stradali;"15";9.19482732946275;45.4723923294505;"(45.4723923294505, 9.19482732946275)"
"3956";"144";VIA FATEBENEFRATELLI;;ciclabile;ciclabile segnaletica;carreggiata;monodirezionale - concorde;ordinanza lavori stradali;"11";9.19298876277137;45.472842330075;"(45.472842330075, 9.19298876277137)"
"3957";"144";VIA FATEBENEFRATELLI;;ciclabile;ciclabile segnaletica;corsia tpl;monodirezionale - concorde;ordinanza lavori stradali;"9";9.19260107624958;45.4728094974846;"(45.4728094974846, 9.19260107624958)"
"3958";"144";VIA FATEBENEFRATELLI;;ciclabile;ciclabile segnaletica;corsia tpl;monodirezionale - concorde;ordinanza lavori stradali;"50";9.19223516342651;45.4728735187241;"(45.4728735187241, 9.19223516342651)"
"3959";"144";VIA FATEBENEFRATELLI;;ciclabile;ciclabile segnaletica;corsia tpl;monodirezionale - concorde;ordinanza lavori stradali;"6";9.19188760334858;45.4729343285776;"(45.4729343285776, 9.19188760334858)"
"3960";"144";VIA FATEBENEFRATELLI;;ciclabile;ciclabile segnaletica;carreggiata;monodirezionale - concorde;ordinanza lavori stradali;"8";9.18964655587502;45.473190955919;"(45.473190955919, 9.18964655587502)"
"3961";"144";VIA FATEBENEFRATELLI;;ciclabile;ciclabile segnaletica;carreggiata;monodirezionale - concorde;ordinanza lavori stradali;"7";9.18812322230508;45.4730056829907;"(45.4730056829907, 9.18812322230508)"
"3962";"2274";VIALE MONZA;;ciclabile;ciclabile segnaletica;carreggiata;monodirezionale - concorde;ordinanza lavori stradali;"11";9.22079866304477;45.4994163498664;"(45.4994163498664, 9.22079866304477)"
"3963";"2274";VIALE MONZA;;ciclabile;ciclabile segnaletica;carreggiata;monodirezionale - concorde;ordinanza lavori stradali;"40";9.2197349329453;45.4965599109804;"(45.4965599109804, 9.2197349329453)"
"3964";"6265";VIA SARDEGNA;;ciclabile;ciclabile segnaletica;carreggiata;monodirezionale - concorde;ordinanza lavori stradali;"6";9.15484580724559;45.466271362709;"(45.466271362709, 9.15484580724559)"
"3965";"6265";VIA SARDEGNA;;ciclabile;ciclabile segnaletica;carreggiata;monodirezionale - concorde;ordinanza lavori stradali;"158";9.15392138021354;45.4654620971712;"(45.4654620971712, 9.15392138021354)"
"3966";"6265";VIA SARDEGNA;;ciclabile;ciclabile segnaletica;carreggiata;monodirezionale - concorde;ordinanza lavori stradali;"41";9.15307022836143;45.4644480438152;"(45.4644480438152, 9.15307022836143)"
"3967";"6265";VIA SARDEGNA;;ciclabile;ciclabile segnaletica;carreggiata;monodirezionale - concorde;ordinanza lavori stradali;"9";9.15333172110361;45.4645136906933;"(45.4645136906933, 9.15333172110361)"
"3968";"6265";VIA SARDEGNA;;ciclabile;ciclabile segnaletica;carreggiata;monodirezionale - concorde;ordinanza lavori stradali;"95";9.15043389462779;45.4613586322943;"(45.4613586322943, 9.15043389462779)"
"3969";"2682";VIA LEONARDO BISTOLFI;;ciclabile;ciclabile segnaletica;carreggiata;monodirezionale - concorde;corsia ciclabile;"11";9.2451514503274;45.4733361335998;"(45.4733361335998, 9.2451514503274)"
"3970";"2682";VIA LEONARDO BISTOLFI;;ciclabile;ciclabile segnaletica;carreggiata;monodirezionale - concorde;corsia ciclabile;"11";9.24489383708198;45.4735959731493;"(45.4735959731493, 9.24489383708198)"
"3971";"238";CORSO VENEZIA;;ciclabile;ciclabile segnaletica;carreggiata;monodirezionale - concorde;ordinanza lavori stradali;"4";9.19919330129185;45.4686212695489;"(45.4686212695489, 9.19919330129185)"
"3972";"238";CORSO VENEZIA;;ciclabile;ciclabile sede propria;carreggiata;monodirezionale - concorde;ordinanza lavori stradali;"7";9.20100677742605;45.47045610196;"(45.47045610196, 9.20100677742605)"
"3973";"238";CORSO VENEZIA;;ciclabile;ciclabile segnaletica;carreggiata;monodirezionale - concorde;ordinanza lavori stradali;"50";9.1994905784333;45.4691540210636;"(45.4691540210636, 9.1994905784333)"
"3990";"2129";CORSO BUENOS AIRES;;ciclabile;ciclabile segnaletica;carreggiata;monodirezionale - concorde;corsia ciclabile;"33";9.21529126575069;45.4848612624986;"(45.4848612624986, 9.21529126575069)"
"3991";"2129";CORSO BUENOS AIRES;;ciclabile;ciclabile segnaletica;carreggiata;monodirezionale - concorde;corsia ciclabile;"7";9.21635306389378;45.4856964019967;"(45.4856964019967, 9.21635306389378)"
"3992";"3334";VIA CESARE LOMBROSO;;ciclabile;ciclabile segnaletica;carreggiata;monodirezionale - concorde;ordinanza lavori stradali;"400";9.22697479689195;45.4562424194912;"(45.4562424194912, 9.22697479689195)"
"3993";"3334";VIA CESARE LOMBROSO;;ciclabile;ciclabile segnaletica;carreggiata;monodirezionale - concorde;ordinanza lavori stradali;"139";9.22780166414003;45.4561297427366;"(45.4561297427366, 9.22780166414003)"
"3994";"3334";VIA CESARE LOMBROSO;;ciclabile;ciclabile segnaletica;carreggiata;monodirezionale - concorde;ordinanza lavori stradali;"9";9.22959007087499;45.4562599840673;"(45.4562599840673, 9.22959007087499)"
"3995";"3334";VIA CESARE LOMBROSO;;ciclabile;ciclabile segnaletica;carreggiata;monodirezionale - concorde;ordinanza lavori stradali;"174";9.2307587226842;45.4562665007446;"(45.4562665007446, 9.2307587226842)"
"3996";"3334";VIA CESARE LOMBROSO;;ciclabile;ciclabile segnaletica;carreggiata;monodirezionale - concorde;ordinanza lavori stradali;"36";9.23151782868425;45.4561553400777;"(45.4561553400777, 9.23151782868425)"
"3997";"3334";VIA CESARE LOMBROSO;;ciclabile;ciclabile segnaletica;carreggiata;monodirezionale - concorde;ordinanza lavori stradali;"57";9.23271811077567;45.4562853170534;"(45.4562853170534, 9.23271811077567)"
"3998";"3326";VIA ATTILIO REGOLO;;ciclabile;ciclabile segnaletica;carreggiata;monodirezionale - concorde;ordinanza lavori stradali;"62";9.23877498000909;45.4567227515195;"(45.4567227515195, 9.23877498000909)"
"3999";"3326";VIA ATTILIO REGOLO;;ciclabile;ciclabile segnaletica;carreggiata;monodirezionale - concorde;ordinanza lavori stradali;"6";9.2391567495154;45.4568703644642;"(45.4568703644642, 9.2391567495154)"
"4000";"351";VIA SAN DAMIANO;;ciclabile;ciclabile segnaletica;corsia tpl;monodirezionale - concorde;ordinanza lavori stradali;"8";9.20044781477279;45.4670559485269;"(45.4670559485269, 9.20044781477279)"
"4001";"351";VIA SAN DAMIANO;;ciclabile;ciclabile segnaletica;carreggiata;monodirezionale - concorde;ordinanza lavori stradali;"13";9.19938390986761;45.4687609486479;"(45.4687609486479, 9.19938390986761)"
"4002";"236";VIA SENATO;;ciclabile;ciclabile segnaletica;corsia tpl;monodirezionale - concorde;ordinanza lavori stradali;"9";9.19911896159483;45.4688249092083;"(45.4688249092083, 9.19911896159483)"
"4003";"236";VIA SENATO;;ciclabile;ciclabile segnaletica;carreggiata;monodirezionale - concorde;ordinanza lavori stradali;"8";9.19834321561829;45.4697202845596;"(45.4697202845596, 9.19834321561829)"
"4004";"236";VIA SENATO;;ciclabile;ciclabile segnaletica;corsia tpl;monodirezionale - concorde;ordinanza lavori stradali;"11";9.19807672592862;45.4698050746833;"(45.4698050746833, 9.19807672592862)"
"4005";"236";VIA SENATO;;ciclabile;ciclabile segnaletica;carreggiata;monodirezionale - concorde;ordinanza lavori stradali;"9";9.19536149788808;45.4721902750875;"(45.4721902750875, 9.19536149788808)"
"4006";"361";VIA UMBERTO VISCONTI DI MODRONE;;ciclabile;ciclabile segnaletica;carreggiata;monodirezionale - concorde;ordinanza lavori stradali;"9";9.20060932241932;45.4669164605368;"(45.4669164605368, 9.20060932241932)"
"4007";"361";VIA UMBERTO VISCONTI DI MODRONE;;ciclabile;ciclabile segnaletica;corsia tpl;monodirezionale - concorde;ordinanza lavori stradali;"115";9.20043747306113;45.4664176871331;"(45.4664176871331, 9.20043747306113)"
"4008";"361";VIA UMBERTO VISCONTI DI MODRONE;;ciclabile;ciclabile segnaletica;carreggiata;monodirezionale - concorde;ordinanza lavori stradali;"13";9.20051482909818;45.4657008791334;"(45.4657008791334, 9.20051482909818)"
"4009";"361";VIA UMBERTO VISCONTI DI MODRONE;;ciclabile;ciclabile segnaletica;corsia tpl;monodirezionale - concorde;ordinanza lavori stradali;"283";9.19967743600341;45.4644217939097;"(45.4644217939097, 9.19967743600341)"
"4010";"6388";VIA MONTE ROSA;;ciclabile;ciclabile sede propria;marciapiede;monodirezionale - concorde;corsia ciclabile;"24";9.151694545417;45.4733024786016;"(45.4733024786016, 9.151694545417)"
"4011";"6388";VIA MONTE ROSA;;ciclabile;ciclabile sede propria;marciapiede;monodirezionale - concorde;corsia ciclabile;"4";9.1505505733884;45.4741688194722;"(45.4741688194722, 9.1505505733884)"
"4012";"6388";VIA MONTE ROSA;;ciclabile;ciclabile sede propria;marciapiede;monodirezionale - concorde;corsia ciclabile;"7";9.15085049132599;45.4739444412376;"(45.4739444412376, 9.15085049132599)"
"4013";"6388";VIA MONTE ROSA;;ciclabile;ciclabile sede propria;marciapiede;monodirezionale - concorde;corsia ciclabile;"5";9.15086527483924;45.4739090699072;"(45.4739090699072, 9.15086527483924)"
"4014";"6388";VIA MONTE ROSA;;ciclabile;ciclabile sede propria;marciapiede;monodirezionale - concorde;corsia ciclabile;"6";9.15156980982203;45.4731125733803;"(45.4731125733803, 9.15156980982203)"
"4015";"6388";VIA MONTE ROSA;;ciclabile;ciclabile sede propria;marciapiede;monodirezionale - concorde;corsia ciclabile;"82";9.15128760121615;45.4737086056006;"(45.4737086056006, 9.15128760121615)"
"4016";"6388";VIA MONTE ROSA;;ciclabile;ciclabile segnaletica;attraversamento;monodirezionale - concorde;attraversamento - ciclabile;"6";9.15166507008551;45.4734370593452;"(45.4734370593452, 9.15166507008551)"
"4017";"6388";VIA MONTE ROSA;;ciclabile;ciclabile sede propria;marciapiede;monodirezionale - concorde;corsia ciclabile;"2";9.15174171152621;45.4732197480647;"(45.4732197480647, 9.15174171152621)"
"4018";"6388";VIA MONTE ROSA;;ciclabile;ciclabile segnaletica;attraversamento;monodirezionale - concorde;attraversamento - ciclabile;"12";9.15167826178766;45.4731771076893;"(45.4731771076893, 9.15167826178766)"
"4019";"6388";VIA MONTE ROSA;;ciclabile;ciclabile sede propria;marciapiede;monodirezionale - concorde;ordinanza lavori stradali;"3";9.15035986302733;45.4740735108227;"(45.4740735108227, 9.15035986302733)"
"4020";"6388";VIA MONTE ROSA;;ciclabile;ciclabile segnaletica;attraversamento;monodirezionale - concorde;attraversamento - ciclabile;"6";9.1503899652313;45.4740221252374;"(45.4740221252374, 9.1503899652313)"
"4021";"6388";VIA MONTE ROSA;;ciclabile;ciclabile sede propria;parterre;monodirezionale - concorde;corsia ciclabile;"6";9.15351880555051;45.4719059472571;"(45.4719059472571, 9.15351880555051)"
"4022";"6388";VIA MONTE ROSA;;ciclabile;ciclabile sede propria;marciapiede;monodirezionale - concorde;corsia ciclabile;"5";9.15334782379587;45.4717950527597;"(45.4717950527597, 9.15334782379587)"
"4023";"6388";VIA MONTE ROSA;;ciclabile;ciclabile segnaletica;attraversamento;bidirezionale;attraversamento - ciclabile;"12";9.1524914114565;45.4725590234971;"(45.4725590234971, 9.1524914114565)"
"4024";"6388";VIA MONTE ROSA;;ciclabile;ciclabile sede propria;marciapiede;bidirezionale;corsia ciclabile;"5";9.15257261547313;45.4726106104639;"(45.4726106104639, 9.15257261547313)"
"4025";"6388";VIA MONTE ROSA;;ciclabile;ciclabile segnaletica;attraversamento;monodirezionale - concorde;attraversamento - ciclabile;"12";9.15363671340249;45.4716935183924;"(45.4716935183924, 9.15363671340249)"
"4026";"6388";VIA MONTE ROSA;;ciclabile;ciclabile sede propria;marciapiede;monodirezionale - concorde;corsia ciclabile;"6";9.15355685688588;45.471640888389;"(45.471640888389, 9.15355685688588)"
"4027";"6248";VIA GIOTTO;;ciclabile;ciclabile sede propria;marciapiede;monodirezionale - concorde;corsia ciclabile;"19";9.15590090557998;45.4701032037809;"(45.4701032037809, 9.15590090557998)"
"4028";"6248";VIA GIOTTO;;ciclabile;ciclabile sede propria;marciapiede;monodirezionale - concorde;corsia ciclabile;"13";9.15597083436846;45.4698371923591;"(45.4698371923591, 9.15597083436846)"
"4029";"6388";VIA MONTE ROSA;;ciclabile;ciclabile sede propria;marciapiede;monodirezionale - concorde;corsia ciclabile;"131";9.15427576089402;45.4713546228438;"(45.4713546228438, 9.15427576089402)"
"4030";"6380";VIA TIZIANO;;ciclabile;ciclabile sede propria;carreggiata;monodirezionale - discorde;corsia ciclabile;"9";9.15607630854808;45.4708703646734;"(45.4708703646734, 9.15607630854808)"
"4031";"6611";VIA CATERINA DA FORLI';;ciclabile;ciclabile segnaletica;carreggiata;monodirezionale - concorde;ordinanza lavori stradali;"13";9.14588336000367;45.4595274700717;"(45.4595274700717, 9.14588336000367)"
"4032";"6611";VIA CATERINA DA FORLI';;ciclabile;ciclabile segnaletica;carreggiata;monodirezionale - concorde;ordinanza lavori stradali;"138";9.14703415266191;45.4599240274494;"(45.4599240274494, 9.14703415266191)"
"4033";"6130";PIAZZALE TRIPOLI;;ciclabile;ciclabile segnaletica;carreggiata;monodirezionale - concorde;ordinanza lavori stradali;"6";9.14949864698944;45.4599370822712;"(45.4599370822712, 9.14949864698944)"
"4034";"6265";VIA SARDEGNA;;ciclabile;ciclabile segnaletica;carreggiata;monodirezionale - concorde;non regolamentato;"38";9.14994538373668;45.4608175196967;"(45.4608175196967, 9.14994538373668)"
"4035";"6265";VIA SARDEGNA;;ciclabile;ciclabile segnaletica;carreggiata;monodirezionale - concorde;non regolamentato;"4";9.15022041437826;45.4605428004468;"(45.4605428004468, 9.15022041437826)"
