"NIL (Nuclei di Identità Locale)";"Classe di superficie";"Abitazioni"
"Ortomercato (29)";"60-89 mq.";663,091134786606
"Ortomercato (29)";"90 mq. e più";297,889932692051
"Taliedo - Morsenchio - Q.re Forlanini (30)";"Fino a 59 mq.";2365,86915934086
"Taliedo - Morsenchio - Q.re Forlanini (30)";"60-89 mq.";4528,15169596672
"Taliedo - Morsenchio - Q.re Forlanini (30)";"90 mq. e più";1754,97916150093
"Monlue' - Ponte Lambro (31)";"Fino a 59 mq.";661,385958909988
"Monlue' - Ponte Lambro (31)";"60-89 mq.";598,213076353073
"Monlue' - Ponte Lambro (31)";"90 mq. e più";477,64675796032
"Triulzo Superiore (32)";"Fino a 59 mq.";408,578141570091
"Triulzo Superiore (32)";"60-89 mq.";197,093798696995
"Triulzo Superiore (32)";"90 mq. e più";74,2964891195297
"Rogoredo - Santa Giulia (33)";"Fino a 59 mq.";1048,35219871998
"Rogoredo - Santa Giulia (33)";"60-89 mq.";1671,78299832344
"Rogoredo - Santa Giulia (33)";"90 mq. e più";1264,11768978834
"Chiaravalle (34)";"Fino a 59 mq.";136,43568444252
"Chiaravalle (34)";"60-89 mq.";147,964315474033
"Chiaravalle (34)";"90 mq. e più";178,531940817833
"Lodi - Corvetto (35)";"Fino a 59 mq.";5928,81274098158
"Lodi - Corvetto (35)";"60-89 mq.";6390,37256288528
"Lodi - Corvetto (35)";"90 mq. e più";3620,81466478109
"Scalo Romana (36)";"Fino a 59 mq.";1676,6662902832
"Scalo Romana (36)";"60-89 mq.";1795,51587498188
"Scalo Romana (36)";"90 mq. e più";1050,37439411879
"Morivione (37)";"Fino a 59 mq.";979,104194641113
"Morivione (37)";"60-89 mq.";1170,23854857683
"Morivione (37)";"90 mq. e più";1059,8466950655
"Vigentino - Q.re Fatima (38)";"Fino a 59 mq.";1346,96093380451
"Vigentino - Q.re Fatima (38)";"60-89 mq.";2108,07843476534
"Vigentino - Q.re Fatima (38)";"90 mq. e più";2490,97647815943
"Quintosole (39)";"Fino a 59 mq.";36,607851266861
"Quintosole (39)";"60-89 mq.";58,3695703148842
"Quintosole (39)";"90 mq. e più";32,2305067181587
"Ronchetto delle Rane (40)";"Fino a 59 mq.";50,1372435092926
"Ronchetto delle Rane (40)";"60-89 mq.";96,9787425994873
"Ronchetto delle Rane (40)";"90 mq. e più";131,785108149052
"Gratosoglio - Q.re Missaglia - Q.re Terrazze (41)";"Fino a 59 mq.";1629,05980563164
"Gratosoglio - Q.re Missaglia - Q.re Terrazze (41)";"60-89 mq.";3419,62316393852
"Gratosoglio - Q.re Missaglia - Q.re Terrazze (41)";"90 mq. e più";2671,31699299812
"Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42)";"Fino a 59 mq.";4626,30638796091
