"NIL (Nuclei di Identità Locale)";"Numero di residenti";"Abitazioni"
"Padova - Turro - Crescenzago (19)";"3 residenti";2308,57496458292
"Padova - Turro - Crescenzago (19)";"4 residenti";1554,90371596813
"Padova - Turro - Crescenzago (19)";"5 o più residenti";403,125630497932
"Loreto - Casoretto - NoLo (20)";"1 residente";9501,83231407404
"Loreto - Casoretto - NoLo (20)";"2 residenti";4921,64393103123
"Loreto - Casoretto - NoLo (20)";"3 residenti";2571,83075869083
"Loreto - Casoretto - NoLo (20)";"4 residenti";1728,98114585876
"Loreto - Casoretto - NoLo (20)";"5 o più residenti";572,711847245693
"Buenos Aires - Porta Venezia - Porta Monforte (21)";"1 residente";12977,719547987
"Buenos Aires - Porta Venezia - Porta Monforte (21)";"2 residenti";8038,63699656725
"Buenos Aires - Porta Venezia - Porta Monforte (21)";"3 residenti";4160,04107499123
"Buenos Aires - Porta Venezia - Porta Monforte (21)";"4 residenti";2816,3802562356
"Buenos Aires - Porta Venezia - Porta Monforte (21)";"5 o più residenti";772,222197473049
"Citta' studi (22)";"1 residente";8764,04511117935
"Citta' studi (22)";"2 residenti";4974,39326089621
"Citta' studi (22)";"3 residenti";2284,2266228199
"Citta' studi (22)";"4 residenti";1432,87462335825
"Citta' studi (22)";"5 o più residenti";427,460337996483
"Lambrate - Ortica (23)";"1 residente";1890,19344085455
"Lambrate - Ortica (23)";"2 residenti";1209,12531775236
"Lambrate - Ortica (23)";"3 residenti";709,655374884605
"Lambrate - Ortica (23)";"4 residenti";483,448595225811
"Lambrate - Ortica (23)";"5 o più residenti";137,398836255074
"Parco Forlanini - Cavriano (24)";"1 residente";194,491131901741
"Parco Forlanini - Cavriano (24)";"2 residenti";73,0993767976761
"Parco Forlanini - Cavriano (24)";"3 residenti";60,7443808317184
"Parco Forlanini - Cavriano (24)";"4 residenti";29,9217385053635
"Parco Forlanini - Cavriano (24)";"5 o più residenti";17,6174674034119
"Corsica (25)";"1 residente";4270,68481898308
"Corsica (25)";"2 residenti";2638,62325251102
"Corsica (25)";"3 residenti";1284,18768131733
"Corsica (25)";"4 residenti";762,468803405762
"Corsica (25)";"5 o più residenti";204,035391330719
"XXII Marzo (26)";"1 residente";6608,88982224464
"XXII Marzo (26)";"2 residenti";3952,13112878799
"XXII Marzo (26)";"3 residenti";2218,9926712513
"XXII Marzo (26)";"4 residenti";1517,10558909178
"XXII Marzo (26)";"5 o più residenti";408,880810022354
"Pta Romana (27)";"1 residente";4107,79142254591
"Pta Romana (27)";"2 residenti";2044,11234980822
"Pta Romana (27)";"3 residenti";1098,37220776081
"Pta Romana (27)";"4 residenti";715,699507534504
"Pta Romana (27)";"5 o più residenti";193,024466693401
"Umbria - Molise - Calvairate (28)";"1 residente";5251,0804772377
"Umbria - Molise - Calvairate (28)";"2 residenti";2919,6515198946
"Umbria - Molise - Calvairate (28)";"3 residenti";1502,09790730476
"Umbria - Molise - Calvairate (28)";"4 residenti";852,551402211189
"Umbria - Molise - Calvairate (28)";"5 o più residenti";312,618664860725
"Ortomercato (29)";"1 residente";864,075388491154
"Ortomercato (29)";"2 residenti";476,841542899609
"Ortomercato (29)";"3 residenti";275,833902478218
"Ortomercato (29)";"4 residenti";156,417424798012
"Ortomercato (29)";"5 o più residenti";50,1135711073875
"Taliedo - Morsenchio - Q.re Forlanini (30)";"1 residente";3442,95910263062
"Taliedo - Morsenchio - Q.re Forlanini (30)";"2 residenti";2917,1256095171
"Taliedo - Morsenchio - Q.re Forlanini (30)";"3 residenti";1177,22209584713
"Taliedo - Morsenchio - Q.re Forlanini (30)";"4 residenti";815,998584628105
"Taliedo - Morsenchio - Q.re Forlanini (30)";"5 o più residenti";295,694624185562
"Monlue' - Ponte Lambro (31)";"1 residente";615,301262378693
"Monlue' - Ponte Lambro (31)";"2 residenti";471,170682787895
"Monlue' - Ponte Lambro (31)";"3 residenti";276,151676237583
"Monlue' - Ponte Lambro (31)";"4 residenti";238,930508255959
"Monlue' - Ponte Lambro (31)";"5 o più residenti";135,691663563252
"Triulzo Superiore (32)";"1 residente";360,950682222843
"Triulzo Superiore (32)";"2 residenti";115,85146510601
"Triulzo Superiore (32)";"3 residenti";108,435251235962
"Triulzo Superiore (32)";"4 residenti";62,7568171024323
"Triulzo Superiore (32)";"5 o più residenti";31,974213719368
"Rogoredo - Santa Giulia (33)";"1 residente";1687,57312804461
"Rogoredo - Santa Giulia (33)";"2 residenti";1013,66581529379
"Rogoredo - Santa Giulia (33)";"3 residenti";722,853261470795
"Rogoredo - Santa Giulia (33)";"4 residenti";469,404633760452
"Rogoredo - Santa Giulia (33)";"5 o più residenti";90,7560482621193
"Chiaravalle (34)";"1 residente";179,932449519634
"Chiaravalle (34)";"2 residenti";115,648543059826
"Chiaravalle (34)";"3 residenti";90,7397324442863
"Chiaravalle (34)";"4 residenti";63,6645310521126
"Chiaravalle (34)";"5 o più residenti";12,9466846585274
"Lodi - Corvetto (35)";"1 residente";7195,74344682693
"Lodi - Corvetto (35)";"2 residenti";4549,34952008724
"Lodi - Corvetto (35)";"3 residenti";2270,82798290253
"Lodi - Corvetto (35)";"4 residenti";1445,73684930801
"Lodi - Corvetto (35)";"5 o più residenti";478,342169523239
"Scalo Romana (36)";"1 residente";1888,67707556486
"Scalo Romana (36)";"2 residenti";1289,71358066797
"Scalo Romana (36)";"3 residenti";741,071243822575
"Scalo Romana (36)";"4 residenti";420,393828928471
"Scalo Romana (36)";"5 o più residenti";182,70083039999
"Morivione (37)";"1 residente";1308,33830159903
"Morivione (37)";"2 residenti";912,146928489208
"Morivione (37)";"3 residenti";577,435657322407
"Morivione (37)";"4 residenti";327,969744861126
"Morivione (37)";"5 o più residenti";83,2988060116768
"Vigentino - Q.re Fatima (38)";"1 residente";2237,41925108433
"Vigentino - Q.re Fatima (38)";"2 residenti";1955,61574685574
"Vigentino - Q.re Fatima (38)";"3 residenti";924,121416032314
"Vigentino - Q.re Fatima (38)";"4 residenti";646,696649730206
"Vigentino - Q.re Fatima (38)";"5 o più residenti";182,162783026695
"Quintosole (39)";"1 residente";58,0773633718491
"Quintosole (39)";"2 residenti";32,1723833084106
"Quintosole (39)";"3 residenti";17,7740178108215
"Quintosole (39)";"4 residenti";9,84323823451996
"Quintosole (39)";"5 o più residenti";9,34092557430267
"Ronchetto delle Rane (40)";"1 residente";75,9140732288361
"Ronchetto delle Rane (40)";"2 residenti";60,8137744069099
"Ronchetto delle Rane (40)";"3 residenti";61,6197142004967
"Ronchetto delle Rane (40)";"4 residenti";54,6718763709068
"Ronchetto delle Rane (40)";"5 o più residenti";25,8816560506821
"Gratosoglio - Q.re Missaglia - Q.re Terrazze (41)";"1 residente";2435,96698248386
"Gratosoglio - Q.re Missaglia - Q.re Terrazze (41)";"2 residenti";2814,47774797678
"Gratosoglio - Q.re Missaglia - Q.re Terrazze (41)";"3 residenti";1248,89571875334
"Gratosoglio - Q.re Missaglia - Q.re Terrazze (41)";"4 residenti";817,135490238667
"Gratosoglio - Q.re Missaglia - Q.re Terrazze (41)";"5 o più residenti";403,524023115635
"Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42)";"1 residente";5576,956985116
"Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42)";"2 residenti";3865,71871989965
"Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42)";"3 residenti";2168,33858311176
"Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42)";"4 residenti";1189,36315619946
"Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42)";"5 o più residenti";388,622499525547
"Tibaldi (43)";"1 residente";2799,08295559883
"Tibaldi (43)";"2 residenti";1584,74270790815
"Tibaldi (43)";"3 residenti";811,103191494942
"Tibaldi (43)";"4 residenti";421,004408597946
"Tibaldi (43)";"5 o più residenti";98,9701506495476
"Porta Ticinese - Conchetta (44)";"1 residente";4378,39399051666
"Porta Ticinese - Conchetta (44)";"2 residenti";2129,39801299572
"Porta Ticinese - Conchetta (44)";"3 residenti";1154,78094351292
"Porta Ticinese - Conchetta (44)";"4 residenti";674,717486023903
"Porta Ticinese - Conchetta (44)";"5 o più residenti";169,70954656601
"Moncucco - San Cristoforo (45)";"1 residente";2748,0772510767
"Moncucco - San Cristoforo (45)";"2 residenti";1693,2717166543
"Moncucco - San Cristoforo (45)";"3 residenti";879,440807521343
"Moncucco - San Cristoforo (45)";"4 residenti";584,612265944481
"Moncucco - San Cristoforo (45)";"5 o più residenti";171,528753519058
"Barona (46)";"1 residente";2466,6547999382
"Barona (46)";"2 residenti";2527,92746174335
"Barona (46)";"3 residenti";1259,28163170815
"Barona (46)";"4 residenti";760,585920810699
"Barona (46)";"5 o più residenti";340,550169825554
"Cantalupa (47)";"1 residente";59,8723561167717
"Cantalupa (47)";"2 residenti";50,5652347803116
"Cantalupa (47)";"3 residenti";35,6826819181442
"Cantalupa (47)";"4 residenti";28,7141092419624
"Cantalupa (47)";"5 o più residenti";6,93625372648239
"Ronchetto sul Naviglio - Q.re Lodovico il Moro (48)";"1 residente";2556,95909100771
"Ronchetto sul Naviglio - Q.re Lodovico il Moro (48)";"2 residenti";2125,74445563555
"Ronchetto sul Naviglio - Q.re Lodovico il Moro (48)";"3 residenti";1056,17134773731
"Ronchetto sul Naviglio - Q.re Lodovico il Moro (48)";"4 residenti";692,644280552864
"Ronchetto sul Naviglio - Q.re Lodovico il Moro (48)";"5 o più residenti";195,824171721935
