"NIL (Nuclei di Identità Locale)";"Figura giuridica del proprietario";"Abitazioni"
"Tibaldi (43)";"Altro proprietario";690,635478794575
"Porta Ticinese - Conchetta (44)";"Persona fisica";6922,91027891636
"Porta Ticinese - Conchetta (44)";"Altro proprietario";1584,08970069885
"Moncucco - San Cristoforo (45)";"Persona fisica";4942,15411019325
"Moncucco - San Cristoforo (45)";"Altro proprietario";1134,77668452263
"Barona (46)";"Persona fisica";3948,51698505878
"Barona (46)";"Altro proprietario";3406,48299896717
"Cantalupa (47)";"Persona fisica";169,834127664566
"Cantalupa (47)";"Altro proprietario";11,9365081191063
"Ronchetto sul Naviglio - Q.re Lodovico il Moro (48)";"Persona fisica";5246,78086668253
"Ronchetto sul Naviglio - Q.re Lodovico il Moro (48)";"Altro proprietario";1380,56247997284
"Giambellino (49)";"Persona fisica";10831,7571389824
"Giambellino (49)";"Altro proprietario";3736,24289393425
"Porta Genova (50)";"Persona fisica";6580,63149523735
"Porta Genova (50)";"Altro proprietario";612,530657052994
"Porta Magenta (51)";"Persona fisica";10778,1468322873
"Porta Magenta (51)";"Altro proprietario";1547,85318410397
"Bande Nere (52)";"Persona fisica";16979,552775681
"Bande Nere (52)";"Altro proprietario";3244,44721126556
"Lorenteggio (53)";"Persona fisica";4308,51065838337
"Lorenteggio (53)";"Altro proprietario";1500,7686162591
"Muggiano (54)";"Persona fisica";985,498604893684
"Muggiano (54)";"Altro proprietario";140,490311324596
"Baggio - Q.re degli Olmi - Q.re Valsesia (55)";"Persona fisica";9910,28709930182
"Baggio - Q.re degli Olmi - Q.re Valsesia (55)";"Altro proprietario";2875,71289348602
"Forze Armate (56)";"Persona fisica";7161,41443431377
"Forze Armate (56)";"Altro proprietario";3026,58557003737
"San Siro (57)";"Persona fisica";7756,33030962944
"San Siro (57)";"Altro proprietario";4258,66971677542
"De Angeli - Monte Rosa (58)";"Persona fisica";8668,83508819342
"De Angeli - Monte Rosa (58)";"Altro proprietario";786,164920806885
"Tre Torri (59)";"Persona fisica";514,863084197044
"Tre Torri (59)";"Altro proprietario";94,5526033639908
