Municipio;NIL;Anno Ritiro;Descr Titolo Abilitativo;Numero Abitazioni;Numero Stanze;Numero Vani Accessori Interni;Numero Piani;Volume Totale V/p;Superficie Utile Abitabile;Superficie Accessori Esterni;Superficie Agricoltura;Superficie Attivita' Produttive;Superficie Commercio;Superficie Servizi;Specifica Altra Attivita';Descr_Titolare Titolo Costruire;Consumo Energetico;Rapporto Forma;Fotovoltaico;Solare Termico;Pompe Calore;Caldaia A Condensazione;Geotermico;Nessun Impianto Tra I Citati;PianoCasa
8;Trenno;2012;DIA;12;29;26;5;5591;635;1758;0;0;0;0;;Altro;22;0,61;SI;;SI;;;;
8;Trenno;2012;DIA;11;26;37;5;6129;629;915;0;0;0;0;;Impresa;25;0,57;;;SI;;;;
8;Portello;2012;DIA;29;112;139;6;22242;2574;3225;0;0;0;0;;Altro;28;0,42;SI;;SI;;;;
8;Sarpi;2013;Permesso di Costruire;83;268;225;6;23528;5671;12447;0;0;1262;0;;Cooperativa Edilizia;21;0,36;SI;;SI;SI;SI;;
8;Sarpi;2013;Permesso di Costruire;102;304;304;9;23800;5741;10432;0;0;0;0;;Altro;18;0,4;SI;SI;;SI;SI;;
8;Sarpi;2011;DIA;22;67;62;6;12780;1166;2749;0;0;0;0;;Impresa;34;0,58;SI;SI;SI;;;;
8;Sarpi;2013;DIA;22;53;40;5;11930;1232;1824;0;0;0;0;;Impresa;7;0,44;SI;;SI;;;;
8;Sarpi;2012;Permesso di Costruire;12;17;32;4;1412;470;163;0;0;0;0;;Persona Fisica;30;0,69;;;;SI;;;
8;Ghisolfa;2012;DIA;3;11;9;2;1491;295;277;0;0;0;0;;Impresa;107;0,76;;SI;;SI;;;Accordo Stato-Regioni del 1-4-2009 (ampliamento o demolizione/ricostruzione)
8;Ghisolfa;2013;DIA;7;20;16;6;4000;463;1161;0;0;0;0;;Impresa;33;0,52;;SI;SI;SI;;;
8;Ghisolfa;2011;DIA;10;36;32;7;4870;498;1063;0;0;0;0;;Altro;13;0,4;;;;;;;Accordo Stato-Regioni del 1-4-2009 (ampliamento o demolizione/ricostruzione)
8;Ghisolfa;2011;DIA;8;32;44;8;3384;401;884;0;0;0;0;;Altro;13;0,4;;;;;;;Accordo Stato-Regioni del 1-4-2009 (ampliamento o demolizione/ricostruzione)
8;Ghisolfa;2012;DIA;10;37;37;7;5247;733;1016;0;0;0;0;;Altro;26;0,47;;SI;SI;SI;;;Accordo Stato-Regioni del 1-4-2009 (ampliamento o demolizione/ricostruzione)
8;Ghisolfa;2011;DIA;9;29;24;9;3568;582;551;0;0;0;0;;Altro;24;0,48;SI;;SI;;SI;;
8;Ghisolfa;2012;DIA;9;37;55;9;3765;700;555;0;0;0;0;;Altro;26;0,47;;SI;SI;SI;;;Accordo Stato-Regioni del 1-4-2009 (ampliamento o demolizione/ricostruzione)
8;;2011;DIA;8;19;18;6;6600;348;506;0;0;0;0;;Impresa;56;0;;SI;;SI;;;
8;;2011;DIA;16;32;41;6;7068;822;1796;0;0;0;0;;Persona Fisica;70;0,62;;SI;;;;;
8;;2011;DIA;2;6;4;5;1387;97;340;0;0;0;0;;Altro;85;0,76;;SI;;;;;
8;;2013;Permesso di Costruire;22;36;66;8;6534;945;2146;0;0;0;0;;Altro;31;0,78;;SI;;SI;;;Accordo Stato-Regioni del 1-4-2009 (ampliamento o demolizione/ricostruzione)
8;;2012;DIA;12;24;20;4;4865;598;932;0;0;0;0;;Impresa;61;0,56;SI;SI;;SI;;;
8;;2011;DIA;24;66;64;7;9347;1387;2075;0;0;0;0;;Altro;;0;;;;;;;
8;;2010;DIA;57;211;197;8;19410;3875;3889;0;0;0;0;;Altro;48;0,43;;SI;;SI;;;
8;;2011;DIA;37;77;83;4;10489;1302;1575;0;0;96;0;;Impresa;;0,61;;;;;;;
8;;2013;Permesso di Costruire;38;114;114;12;15283;2743;1804;0;0;0;0;;Impresa;24;0,42;SI;;;;;;
8;;2013;Permesso di Costruire;71;215;255;18;29887;4788;4338;0;0;0;0;;Altro;28;0,34;SI;;;;;;
8;;2013;Permesso di Costruire;122;412;415;24;49124;7939;7388;0;0;0;0;;Altro;24;0,31;SI;;;;;;
8;;2013;Permesso di Costruire;56;168;168;16;22380;4199;2226;0;0;0;0;;Impresa;25;0,04;SI;;;;;;
8;;2013;Permesso di Costruire;89;273;376;17;43466;6245;5350;0;0;0;0;;Altro;28;0,49;SI;;;;SI;;
8;;2013;Permesso di Costruire;56;168;199;18;36359;3806;4978;0;0;0;0;;Impresa;25;0,38;SI;;;;;;
8;;2013;Permesso di Costruire;62;176;193;14;35016;4055;4181;0;0;0;0;;Altro;26;0,38;SI;;;;;;
8;;2013;Permesso di Costruire;69;254;190;15;15326;4514;4748;0;0;0;0;;Impresa;25;0,27;SI;;;;;;
8;;2013;Permesso di Costruire;83;250;249;22;33882;6058;2576;0;0;0;0;;Impresa;28;0,38;SI;;;;;;
8;;2013;Permesso di Costruire;85;280;287;10;18117;5367;5913;0;0;277;0;;Cooperativa Edilizia;;0;;;;;;;
8;;2013;Permesso di Costruire;67;164;196;6;11865;3166;4841;0;0;0;0;;Cooperativa Edilizia;;0;;;;;;;
8;;2013;Permesso di Costruire;38;114;104;11;22962;2558;3067;0;0;0;0;;Altro;26;0,45;;;;;;;
8;;2011;DIA;68;223;244;4;27690;4697;7816;0;0;0;0;;Altro;20;0,53;;;;;SI;;
8;;2011;DIA;68;241;227;4;26939;4695;8491;0;0;0;0;;Cooperativa Edilizia;22;0,5;;;;;;SI;
8;;2011;DIA;9;31;27;5;1913;611;422;0;0;0;0;;Impresa;26;0,58;;;;SI;;;
8;;2011;DIA;11;25;36;5;1697;538;539;0;0;0;0;;Impresa;26;0,58;;;;SI;;;
9;;2013;Permesso di Costruire;16;34;44;6;4529;770;650;0;0;0;0;;Altro;;0;;;;;;;
9;;2012;DIA;38;202;122;13;19968;3739;2276;0;0;0;0;;Altro;;0;;;;;SI;;
9;;2012;DIA;25;75;55;10;13075;2320;1598;0;0;0;0;;Altro;;0;;;;;SI;;
9;;2013;DIA;25;87;105;7;15000;2013;1600;0;0;364;0;;Altro;23;0,32;SI;;SI;;SI;;
9;;2011;DIA;25;87;105;7;15000;2013;1600;0;0;390;0;;Altro;28;0,3;SI;SI;SI;;SI;;
9;;2011;DIA;26;52;52;7;9120;964;2076;0;0;0;0;;Altro;30;0,55;;SI;;SI;;;Accordo Stato-Regioni del 1-4-2009 (ampliamento o demolizione/ricostruzione)
9;;2013;DIA;22;53;53;10;9272;1055;2035;0;0;0;0;;Impresa;34;0,53;SI;SI;SI;SI;;;
9;Bicocca;2013;DIA;112;336;336;15;27000;6500;3710;0;0;0;0;;Altro;510;0,02;SI;;SI;SI;SI;;Piano nazionale di edilizia abitativa (Dl. 112/2008 e delibera CIPE 8-5-2009)
9;Bicocca;2011;DIA;89;217;268;15;22356;4846;4620;0;0;0;0;;Cooperativa Edilizia;10;0,38;;;SI;SI;;;
9;Bicocca;2013;DIA;12;28;30;5;4038;575;523;0;0;0;0;;Cooperativa Edilizia;58;0,06;;;;;;SI;
9;Bicocca;2011;DIA;105;327;283;15;28670;6699;6454;0;0;0;0;;Cooperativa Edilizia;26;0,34;;;SI;SI;;;
9;Bicocca;2011;DIA;118;349;330;15;33150;7434;7356;0;0;0;0;;Cooperativa Edilizia;26;0,35;;;SI;SI;;;
9;Bicocca;2013;Permesso di Costruire;243;608;243;16;133104;16012;27802;0;0;554;0;;Impresa;49;0,35;SI;SI;SI;SI;;;
9;Bovisa;2012;DIA;249;667;654;21;48145;12603;12834;0;0;138;0;;Cooperativa Edilizia;47;0,39;;SI;;SI;;;
9;Bovisa;2012;DIA;133;321;308;15;23132;5732;6194;0;0;0;0;;Cooperativa Edilizia;46;0,38;;SI;;SI;;;
9;Dergano;2013;DIA;33;68;76;6;18633;1430;2323;0;0;0;0;;Impresa;;0;;;;;;;
9;Dergano;2012;DIA;18;42;44;4;4919;779;1043;0;0;0;0;;Altro;57;0,87;;SI;;SI;;;
9;Dergano;2012;DIA;3;11;12;2;837;216;7;0;0;0;0;;Altro;94;0,99;;SI;;;;;
9;Affori;2013;DIA;1;2;2;3;251;75;103;0;0;0;0;;Persona Fisica;172;0,71;SI;;SI;;;;
9;Affori;2011;DIA;6;12;21;5;690;230;45;0;0;0;0;;Impresa;;0;;;;SI;;;
9;Affori;2011;DIA;109;301;150;4;20579;4887;4067;0;1966;0;0;;Altro;26;0,59;;;SI;;;;
9;Affori;2011;DIA;30;62;90;8;10464;1529;1646;0;0;0;0;;Altro;27;0,34;;;SI;;;;Accordo Stato-Regioni del 1-4-2009 (ampliamento o demolizione/ricostruzione)
9;Affori;2013;DIA;10;14;12;7;1800;452;490;0;0;0;0;;Impresa;42;0,57;;SI;;;;;Piano nazionale di edilizia abitativa (Dl. 112/2008 e delibera CIPE 8-5-2009)
9;Affori;2013;DIA;57;155;137;8;9056;2687;3211;0;0;0;0;;Altro;41;0,49;SI;;SI;;;;
9;Comasina;2013;DIA;12;32;28;5;2151;659;1130;0;0;0;0;;Impresa;13;0,49;SI;;SI;;SI;;
9;Comasina;2013;DIA;14;30;35;5;2151;659;1130;0;0;0;0;;Impresa;13;0,49;SI;;SI;;SI;;
9;Bruzzano;2012;DIA;70;220;190;13;15210;4447;3801;0;0;0;0;;Cooperativa Edilizia;23;0,43;;SI;;SI;;;
9;Bruzzano;2012;DIA;56;181;159;13;11679;3443;3280;0;0;0;0;;Cooperativa Edilizia;23;0,43;;SI;;SI;;;
9;Bruzzano;2012;DIA;123;404;326;14;26613;7728;6652;0;0;158;0;;Cooperativa Edilizia;23;0,43;;SI;;SI;;;
9;Bruzzano;2012;DIA;53;152;102;4;11750;3525;2380;0;0;0;0;;Altro;23;0,37;SI;;;SI;;;
;;2012;DIA;207;509;489;21;36320;8843;9416;0;0;906;0;;Cooperativa Edilizia;47;0,35;;SI;;SI;;;
;;2011;DIA;31;123;169;9;12057;3574;3323;0;0;0;0;;Impresa;;0;;;;;;;
1;Duomo;2013;DIA;7;31;28;5;3660;1045;0;0;0;175;0;;Impresa;27;0,47;;;;;SI;;
1;Duomo;2013;DIA;9;53;36;5;7100;1783;0;0;0;539;0;;Impresa;27;0,52;;;;;;;
1;Duomo;2012;DIA;4;19;20;5;3948;461;231;0;0;104;0;;Altro;22;0,44;SI;;;;;;
