"NIL (Nuclei di Identità Locale)";"Numero di stanze";"Abitazioni"
"Umbria - Molise - Calvairate (28)";"3 o 4 stanze";5517,88394129276
"Umbria - Molise - Calvairate (28)";"5 o più stanze";1264,07772624493
"Ortomercato (29)";"Fino a 2 stanze";830,592454910278
"Ortomercato (29)";"3 o 4 stanze";834,679696917534
"Ortomercato (29)";"5 o più stanze";158,009677946568
"Taliedo - Morsenchio - Q.re Forlanini (30)";"Fino a 2 stanze";1976,43869137764
"Taliedo - Morsenchio - Q.re Forlanini (30)";"3 o 4 stanze";5388,86200606823
"Taliedo - Morsenchio - Q.re Forlanini (30)";"5 o più stanze";1283,69931936264
"Monlue' - Ponte Lambro (31)";"Fino a 2 stanze";573,320271790028
"Monlue' - Ponte Lambro (31)";"3 o 4 stanze";835,202799320221
"Monlue' - Ponte Lambro (31)";"5 o più stanze";328,722722113132
"Triulzo Superiore (32)";"Fino a 2 stanze";382,966499388218
"Triulzo Superiore (32)";"3 o 4 stanze";281,044967353344
"Triulzo Superiore (32)";"5 o più stanze";15,9569626450539
"Rogoredo - Santa Giulia (33)";"Fino a 2 stanze";984,880109012127
"Rogoredo - Santa Giulia (33)";"3 o 4 stanze";2370,26824492216
"Rogoredo - Santa Giulia (33)";"5 o più stanze";629,104532897472
"Chiaravalle (34)";"Fino a 2 stanze";112,297921776772
"Chiaravalle (34)";"3 o 4 stanze";239,514081954956
"Chiaravalle (34)";"5 o più stanze";111,119937002659
"Lodi - Corvetto (35)";"Fino a 2 stanze";4901,88462018967
"Lodi - Corvetto (35)";"3 o 4 stanze";9151,62998431921
"Lodi - Corvetto (35)";"5 o più stanze";1886,48536413908
"Scalo Romana (36)";"Fino a 2 stanze";1551,85540729761
"Scalo Romana (36)";"3 o 4 stanze";2382,98655295372
"Scalo Romana (36)";"5 o più stanze";587,714599132538
"Morivione (37)";"Fino a 2 stanze";868,667646765709
"Morivione (37)";"3 o 4 stanze";1839,85281795263
"Morivione (37)";"5 o più stanze";500,668973565102
"Vigentino - Q.re Fatima (38)";"Fino a 2 stanze";1268,14228057861
"Vigentino - Q.re Fatima (38)";"3 o 4 stanze";3314,93310773373
"Vigentino - Q.re Fatima (38)";"5 o più stanze";1362,94045841694
"Quintosole (39)";"Fino a 2 stanze";35,6285752058029
"Quintosole (39)";"3 o 4 stanze";75,7329938411713
"Quintosole (39)";"5 o più stanze";15,8463592529297
"Ronchetto delle Rane (40)";"Fino a 2 stanze";56,0881817936897
"Ronchetto delle Rane (40)";"3 o 4 stanze";141,555318534374
"Ronchetto delle Rane (40)";"5 o più stanze";81,2575939297676
"Gratosoglio - Q.re Missaglia - Q.re Terrazze (41)";"Fino a 2 stanze";778,653172791004
"Gratosoglio - Q.re Missaglia - Q.re Terrazze (41)";"3 o 4 stanze";4799,2546929121
"Gratosoglio - Q.re Missaglia - Q.re Terrazze (41)";"5 o più stanze";2142,09209686518
"Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42)";"Fino a 2 stanze";3692,89023858309
"Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42)";"3 o 4 stanze";7851,19300723076
"Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42)";"5 o più stanze";1644,91669803858
"Tibaldi (43)";"Fino a 2 stanze";1865,91703212261
"Tibaldi (43)";"3 o 4 stanze";3103,35389506817
"Tibaldi (43)";"5 o più stanze";745,63248705864
"Porta Ticinese - Conchetta (44)";"Fino a 2 stanze";3539,17791223526
"Porta Ticinese - Conchetta (44)";"3 o 4 stanze";3862,60085189343
"Porta Ticinese - Conchetta (44)";"5 o più stanze";1105,22121548653
"Moncucco - San Cristoforo (45)";"Fino a 2 stanze";2222,04332476854
"Moncucco - San Cristoforo (45)";"3 o 4 stanze";3134,97288799286
"Moncucco - San Cristoforo (45)";"5 o più stanze";719,914581954479
"Barona (46)";"Fino a 2 stanze";1262,11223077774
"Barona (46)";"3 o 4 stanze";4825,22361183167
"Barona (46)";"5 o più stanze";1267,66414141655
"Cantalupa (47)";"Fino a 2 stanze";40,0366804599762
"Cantalupa (47)";"3 o 4 stanze";61,6927239298821
"Cantalupa (47)";"5 o più stanze";80,0412313938141
"Ronchetto sul Naviglio - Q.re Lodovico il Moro (48)";"Fino a 2 stanze";1739,86103707552
"Ronchetto sul Naviglio - Q.re Lodovico il Moro (48)";"3 o 4 stanze";3408,96751874685
"Ronchetto sul Naviglio - Q.re Lodovico il Moro (48)";"5 o più stanze";1478,514790833
"Giambellino (49)";"Fino a 2 stanze";5533,39028052986
"Giambellino (49)";"3 o 4 stanze";7595,87544682622
"Giambellino (49)";"5 o più stanze";1438,73430556059
"Porta Genova (50)";"Fino a 2 stanze";1718,62369132042
"Porta Genova (50)";"3 o 4 stanze";3609,82914978266
"Porta Genova (50)";"5 o più stanze";1864,70931118727
"Porta Magenta (51)";"Fino a 2 stanze";2331,74513143301
"Porta Magenta (51)";"3 o 4 stanze";5914,0717227459
